MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2009-04,01/01/2004 09:53,Y, , ,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6927,FYLER AVE,0, , ,6927,FYLER,874921.4,1008836
2009-04,01/01/2006 00:01,Y, , ,1,115400,9,STLG BY DECEIT/IDENTITY THEFT REPORT,3670,HICKORY ST,29, , ,3670,HICKORY,0,0
2009-04,01/01/2006 07:00, , ,Y,1,172100,4,SEX OFFNS-SODOMY/FORCIBLE,1000,LASALLE PARK,34, , ,1000,LASALLE PARK,0,0
2009-04,01/01/2006 07:00, , ,Y,-1,172300,4,SEX OFFNS-STATUATORY SODOMY/FIRST,1000,LASALLE PARK,34, , ,1000,LASALLE PARK,0,0
2009-04,01/01/2006 07:00,Y, , ,1,172300,9,SEX OFFNS-STATUATORY SODOMY/FIRST,1700,LONGFELLOW PL,31, , ,1700,LONGFELLOW,897181.9,1012986
2009-04,01/01/2008 07:00,Y, , ,1, 21000,9,RAPE -- FORCIBLE,2600,HICKORY ST,31, , ,2600,HICKORY,899956.8,1014976
2009-04,01/01/2008 09:43,Y, , ,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6223,WYOMING ST,9, , ,6223,WYOMING,878820.3,1008935
2009-04,01/01/2009 00:01,Y, , ,1,172100,1,SEX OFFNS-SODOMY/FORCIBLE,5900,ARENDES DR,3, ,MULTI-FAMILY DWELLING,5900,ARENDES,888641.2,995546.6
2009-04,01/01/2009 00:01, ,Y, ,-1,172100,1,SEX OFFNS-SODOMY/FORCIBLE,5900,ARENDES DR,3, ,MULTI-FAMILY DWELLING,5900,ARENDES,888641.2,995546.6
2009-04,01/01/2009 00:01,Y, , ,1,171200,3,SEX OFFNS-STATUATORY RAPE/FIRST,3300,LOUISIANA AVE,30, , ,3300,LOUISIANA,894915.3,1005986
2009-04,01/01/2009 11:53,Y, , ,1, 51322,7,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,1271,AMHERST PL,48, , ,1271,AMHERST,880440.5,1032448
2009-04,01/01/2009 12:00,Y, , ,1,115400,9,STLG BY DECEIT/IDENTITY THEFT REPORT,4055,LACLEDE AVE,38, ,APT 227,4055,LACLEDE,892778,1021017
2009-04,01/01/2009 12:00,Y, , ,1, 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4824,FARLIN AVE,69, , ,4824,FARLIN,893133.8,1035447
2009-04,01/01/2009 15:00,Y, , ,1, 21000,6,RAPE -- FORCIBLE,4300,GOODFELLOW BLVD,70,JOB CORPS, , , ,886692.3,1040667
2009-04,01/01/2009 15:00,Y, , ,1, 51312,2,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,1907,FOREST AVE,43, ,VACANT RESIDENCE,1907,FOREST,875565.2,1015540
2009-04,01/05/2009 07:00,Y, , ,1,242000,6,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,857,RIVERTRAIL CT,74, , ,4014,UNION,899038.8,1054168
2009-04,01/05/2009 11:00,Y, , ,1,142320,7,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5707,GREER AVE,50, , ,5707,GREER,885424.8,1036831
2009-04,01/06/2009 05:30,Y, , ,1, 92000,3,SIMPLE ASSAULT-HARRASSMENT,3722,MICHIGAN AVE,19, , ,3722,MICHIGAN,895482.5,1003221
2009-04,01/06/2009 21:00,Y, , ,1, 21000,4,RAPE -- FORCIBLE,2200,MARKET ST,36,HAMPTON INN HOTEL,HAMPTON INN HOTEL,2200,MARKET,902363.3,1018827
2009-04,01/07/2009 10:30,Y, , ,1, 51312,8,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,909,BAYARD AVE,53, ,RESIDENCE,909,BAYARD,889054,1027213
2009-04,01/07/2009 16:00,Y, , ,1, 69602,6,"LARCENY-ALL OTHER $500 - $24,999",5018,THEKLA AVE,71, , ,5018,THEKLA,893835.3,1039800
2009-04,01/08/2009 00:01,Y, , ,1,112010,9,FRAUD-CREDIT DEVICE/OVER $150,531,N GRAND BLVD,77,FOX THEATER,METROTIX,1200,CLARK,896777.3,1021728
2009-04,01/11/2009 00:01,Y, , ,1, 91124,1,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",4643,ROSA AVE,6, , ,4643,ROSA,883828.8,999087
2009-04,01/15/2009 23:00,Y, , ,1, 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,I 70 WESTBOUND / SAL,65, , , , ,906697.3,1030038
2009-04,01/16/2009 08:00,Y, , ,1, 65701,7,LARCENY-MTR VEH PARTS UNDER $500,5033,MAFFITT AVE,52, , ,5033,MAFFITT,889411.9,1033086
2009-04,01/16/2009 09:35,Y, , ,1,103000,6,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,1162,HOWELL ST,74, , ,1162,HOWELL,894885,1051627
2009-04,01/20/2009 07:30,Y, , ,1, 91123,4,SIMPLE ASSAULT-CHILD/NO INJURY,1224,NORHT 14TH STREET,61,PEABODY SCHOOL, ,1224,4TH,0,0
