MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2011-04,1/1/2009 13:55,Y, , ,1,115200,7,FRAUD-STEALING BY DECEIT/UNDER $150,5050,SAINT LOUIS AVE,52, ,ALIAS 5050 ST LOUIS,5050,SAINT LOUIS,889764.6,1033601
2011-04,1/1/2009 14:35,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,3754,PRIMM ST,4, , ,3754,PRIMM,884798.7,990597.8
2011-04,1/1/2011 10:16,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,1905,KEOKUK ST,18, , ,1905,KEOKUK,899573.5,1001559
2011-04,1/1/2011 18:00,Y, , ,1,175100,3,SEX OFFNS-SX MISCONDUCT/SUS<17&VIC 14-15/NO FO,3200,PESTALOZZI ST,25, , ,3200,PESTALOZZI,895841.2,1008700
2011-04,1/1/2011 2:00, ,Y, ,-1, 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,640,BLUFF,75, , ,640,BLUFF,0,0
2011-04,1/1/2011 3:00,Y, , ,1, 21000,1,RAPE -- FORCIBLE,2100,CHIPPEWA ST,18, , ,4200,MCREE,899012.8,1002164
2011-04,1/11/2011 15:00, , ,Y,1, 65701,9,LARCENY-MTR VEH PARTS UNDER $500,715,SPRING,77, , , , ,0,0
2011-04,1/11/2011 15:00, , ,Y,-1, 64711,9,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,715,SPRING,77, , , , ,0,0
2011-04,1/16/2011 19:00,Y, , ,1,179220,2,SEX OFFNS-CHILD MOLESTATION-SECOND DEGREE,6300,POTOMAC ST,9, , ,6300,POTOMAC,878085.3,1006904
2011-04,1/19/2011 12:00,Y, , ,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4615,SAN FRANCISCO AVE,69, , ,4615,SAN FRANCISCO,894250,1034292
2011-04,1/2/2004 12:00,Y, , ,1,112010,6,FRAUD-CREDIT DEVICE/OVER $150,4308,FARLIN AVE,68, , ,4308,FARLIN,896372.8,1033683
2011-04,1/24/2011 0:01,Y, , ,1,112010,9,FRAUD-CREDIT DEVICE/OVER $150, ,FRANKLIN AVE,59, , , ,FRANKLIN,899818.3,1021852
2011-04,1/24/2011 19:30, ,Y, ,-1, 71013,7,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5209,PALM,52, , ,5209,PALM,0,0
2011-04,1/24/2011 8:00, , ,Y,1, 44025,1,ASLT-AGGRV-HND/FST/FT-2ND-CHILD-DOMESTIC,4026, ,3, , ,6131,LEONA,0,0
2011-04,1/24/2011 8:00, , ,Y,-1,204100,1,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,4026, ,3, , ,6131,LEONA,0,0
2011-04,1/25/2011 12:00,Y, , ,1, 69702,5,LARCENY-ALL OTHER UNDER $500,1220,WARREN ST,63, , ,1220,WARREN,907350.3,1025616
