Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
14-014669,2014-04,1/1/2000 14:14,Y, , ,1, ,21000,1,RAPE -- FORCIBLE,4800,LOUISIANA AVE,16, , ,4800,LOUISIANA,0,0
14-015770,2014-04,1/1/2011 0:01,Y, , ,1, ,21000,5,RAPE -- FORCIBLE,4400,MARYLAND AVE,38, , ,1200,OAKLEY,0,0
14-018154,2014-04,1/1/2011 8:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,3628,HARTFORD ST,15, , ,3628,HARTFORD,893487.9,1008027
14-016868,2014-04,1/1/2012 8:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6806,NASHVILLE AVE,44, , ,6806,NASHVILLE,876195.6,1017302
14-014317,2014-04,1/1/2014 0:01,Y, , ,1, ,21000,4,RAPE -- FORCIBLE,3800,SULLIVAN AVE,59, , ,3800,SULLIVAN,0,0
14-017511,2014-04,1/1/2014 0:01,Y, , ,1, ,21000,6,RAPE -- FORCIBLE,4000,PALM ST,56, , ,4000,PALM,0,0
14-016709,2014-04,1/1/2014 8:00,Y, , ,1, ,121000,3,EMBEZZLEMENT-VALUE OVER $150,2437,LEMP AVE,22,PRIDE CLEANING AND RESTORATION INC, ,2437,LEMP,901709.1,1009498
14-017891,2014-04,1/1/2014 11:18,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,2905,FRANKLIN AVE,59, , ,2905,FRANKLIN,900543.3,1021656
14-008984,2014-04,1/2/2007 0:01, , , ,-1, ,21000,5,RAPE -- FORCIBLE,1200,AUBERT,53, , ,1200,AUBERT,0,0
14-014213,2014-04,1/15/2014 20:10,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3600,IOWA AVE,19, , ,3600,IOWA,897573.6,1003762
14-015245,2014-04,1/15/2014 23:00,Y, , ,1, ,67601,5,"LARCENY-FROM BUILDING $500 - $24,999",530,UNION BLVD,38, , ,530,UNION,885060.6,1026008
14-013683,2014-04,1/19/2013 0:01,Y, , ,1, ,204100,6,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,1216,E OBEAR AVE,66, , ,1216,OBEAR,904306.4,1034134
14-015761,2014-04,1/23/2014 0:01,Y, , ,1, ,111110,5,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,1301,UNION BLVD,78,PETES SHUR SAV, ,4014,UNION,885308.8,1029902
14-015436,2014-04,1/23/2014 13:14,Y, , ,1, ,111110,5,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,1301,UNION BLVD,78,PETE S SHUR SAV, ,4014,UNION,885308.8,1029902
14-017063,2014-04,1/24/2014 14:44,Y, , ,1, ,111110,4,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,1131,WASHINGTON AVE,35,EMPIRE PIZZA,RESTAURANT,1131,WASHINGTON,907214,1018987
14-013663,2014-04,1/25/2014 7:00,Y, , ,1, ,67701,3,LARCENY-FROM BUILDING UNDER $500,3300,WYOMING ST,25, , ,3300,WYOMING,895250.8,1006755
14-012687,2014-04,1/27/2014 7:54,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,2735,CHOUTEAU AVE,37, , ,2735,CHOUTEAU,899745.6,1015931
14-014289,2014-04,1/27/2014 18:43,Y, , ,1, ,67601,6,"LARCENY-FROM BUILDING $500 - $24,999",4541,N KINGSHIGHWAY BLVD,71, , ,4541,KINGSHIGHWAY,892933.4,1038924
14-003860,2014-04,1/28/2014 10:40,Y, , ,1, ,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,1200,CLARK AVE,36, , ,1200,CLARK,905878.5,1016618
14-014501,2014-04,1/29/2013 8:00,Y, , ,1, ,51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,2221,OSAGE ST,18, ,VACANT RESIDENCE,2221,OSAGE,898495.7,1001096
14-004019,2014-04,1/29/2014 13:00,Y, , ,1, ,151110,5,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,1391,HODIAMONT AVE,78, , ,1391,HIGHMONT,880954.5,1033682
14-014822,2014-04,1/30/2014 10:00,Y, , ,1, ,111200,5,FRAUD-BAD CHECK/NO ACCOUNT,6133,DELMAR BLVD,48,BIG SHARK BICYCLE COMPANY, ,6133,DELMAR,878121.5,1027611
14-017036,2014-04,1/31/2014 12:28,Y, , ,1, ,112020,2,FRAUD-CREDIT DEVICE/UNDER $150,3238,MORGANFORD RD,15, , ,3238,MORGANFORD,888348.3,1007248
14-017312,2014-04,2/1/2001 12:00,Y, , ,1, ,175400,4,SEX OFFNS-SX MISCONDUCT/SECOND,2200,FARRAR ST,65, , ,2200,FARRAR,0,0
14-015433,2014-04,2/1/2014 8:00,Y, , ,1, ,67601,2,"LARCENY-FROM BUILDING $500 - $24,999",7312,ESPLANADE ST,10, , ,7312,ESPLANADE,873404.6,1010146
14-017090,2014-04,2/1/2014 9:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1317,SHAWMUT PL,78, , ,1317,SHAWMUT,882411.3,1031807
14-016670,2014-04,2/1/2014 10:26,Y, , ,1, ,115100,1,FRAUD-STEALING BY DECEIT/OVER $150,6830,S BROADWAY,1,NATIONAL FIXTURE INC,NATIONAL FIXTURE INC,6830,BROADWAY,891194.1,990090.7
14-009210,2014-04,2/2/2014 9:00,Y, , ,1, ,67601,1,"LARCENY-FROM BUILDING $500 - $24,999",4832,ALLEMANIA ST,4, , ,4832,ALLEMANIA,879773.6,994304.4
14-015880,2014-04,2/4/2009 0:01,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,2531,W HEBERT ST,60, , ,2531,HEBERT,902801.6,1028159
14-015611,2014-04,2/8/2010 0:01,Y, , ,1, ,43022,1,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 2ND DEGREE,3537,BINGHAM AVE,16, , ,3537,BINGHAM,893358.1,999917.8
14-013657,2014-04,2/8/2014 19:00,Y, , ,1, ,64701,5,LARCENY-FROM MTR VEH UNDER $500,0,LINDELL BLVD / N NEWSTEAD AVE,38, , , , ,890404.9,1022633
14-014842,2014-04,2/10/2014 11:00,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,919,N JEFFERSON AVE,59,CENTRAL PATROL,NA,919,JEFFERSON,902219.7,1021301
14-005842,2014-04,2/10/2014 22:40,Y, , ,1, ,182130,6,DRUGS-POSSESSION/HEROIN,8100,N BROADWAY,74, ,STREET, , ,897248.1,1047689
14-018487,2014-04,2/11/2014 10:00,Y, , ,1, ,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1411,DESTREHAN ST,65, , ,1411,DESTREHAN,906292,1029168
14-017033,2014-04,2/12/2014 9:00,Y, , ,1, ,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",1501,LOCUST ST,36, ,APT 506,1501,LOCUST,905463.8,1019072
14-017033,2014-04,2/12/2014 9:00, , , ,-1, ,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",1501,LOCUST ST,36, ,APT 506,1501,LOCUST,905463.8,1019072
14-014298,2014-04,2/12/2014 12:00,Y, , ,1, ,51322,4,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,1404,BISSELL ST,66, , ,1404,BISSELL,904591.7,1033156
14-006207,2014-04,2/13/2014 12:20,Y, , ,1, ,182130,0,DRUGS-POSSESSION/HEROIN,6351,DR MARTIN LUTHER KING DR,0, , ,6300,DR MARTIN L KING,880757.3,1035259
14-013666,2014-04,2/13/2014 17:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4451,FOREST PARK AVE,38, ,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
