MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2011-12,01/01/1979 00:01,Y, , ,1,179200,9,SEX OFFNS-CHILD MOLESTATION,4100,BLAINE AVE,28, ,FOUR FAMILY DWELLING,4100,BLAINE,891842.3,1014760
2011-12,01/01/2004 17:00,Y, , ,1,172100,7,SEX OFFNS-SODOMY/FORCIBLE,3300,CLARA AVE,50, , ,3300,CLARA,886457.3,1036636
2011-12,01/01/2007 00:01,Y, , ,1,172300,1,SEX OFFNS-STATUATORY SODOMY/FIRST,3800,OREGON AVE,16, , ,3800,OREGON,896670.3,1002274
2011-12,02/27/2011 08:45,Y, , ,1,264100,6,HEALTH-SANITATION VIOL,6069,EMMA AVE,76, , ,6069,EMMA,889908.5,1046217
2011-12,03/02/2011 08:00,Y, , ,1,266999,9,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4316,CHOUTEAU AVE,39, ,4316-18 CHOUTEAU,4316,CHOUTEAU,890245.7,1017952
2011-12,03/08/2009 13:58,Y, , ,1,265321,2,LEAVING SCENE OF ACCIDENT,2704,CLIFTON AVE,11, , , , ,879524,1011913
2011-12,03/08/2009 13:58,Y, , ,1,265321,2,LEAVING SCENE OF ACCIDENT,7227,ESPLANADE ST,10, , , , ,873699.8,1010079
2011-12,03/10/2011 07:00, , ,Y,1, 64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",3312,RUSSELL,26, , ,3520,RUSSELL,0,0
2011-12,03/10/2011 07:00, , ,Y,-1, 64701,3,LARCENY-FROM MTR VEH UNDER $500,3312,RUSSELL,26, , ,3520,RUSSELL,0,0
2011-12,03/12/2011 13:00,Y, , ,1,111120,7,FRAUD-BAD CHECK/INSUF FUNDS/UNDER $150,3412,UNION BLVD,52,CENTRAL BANK, ,3412,UNION,889078.9,1035771
2011-12,03/12/2011 17:33,Y, , ,1,264100,6,HEALTH-SANITATION VIOL,8309,CHURCH RD,74, , ,8309,CHURCH,896371.1,1048493
2011-12,03/17/2010 10:05,Y, , ,1,263120,8,OBSTRUCT GOVRN OP-FALSE REPORT,4048,WEST BELLE PL,58, , ,4048,WEST BELLE,894338.2,1024496
2011-12,03/22/2010 08:00,Y, , ,1, 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",3022,OREGON AVE,30,ST. FRANCES CABRINI SCHOOL, ,3022,OREGON,897557.8,1007845
2011-12,03/25/2011 08:00,Y, , ,1,266999,9,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3151,CAROLINE ST,31, , ,3151,CAROLINE,897128.5,1015242
2011-12,04/01/2010 00:01,Y, , ,1,179200,2,SEX OFFNS-CHILD MOLESTATION,5400,REBER PL,13, , ,5400,REBER,882947.6,1010699
2011-12,04/07/2011 00:01,Y, , ,1, 21000,2,RAPE -- FORCIBLE,1300,HAMPTON AVE,42, , ,1300,HAMPTON,880917.1,1017026
2011-12,04/16/2011 14:50,Y, , ,1,264100,7,HEALTH-SANITATION VIOL,5544,ASHLAND AVE,50, , ,5544,ASHLAND,886697.9,1036461
2011-12,04/21/2011 19:00, ,Y, ,-1, 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4561,FLAD,13, ,PARKED ON STREET,4561,FLAD,0,0
2011-12,04/28/2011 14:25,Y, , ,1,264100,6,HEALTH-SANITATION VIOL,6069,EMMA AVE,76, , ,6069,EMMA,889908.5,1046217
2011-12,05/01/2011 00:01,Y, , ,1, 44023,7,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN CHLD 3RD DEGRE",5725,GOODFELLOW PL,50, , ,5725,GOODFELLOW,885227,1037406
2011-12,05/01/2011 00:01,Y, , ,1, 91124,2,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",5210,BLOW ST,6, , ,5210,BLOW,880264.4,996634.2
2011-12,05/01/2011 12:00,Y, , ,1, 51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3921,S COMPTON AVE,16, ,VACANT BUILDING,3925,COMPTON,894767.4,1002002
2011-12,05/09/2010 04:49,Y, , ,1,263120,8,OBSTRUCT GOVRN OP-FALSE REPORT,4048,W BELLE PL,58, , ,4048,BELLE,894182.1,1024708
2011-12,05/20/2011 05:30,Y, , ,1, 43016,1,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,7510, ,4, , ,7510,MORGANFORD,0,0
2011-12,05/20/2011 05:30, , ,Y,1, 43026,1,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,7510, ,4, , ,7510,MORGANFORD,0,0
2011-12,05/20/2011 05:30, , ,Y,-1, 91124,1,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",7510, ,4, , ,7510,MORGANFORD,0,0
2011-12,06/14/2011 08:00,Y, , ,1,266999,9,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4348,SWAN AVE,39, , ,4348,SWAN,889189.4,1016722
2011-12,06/17/2011 10:51,Y, , ,1,111110,1,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,4843,ALLEMANIA ST,4, , ,4843,ALLEMANIA,879843.3,994477.4
2011-12,06/21/2011 18:49,Y, , ,1,264100,3,HEALTH-SANITATION VIOL,3319,CHIPPEWA ST,19, , ,3319,CHIPPEWA,894700.4,1003035
2011-12,07/01/1998 00:01,Y, , ,1, 21000,5,RAPE -- FORCIBLE,2200,UNIVERSITY ST,60, , ,2200,UNIVERSITY,904058.8,1026672
2011-12,07/04/2011 17:19,Y, , ,1,266999,9,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3501,FRANKLIN AVE,77,BLUEMEYER,BLUEMEYER, ,3501FRANKLIN,898334,1022420
2011-12,07/05/2011 00:25, , ,Y,1,212000,5,DUI-DRVING UNDR INFLUNC ALC/DRUGS,4163,GRAND,67, , , , ,0,0
2011-12,07/08/2011 01:45,Y, , ,1,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,2543,N GRAND BLVD,59, ,IMPERIAL PALACE,919,JEFFERSON,899361.5,1026965
2011-12,07/08/2011 10:16,Y, , ,1,264100,6,HEALTH-SANITATION VIOL,5908,LAURA AVE,76, , ,5908,LAURA,889100.3,1043860
2011-12,07/12/2011 10:00,Y, , ,1,117000,3,FAILURE TO RETURN BORROWED/RENTED VEHICL,0,S COMPTON AVE / HART,25, , ,5647,HILLER,895850.8,1007871
2011-12,07/14/2011 07:00,Y, , ,1, 65701,2,LARCENY-MTR VEH PARTS UNDER $500,4930,FINKMAN ST,6, , ,4900,FINKMAN,881728.5,998608.5
2011-12,08/01/2011 00:01,Y, , ,1, 21000,6,RAPE -- FORCIBLE,6100,LUCILLE AVE,74, , ,6100,LUCILLE,889189.4,1045832
2011-12,08/02/2010 23:50,Y, , ,1,263120,8,OBSTRUCT GOVRN OP-FALSE REPORT,4048,W BELLE PL,58, , ,4048,BELLE,894182.1,1024708
2011-12,08/03/2011 05:53, ,Y, ,-1, 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",7423,BROADWAY,2, ,: REAR APT,7423,BROADWAY,0,0
2011-12,08/03/2011 09:00, ,Y, ,-1, 91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,5045,GRAVOIS,5,CAFE MILANO,BUSINESS,4323,GERTRUDE,0,0
2011-12,08/10/2011 14:00,Y, , ,1, 69602,3,"LARCENY-ALL OTHER $500 - $24,999",2350,S 7TH ST,20, , ,2350,7TH,904439.8,1008631
2011-12,08/12/2011 14:00,Y, , ,1,103000,5,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,1110,SALISBURY ST,65, , ,1110,SALISBURY,906432.9,1029817
2011-12,08/15/2011 08:00,Y, , ,1,266300,3,PUBLIC ORDER-UNDER-AGE RELATED VIOLATION,3728,HYDRAULIC AVE,15, , ,3728,HYDRAULIC,891576.4,1003568
2011-12,08/15/2011 08:00,Y, , ,1,266300,1,PUBLIC ORDER-UNDER-AGE RELATED VIOLATION,4624,LOUISIANA AVE,16, , ,4624,LOUISIANA,892939.7,998259.1
2011-12,08/16/2011 12:46,Y, , ,1, 41203,6,AGG.ASSAULT-FIREARM/POLC.OFFICER  3RD DEGREE,4143,W KOSSUTH AVE,68, , ,4143,KOSSUTH,898003.3,1033254
2011-12,08/17/2011 00:01,Y, , ,1,179210,5,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,3600,NATURAL BRIDGE AVE,59, , ,3600,NATURAL BRIDGE,901069.3,1029712
2011-12,08/20/2011 08:00,Y, , ,1,266300,1,PUBLIC ORDER-UNDER-AGE RELATED VIOLATION,7322,PENNSYLVANIA AVE,2, , ,7322,PENNSYLVANIA,889768.5,989028
2011-12,08/28/2011 12:30,Y, , ,1,115100,3,FRAUD-STEALING BY DECEIT/OVER $150,2753,CHEROKEE ST,19,TACQUERIA EL TORITO, ,2753,CHEROKEE,897486,1005272
2011-12,08/28/2011 22:26,Y, , ,1,265321,9,LEAVING SCENE OF ACCIDENT,405,N EUCLID AVE,38, ,@BALABANS,405,EUCLID,888427.1,1025176
2011-12,08/30/2011 08:00,Y, , ,1, 51322,9,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4313,ARCO AVE,39, , ,4313,ARCO,889599,1017632
2011-12,08/30/2011 16:00,Y, , ,1, 51322,5,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,911,MONTGOMERY ST,64, ,APT A,911,MONTGOMERY,908082,1026479
2011-12,09/02/2011 12:00,Y, , ,1,103000,4,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,434,N 4TH ST,35,JOHN HENRY PROVISIONS, , , ,909726.3,1018037
2011-12,09/04/2011 11:55,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,3628,NEOSHO ST,16, , ,3628,NEOSHO,891882.1,998717.4
2011-12,09/05/2010 13:52,Y, , ,1,263120,8,OBSTRUCT GOVRN OP-FALSE REPORT,4048,W BELLE PL,58, , ,4048,BELLE,894182.1,1024708
2011-12,09/07/2009 17:50,Y, , ,1, 31421,6,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,4300,LEE,68, , ,4300,LEE,0,0
2011-12,09/08/2011 05:30, , ,Y,1, 51322,8,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3958,EVANS,58, , ,3958,EVANS,0,0
2011-12,09/08/2011 05:30, , ,Y,-1, 51330,8,BURGLARY-RESDNCE/UNK TIM/ATT FORCE ENTRY,3958,EVANS,58, , ,3958,EVANS,0,0
2011-12,09/09/2011 10:35,Y, , ,1,103000,4,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,1407,WASHINGTON AVE,36,1ST FINANCIAL CREDIT UNION, ,1407,WASHINGTON,906005.4,1019294
2011-12,09/10/2011 17:00,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1836,OFALLON ST,61,MURPHY PARK APTS, ,1836,OFALLON,905123.5,1022138
2011-12,09/15/2011 12:00,Y, , ,1, 52312,3,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,0,S BROADWAY / LEMP AV,18, , , , ,900549.7,1003740
2011-12,09/15/2011 14:50,Y, , ,1,264100,1,HEALTH-SANITATION VIOL,4347,CALIFORNIA AVE,17, , ,4347,CALIFORNIA,896266.1,998807.8
2011-12,09/16/2011 09:00,Y, , ,1, 64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",3717,S KINGSHIGHWAY BLVD,14, , ,865,RIVERTRAIL,885193.4,1004870
2011-12,09/17/2009 00:01,Y, , ,1, 91123,3,SIMPLE ASSAULT-CHILD/NO INJURY,2218,JULES ST,23, , ,2218,JULES,900665,1010525
2011-12,09/17/2011 00:01,Y, , ,1,179210,8,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,3900,PALM ST,56,TWO-FAMILY FLAT,3949 PALM ST 1ST FLOOR,3900,PALM,898823,1030708
2011-12,09/17/2011 11:30,Y, , ,1,142320,9,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3214,LOCUST ST,77, ,ALLEYWAY,3214,LOCUST,898495.4,1020699
2011-12,09/19/2011 23:00,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1509,OFALLON ST,61,OFALLON PLACE APTS., ,1509,OFALLON,906561.6,1022276
2011-12,09/23/2011 02:30,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1900,LOCUST ST,36,CLUB 15, ,1900,LOCUST,903882.1,1019249
2011-12,09/26/2011 07:30,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1436,N 16TH ST,61,OFALLON PLACE APTS, ,1436,16TH,906255.6,1022433
2011-12,09/26/2011 12:40,Y, , ,1,182130,9,DRUGS-POSSESSION/HEROIN,2641,HICKORY ST,31, , ,2641,HICKORY,900117.9,1015110
2011-12,09/28/2011 23:30, ,Y, ,-1,241100,1,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,3837, ,16, , ,3837,MICHIGAN,0,0
2011-12,09/30/2010 03:07,Y, , ,1,263120,8,OBSTRUCT GOVRN OP-FALSE REPORT,4048,W BELLE PL,58, , ,4048,BELLE,894182.1,1024708
2011-12,09/30/2011 16:18,Y, , ,1,264100,3,HEALTH-SANITATION VIOL,3725,PENNSYLVANIA AVE,19, , ,3725,PENNSYLVANIA,895945.1,1003129
2011-12,10/01/2004 14:43,Y, , ,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,5452,BISCHOFF AVE,12, , ,5452,BISCHOFF,883156.9,1012949
2011-12,10/01/2011 01:00,Y, , ,1,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,700,LEONARD K SULLIVAN,64, , ,700,LEONARD K SULLIVAN,0,0
2011-12,10/01/2011 02:45,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1319,N 7TH ST,62,CAMBRIDGE HEIGHTS, ,1319,7TH,909313.9,1021121
