Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
14-058536,2014-12,01/01/1979 00:01,Y, , ,1, ,175500,2,SEX OFFNS-SX MISCONDUCT/FIRST,2300,MARCONI ST,12, , ,2300,MARCONI,0,0
14-056316,2014-12,01/01/2010 10:50,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,3232,ITASKA ST,16, , ,3232,ITASKA,893693.7,996962.9
14-059075,2014-12,01/01/2013 11:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4729,LEXINGTON AVE,55, , ,4729,LEXINGTON,892698.7,1033718
14-056701,2014-12,01/01/2014 00:01,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,1127,S JEFFERSON AVE,31, , ,1127,JEFFERSON,900539.4,1015240
14-057341,2014-12,01/02/2013 08:51,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150,5101,RAYMOND AVE,51, , ,5101,RAYMOND,886950.3,1028400
14-056336,2014-12,01/03/2014 00:01,Y, , ,1, ,121000,3,EMBEZZLEMENT-VALUE OVER $150,1717,OHIO AVE,31,MISSOURI GLASS, ,1717,OHIO,899154,1012726
14-054711,2014-12,02/26/2014 00:01,Y, , ,1, , 51311,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/OCCUPIED,4615,VARRELMANN AVE,5, , ,4615,VARRELMANN,887874.2,1001253
14-057375,2014-12,03/01/2013 12:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,4250,E FARLIN AVE,68, , ,4250,FARLIN,897336,1033180
14-057691,2014-12,03/01/2014 00:01,Y, , ,1, ,115100,6,FRAUD-STEALING BY DECEIT/OVER $150,1240,SWITZER AVE,86,DALEY CHEMICALS, ,1200,SWITZER,895647.5,1047279
14-058582,2014-12,03/01/2014 00:01,Y, , ,1, ,115300,3,FRAUD-STEALING BY DECEIT/ATTEMPT,2249,SHENANDOAH AVE,23, , ,2249,SHENANDOAH,899937.5,1010235
14-057880,2014-12,04/01/2013 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,2214,MCCAUSLAND AVE,43, , ,2214,MCCAUSLAND,874960.3,1013760
14-059759,2014-12,04/10/2008 00:01,Y, , ,1, ,121000,3,EMBEZZLEMENT-VALUE OVER $150,1717,OHIO AVE,31,MISSOURI GLASS, ,1717,OHIO,899154,1012726
14-057693,2014-12,04/15/2014 12:00,Y, , ,1, ,115100,6,FRAUD-STEALING BY DECEIT/OVER $150,4228,E SAN FRANCISCO AVE,68, , ,4228,SAN FRANCISCO,897231.3,1032546
14-058437,2014-12,05/01/2014 17:13,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,5400,TERRY AVE,50, , ,5400,TERRY,0,0
14-023663,2014-12,05/31/2014 02:43, , , ,1, ,211000,2,DUI-DRVING WHILE INTOXICATED,6405,MANCHESTER,42, , , , ,0,0
14-059888,2014-12,06/01/2014 00:01,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,4700,MINNESOTA AVE,17, , ,4700,MINNESOTA,0,0
14-057065,2014-12,06/03/2014 00:01,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150,5020,VERNON AVE,51, , ,4014,UNION,887792.1,1028435
14-025116,2014-12,06/08/2014 13:00,Y, , ,1, , 64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",0,@FOREST PARK - KENNEDY FOREST,82, ,@FOREST PARK - KENNEDY FOREST,1,GOVERNMENT,876466,1019992
14-058700,2014-12,06/23/2014 08:53,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,5014,JAMIESON AVE,8, , ,5014,JAMIESON,875202.8,1002463
14-058905,2014-12,06/25/2014 08:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,3906,POMONA CT,16, , ,3906,POMONA,890759.8,1000666
14-057504,2014-12,06/26/2014 00:01,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",727,N 1ST ST,35,DELTA DENTAL HEALTH THEATRE,@OLD SPAGHETTI FACTORY,727,1ST,910611.3,1018575
14-057583,2014-12,07/01/2008 17:17,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3100,PENNSYLVANIA AVE,30, , ,3100,PENNSYLVANIA,0,0
14-058475,2014-12,07/01/2014 08:00,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150,6062,CATES AVE,48, , ,6062,CATES,878771.2,1028583
14-031466,2014-12,07/14/2014 13:20, , , ,-1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2232,MISSOURI,23, , ,2232,MISSOURI,0,0
14-031787,2014-12,07/16/2014 12:47,Y, , ,1, ,103000,6,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,4900,NATURAL BRIDGE AVE,55, , ,4900,NATURAL BRIDGE,891824.3,1034808
14-032862,2014-12,07/21/2014 08:00,Y, , ,1, ,242000,4,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,1520,MARKET ST,36,SAINT LOUIS MUNICIPAL DIVISION, ,1520,MARKET,904957.9,1017645
14-058493,2014-12,08/01/2011 00:01,Y, , ,1, ,179220,4,SEX OFFNS-CHILD MOLESTATION-SECOND DEGREE,1000,N JEFFERSON AVE,61, ,CARR LANE SCHOOL,1000,JEFFERSON,0,0
14-058755,2014-12,08/01/2011 12:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,4100,DELMAR BLVD,58, , ,4100,DELMAR,0,0
14-056015,2014-12,08/01/2014 00:01,Y, , ,1, , 51312,2,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3451,GRACE AVE,15, , ,3451,GRACE,893043.1,1005500
14-058637,2014-12,08/14/2014 12:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",1346,SAN JACINTO CT,44, , ,1346,SAN JACINTO,877735.2,1016972
14-058912,2014-12,08/15/2014 08:00,Y, , ,1, , 69602,1,"LARCENY-ALL OTHER $500 - $24,999",3737,WEBER RD,1, , ,3737,WEBER,884046.6,989421.4
14-037305,2014-12,08/15/2014 22:30, , , ,-1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3420,CALIFORNIA,19, , ,3420,CALIFORNIA,0,0
14-058370,2014-12,08/16/2014 12:00,Y, , ,1, , 52312,4,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,701,CONVENTION PZ,35, ,@EDWARD JONES DOME,701,CONVENTION,908773.3,1019107
14-060817,2014-12,08/17/2014 12:00,Y, , ,1, , 67601,6,"LARCENY-FROM BUILDING $500 - $24,999",6318,W FLORISSANT AVE,76,UP IN SMOKE SHOP, ,6318,FLORISSANT,889919,1048658
14-057327,2014-12,08/18/2014 00:01,Y, , ,1, ,101000,5,FORGERY,5542,PAGE BLVD,48, , ,5542,PAGE,883559.6,1030623
14-057396,2014-12,08/22/2014 00:01,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,1534,MISSISSIPPI AVE,32, , ,1534,MISSISSIPPI,902085.5,1013143
14-058959,2014-12,08/22/2014 17:58,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,4608,DR MARTIN LUTHER KING DR,54, , ,4608,DR MARTIN LUTHER KING,891129.1,1028936
14-059293,2014-12,08/27/2014 18:30,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,701,CONVENTION PZ,35,@EDWARD JONES DOME, ,701,CONVENTION,908773.3,1019107
14-039329,2014-12,08/28/2014 11:00, , , ,-1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3710,PENROSE,67, , ,3710,PENROSE,0,0
