MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2013-02,01/01/2011 10:00,Y, , ,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5916,LALITE AVE,76, , ,5916,LALITE,889578.8,1044325
2013-02,01/01/2013 00:01,Y, , ,1,179210,1,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,4400,OSCEOLA ST,5, , ,4400,OSCEOLA,886911.6,1003396
2013-02,01/01/2013 00:30, ,Y, ,-1, 41011,9,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE, ,UNKNOWN,0, , , , ,0,0
2013-02,01/01/2013 06:00,Y, , ,1, 65701,9,LARCENY-MTR VEH PARTS UNDER $500,2737,PAPIN ST,37, , ,2737,PAPIN,899734.8,1016209
2013-02,01/01/2013 08:00,Y, , ,1, 51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3230,LIBERTY ST,16, ,VACANT BANK OWNED PROPERTY,3230,LIBERTY,893625.4,996634.1
2013-02,01/01/2013 08:00,Y, , ,1, 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4640,S GRAND BLVD,16, , ,4640,GRAND,892262.8,998532.7
2013-02,01/01/2013 08:00,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2747,GEYER AVE,24, , ,2747,GEYER,0,0
2013-02,01/01/2013 08:00,Y, , ,1, 69602,1,"LARCENY-ALL OTHER $500 - $24,999",3000,MOUNT PLEASANT ST,17, ,REAR,3000,MOUNT PLEASANT,895085.6,997432
2013-02,01/01/2013 14:00,Y, , ,1, 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,800,WASHINGTON AVE,35, , ,800,WASHINGTON,908187.4,1018534
2013-02,01/01/2013 18:00,Y, , ,1, 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5681,HILLER PL,76, , ,5681,HILLER,890939.9,1047275
