Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
15-007162,2015-02,01/01/2003 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4102,N KINGSHIGHWAY BLVD,69, , ,4102,KINGSHIGHWAY,891856.8,1036375
15-007974,2015-02,01/01/2012 00:01,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,1621,N 1ST ST,64, , ,1621,1ST,910626.9,1022779
15-006723,2015-02,01/01/2013 09:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,3964,WASHINGTON AVE,38, , ,3964,WASHINGTON,894256.6,1023058
15-006279,2015-02,01/01/2013 16:43,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,8700,S BROADWAY,2,RIVERBEND APARTMENTS, ,8700,BROADWAY,0,0
15-008909,2015-02,01/01/2014 08:00,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3840,MINNESOTA AVE,16, , ,3840,MINNESOTA,895674.7,1002299
15-008053,2015-02,01/01/2015 00:25,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3234,MICHIGAN AVE,30, , ,3234,MICHIGAN,895980.2,1006357
15-006066,2015-02,01/01/2015 02:00,Y, , ,1, , 44016,1,ASSLT-AGGRV-HND/FST/FT-3RD-ADUL-DOMESTIC,8520,S BROADWAY,2, , ,8535,LOWELL,887303.3,985686.6
15-008064,2015-02,01/01/2015 02:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3463,TENNESSEE AVE,19, , ,3463,TENNESSEE,894244.7,1005045
15-007490,2015-02,01/01/2015 08:00,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,1842,RUSSELL AVE,23, , ,1842,RUSSELL,901768.6,1010634
15-000158,2015-02,01/01/2015 20:00, , , ,-1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,850, ,75, , ,850,RIVER RUN,0,0
15-007643,2015-02,01/02/2015 10:48,Y, , ,1, , 51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3124,OSCEOLA ST,17, ,VACANT SINGLE FAMILY RESIDENCE,3124,OSCEOLA,894732.5,998822.3
15-006351,2015-02,01/03/2015 12:44,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,932,LOUGHBOROUGH AVE,1, ,LOWES,932,LOUGHBOROUGH,888524.2,991611.8
15-000505,2015-02,01/04/2015 00:01,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,6948,IDAHO AVE,1, , ,6948,IDAHO,888932.9,991083.3
15-006370,2015-02,01/04/2015 15:00,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7450,HAMPTON AVE,6, ,@SCHNUCKS - HAMPTON AND GRAVOIS,7450,HAMPTON,879164.2,994830.9
15-004735,2015-02,01/05/2015 00:01,Y, , ,1, ,115100,4,FRAUD-STEALING BY DECEIT/OVER $150,3526,PAGE BLVD,77, ,@PNC BANK,3526,PAGE,898134.1,1024121
15-006404,2015-02,01/05/2015 13:00,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4920,NOTTINGHAM AVE,7, , ,4920,NOTTINGHAM,883781.8,1001944
15-005558,2015-02,01/06/2015 08:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4429,KENNERLY AVE,57, , ,4429,KENNERLY,893715.7,1030363
15-000893,2015-02,01/06/2015 16:00, , , ,-1, , 31421,4,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,1411,LOCUST,36, , ,1411,LOCUST,0,0
15-000879,2015-02,01/06/2015 16:30, , , ,1, ,241100,5,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,4851, ,55, , ,4851,HAMMETT,0,0
15-000879,2015-02,01/06/2015 16:30, , , ,-1, , 91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4851, ,55, , ,4851,HAMMETT,0,0
15-001219,2015-02,01/07/2015 10:30,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2100,OLIVE ST,36, ,EMPLOYEE PARKING LOT,2100,OLIVE,903127.3,1019233
15-009542,2015-02,01/07/2015 15:47,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,2709,LOCUST ST,37, ,MAILBOX ROOM OF BUILDING,2709,LOCUST,901206.8,1020167
15-008764,2015-02,01/08/2015 08:00,Y, , ,1, ,101000,3,FORGERY,2800,CHEROKEE ST,19, , ,2800,CHEROKEE,897271.9,1005153
15-001164,2015-02,01/08/2015 17:30, , , ,1, , 71030,4,AUTO THEFT-PERM RETNT/JOY RIDE,1909,BIDDLE,61, , ,1909,BIDDLE,0,0
15-001164,2015-02,01/08/2015 17:30, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1909,BIDDLE,61, , ,1909,BIDDLE,0,0
15-007782,2015-02,01/09/2015 09:07,Y, , ,1, , 65601,6,"LARCENY-MTR VEH PARTS $500 - $24,999",5148,BROWN AVE,70, , ,5148,BROWN,890999.6,1037315
15-001262,2015-02,01/09/2015 12:06,Y, , ,1, ,182130,4,DRUGS-POSSESSION/HEROIN,1134,BRISTOL LN,63, , ,1134,BRISTOL,908316.5,1024404
15-001277,2015-02,01/09/2015 13:40,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3100,EVANS AVE,59, , ,3100,EVANS,899403.8,1024179
15-001278,2015-02,01/09/2015 15:02,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,3541,BINGHAM AVE,16, , ,3541,BINGHAM,893358.1,999917.8
15-005564,2015-02,01/09/2015 23:30,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1420,E OBEAR AVE,66, , ,1420,OBEAR,904219.6,1034073
15-005207,2015-02,01/10/2015 12:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3505,GOODFELLOW BLVD,50,HILLVALE APARTMENTS COMPLEX,NUISANCE ABATEMENT PROPERTY,3505,GOODFELLOW,885223.2,1037727
15-001514,2015-02,01/11/2015 01:20, , , ,-1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3437,IOWA,19, , ,3437,OLIVE,0,0
15-006439,2015-02,01/11/2015 07:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,3969,WASHINGTON AVE,38, , ,4014,UNION,894379.8,1023297
15-001614,2015-02,01/11/2015 22:50,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1545,CARR ST,61, , , , ,905664.1,1021110
15-001619,2015-02,01/12/2015 00:10, , , ,1, , 91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,4510,LOUISIANA,16, ,: APT B,4510,LOUISIANA,0,0
15-001619,2015-02,01/12/2015 00:10, , , ,-1, , 31421,1,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,4510,LOUISIANA,16, ,: APT B,4510,LOUISIANA,0,0
15-001623,2015-02,01/12/2015 01:15, , , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,5741,HENNER,72, , ,5741,HENNER,0,0
15-001623,2015-02,01/12/2015 01:15, , , ,-1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,5741,HENNER,72, , ,5741,HENNER,0,0
15-006358,2015-02,01/12/2015 10:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3010,MAGNOLIA AVE,25, , ,3010,MAGNOLIA,896844.6,1009103
15-009005,2015-02,01/12/2015 12:30,Y, , ,1, , 91123,5,SIMPLE ASSAULT-CHILD/NO INJURY,647,TOWER GROVE AVE,38,STIX SCHOOL,@STIX SCHOOL,647,TOWER GROVE,890363.6,1019087
15-006570,2015-02,01/12/2015 22:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4422,MAFFITT AVE,57, , ,4422,MAFFITT,893884.9,1030461
15-001894,2015-02,01/13/2015 14:00,Y, , ,1, ,182130,1,DRUGS-POSSESSION/HEROIN,4941,EICHELBERGER ST,7, , ,4941,EICHELBERGER,882999.9,1000602
15-001930,2015-02,01/13/2015 16:30,Y, , ,1, ,182250,1,DRUGS-POSSESSION/COCAINE,4918,WINONA AVE,7, , ,4918,WINONA,884486.4,1003791
15-001967,2015-02,01/13/2015 18:00,Y, , ,1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4715,LEDUC ST,55, ,RESIDENCE/HOME,4715,LEDUC,890976.4,1030387
15-001950,2015-02,01/13/2015 19:30,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,6124,N BROADWAY,79, ,LOVES GAS STATION, , ,900558.8,1038456
15-002021,2015-02,01/14/2015 08:45,Y, , ,1, ,151110,6,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,4726,GOODFELLOW BLVD,70, , ,4726,GOODFELLOW,887037.6,1043017
15-005766,2015-02,01/14/2015 10:00,Y, , ,1, , 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",1727,PARK AVE,32,SQUARE ONE BREWERY, ,1727,PARK,902797.7,1013620
15-002181,2015-02,01/14/2015 11:00,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,5547,CHAMBERLAIN AVE,48, , ,5547,CHAMBERLAIN,883332.8,1029810
15-002046,2015-02,01/14/2015 11:42,Y, , ,1, ,182400,5,DRUGS-POSSESSION/MARIJUANA,5720,ST LOUIS AVE,50,@WELLS-GOODFELLOW NEIGHBORHOOD, ,5720,ST LOUIS,885114.6,1036150
15-002123,2015-02,01/14/2015 17:00,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",2907,GAMBLE ST,59, ,@GAMBLE RECREATION CENT,3418,FRANKLIN,900847.1,1022511
15-002116,2015-02,01/14/2015 18:11,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",440,N 4TH ST,35, , ,440,4TH,909726.3,1018037
15-002360,2015-02,01/14/2015 23:00,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,1000,OLIVE ST,35, , , , ,907373.2,1018005
15-002188,2015-02,01/15/2015 07:40,Y, , ,1, , 41013,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,4365,KENNERLY AVE,57, , ,4365,KENNERLY,894199.8,1029983
15-002188,2015-02,01/15/2015 07:40,Y, , ,1, , 41013,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,4365,KENNERLY AVE,57, , ,4365,KENNERLY,894199.8,1029983
15-005891,2015-02,01/15/2015 08:22,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,2001,MAURY AVE,13, , ,2001,MAURY,888123.6,1013115
15-002226,2015-02,01/15/2015 11:36, , , ,-1, ,265321,2,LEAVING SCENE OF ACCIDENT, , ,11, , ,1900,HAMPTON,0,0
15-006934,2015-02,01/15/2015 12:00,Y, , ,1, , 51312,2,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5329,ARSENAL ST,13, , ,5329,ARSENAL,883955.2,1009618
15-007017,2015-02,01/15/2015 12:00,Y, , ,1, , 51322,2,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4500,SHENANDOAH AVE,13, , ,4500,SHENANDOAH,888006.3,1011725
15-006587,2015-02,01/15/2015 15:00,Y, , ,1, , 51312,4,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3857,MAFFITT AVE,59, , ,3857,MAFFITT,898269.1,1028281
15-007654,2015-02,01/15/2015 15:30,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",529,CHESTNUT ST,35, , ,529,CHESTNUT,908732.9,1017197
15-002306,2015-02,01/15/2015 23:45, , , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,3201,LOCUST,77, , , , ,0,0
15-002306,2015-02,01/15/2015 23:45, , , ,-1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3201,LOCUST,77, , , , ,0,0
15-008006,2015-02,01/16/2015 00:01,Y, , ,1, , 43025,4,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,2001,N 13TH ST,63, , ,2001,13TH,907817.9,1024034
15-002307,2015-02,01/16/2015 01:25, , , ,1, , 43016,3,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,2118, ,23, ,:DOWNSTAIRS UNIT,2118,MISSISSIPPI,0,0
15-002307,2015-02,01/16/2015 01:25, , , ,-1, , 91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",2118, ,23, ,:DOWNSTAIRS UNIT,2118,MISSISSIPPI,0,0
15-006101,2015-02,01/16/2015 07:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1200,S BROADWAY,20, ,MO DOT PARKING LOT AT THE SOUTH 3RD,1200,3RD,907633.4,1012895
15-005471,2015-02,01/16/2015 08:00,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,2124,WITHNELL AVE,22, , ,2124,WITHNELL,899537.7,1005802
15-007913,2015-02,01/16/2015 12:46,Y, , ,1, ,121000,4,EMBEZZLEMENT-VALUE OVER $150,200,S JEFFERSON AVE,36, , ,200,JEFFERSON,901175.3,1018172
15-007492,2015-02,01/16/2015 17:00,Y, , ,1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1641,S KINGSHIGHWAY BLVD,12,UHAUL, ,1641,KINGSHIGHWAY,886712.8,1014540
15-005340,2015-02,01/16/2015 19:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,2525,N VANDEVENTER AVE,56, , ,2525,VANDEVENTER,897534.3,1027498
15-008491,2015-02,01/16/2015 20:17,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3936,COOK AVE,58, , ,3936,COOK,895577.4,1024907
15-005566,2015-02,01/16/2015 21:15,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5003,NATURAL BRIDGE AVE,70, ,@AMOCO - NATURAL BRIDGE AND N KINGSH,5003,NATURAL BRIDGE,891035.4,1035280
15-002477,2015-02,01/16/2015 22:23, , , ,-1, ,265321,3,LEAVING SCENE OF ACCIDENT, , ,31, ,: ALIAS S GRAND BLVD/WB44, , ,0,0
15-005765,2015-02,01/17/2015 13:00,Y, , ,1, , 51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3204,DELOR ST,16, , ,3204,DELOR,893830.2,996312.2
15-002640,2015-02,01/17/2015 19:55,Y, , ,1, ,182130,3,DRUGS-POSSESSION/HEROIN,1316,S 7TH ST,20, ,MERCURY IL V318432, , ,906781.3,1012266
15-002734,2015-02,01/18/2015 07:15,Y, , ,1, , 51112,4,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,3737,GARFIELD AVE,59, , ,3737,GARFIELD,898399.6,1026098
15-002792,2015-02,01/18/2015 15:15, , , ,1, , 32111,6,ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL,4732,LABADIE,55, ,REAR OF THE VACANT HOUSE,4732,LABADIE,0,0
15-002792,2015-02,01/18/2015 15:15, , , ,-1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4732,LABADIE,55, ,REAR OF THE VACANT HOUSE,4732,LABADIE,0,0
15-002806,2015-02,01/18/2015 16:56, , , ,-1, ,263120,1,OBSTRUCT GOVRN OP-FALSE REPORT,4415,MINNESOTA,17, , ,4415,MINNESOTA,0,0
15-002806,2015-02,01/18/2015 16:56, , , ,1, ,263120,1,OBSTRUCT GOVRN OP-FALSE REPORT,4415,MINNESOTA,17, , ,4415,MINNESOTA,0,0
15-002806,2015-02,01/18/2015 16:56, , , ,-1, , 91124,1,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",4415,MINNESOTA,17, , ,4415,MINNESOTA,0,0
15-002806,2015-02,01/18/2015 16:56, , , ,1, ,263120,1,OBSTRUCT GOVRN OP-FALSE REPORT,4415,MINNESOTA,17, , ,4415,MINNESOTA,0,0
15-002806,2015-02,01/18/2015 16:56, , , ,-1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4415,MINNESOTA,17, , ,4415,MINNESOTA,0,0
15-002832,2015-02,01/18/2015 21:35,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,CASS AVE / N JEFFERSON AVE,59, , , , ,902228.9,1023863
15-006708,2015-02,01/19/2015 00:53,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3512,N NEWSTEAD AVE,56, , ,3512,NEWSTEAD,895160.2,1032160
15-002854,2015-02,01/19/2015 00:55, , , ,-1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1323,MONTCLAIR,78, , ,1323,MONTCLAIR,0,0
15-002851,2015-02,01/19/2015 01:00, , , ,-1, , 83000,5,ARSON-KNOWINGLY BURNING/SUCCESS,5127,MINERVA,51, , ,5150,MINERVA,0,0
15-006512,2015-02,01/19/2015 17:45,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4660,CHIPPEWA ST,5, ,SHOP & SAVE,4660,CHIPPEWA,885362.3,1003846
15-007519,2015-02,01/19/2015 20:00,Y, , ,1, , 92000,6,SIMPLE ASSAULT-HARRASSMENT,1111,HOWELL ST,74, , ,1111,HOWELL,895389.8,1051841
15-003049,2015-02,01/20/2015 06:50,Y, , ,1, , 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1111,HODIAMONT AVE,48, , ,1111,HODIAMONT,879216.3,1030731
15-005401,2015-02,01/20/2015 07:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,1000,WASHINGTON AVE,35, , ,1000,WASHINGTON,907483,1018737
15-005271,2015-02,01/20/2015 08:00,Y, , ,1, , 51312,2,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3808,GRAVOIS AVE,15, , ,3808,GRAVOIS,891754.3,1004254
15-003078,2015-02,01/20/2015 08:40,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,0,I 44 EASTBOUND / S VANDEVENTER,13, , , , ,888838.9,1014234
15-003461,2015-02,01/20/2015 09:15,Y, , ,1, , 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,0,GOODFELLOW BLVD / PAGE BLVD,48,BUS STOP, , , ,882104.4,1031777
15-003083,2015-02,01/20/2015 09:29,Y, , ,1, , 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,0,CLARA AVE / WELLS AVE,78, , , , ,883907.8,1032486
15-003109,2015-02,01/20/2015 11:10,Y, , ,1, ,182130,4,DRUGS-POSSESSION/HEROIN,3802,N 23RD ST,65, , ,3802,23RD,903695.9,1029274
15-008957,2015-02,01/20/2015 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4028,SHREVE AVE,69, , ,4028,SHREVE,893522.9,1035399
15-008959,2015-02,01/20/2015 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,8926,ANNETTA ST,74, , ,8926,ANNETTA,895198.7,1051104
15-008958,2015-02,01/20/2015 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,3307,N EUCLID AVE,55, , ,3307,EUCLID,891261.9,1033933
15-006706,2015-02,01/20/2015 12:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,9075,GOODFELLOW BLVD,73, ,@BANK OF AMERICA - GOODFELLOW,9075,GOODFELLOW,893940.4,1052090
15-006367,2015-02,01/20/2015 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,1449,SWITZER AVE,74, , ,1449,SWITZER,894069.9,1049075
15-008489,2015-02,01/20/2015 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,963,RIVERVIEW BLVD,74, , ,963,RIVERVIEW,896205,1052677
15-008640,2015-02,01/20/2015 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5618,ACME AVE,76, , ,5618,ACME,889285.1,1047598
15-008207,2015-02,01/20/2015 14:00,Y, , ,1, ,264100,1,HEALTH-SANITATION VIOL,3212,DAKOTA ST,16, , ,3212,DAKOTA,894104.1,998255.7
15-003260,2015-02,01/20/2015 22:00,Y, , ,1, , 41016,5,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,4851,FOUNTAIN AVE,53, , ,4851,FOUNTAIN,889120.2,1027730
15-003212,2015-02,01/20/2015 23:50, , , ,1, , 43012,6,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,5728,FLORISSANT,72, , ,5728,FLORISSANT,0,0
15-003212,2015-02,01/20/2015 23:50, , , ,-1, , 31311,6,ROBBERY-HIGHWAY/OTHR WEPN USED/SUCCESSFUL,5728,FLORISSANT,72, , ,5728,FLORISSANT,0,0
15-005523,2015-02,01/21/2011 00:19,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4720,S BROADWAY,17,RIVERBEND APARTMENTS, ,4720,BROADWAY,895912.1,996407
15-006711,2015-02,01/21/2015 09:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4341,GANO AVE,67, , ,4341,GANO,901821.8,1033184
15-005237,2015-02,01/21/2015 10:12,Y, , ,1, ,112010,1,FRAUD-CREDIT DEVICE/OVER $150,3922,DUNNICA AVE,16, , ,3922,DUNNICA,890815.4,1003012
15-005742,2015-02,01/21/2015 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4457,FLORISS PL,69, , ,4457,FLORISS,898152.3,1037178
15-003310,2015-02,01/21/2015 12:45, , , ,-1, , 72130,2,AUTO THEFT-TRUCK/PERM RETNT/JOY RIDE,4315,GIBSON,39, , ,4315,GIBSON,0,0
15-005638,2015-02,01/21/2015 15:00,Y, , ,1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,7042,JAMIESON AVE,8, ,APT F,7042,JAMIESON,877520.6,997270.1
15-008821,2015-02,01/21/2015 15:30,Y, , ,1, ,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,400,S 14TH ST,36, ,@HOTEL- SHERATON,400,14TH,905362.3,1016200
