MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2013-01,01/01/2011 09:50,Y, , ,1, 91124,8,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",4746,LEDUC ST,55, , ,4746,LEDUC,890560.6,1030332
2013-01,01/01/2011 12:00,Y, , ,1, 72113,1,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,4600,NEWPORT AVE,5, , ,4569,NEWPORT,888567.1,1000926
2013-01,01/01/2012 23:00,Y, , ,1, 65701,8,LARCENY-MTR VEH PARTS UNDER $500,4772,LABADIE AVE,55, , ,4772,LABADIE,891581.8,1032628
2013-01,01/01/2013 00:01,Y, , ,1,142320,9,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4315,WASHINGTON AVE,38, , ,4315,WASHINGTON,891912.9,1024663
2013-01,01/01/2013 00:01,Y, , ,1, 51221,1,BURGLARY-RESIDENCE/NIT/UNLAW ENT/OCCUPIED,4221,S 37TH ST,16, , ,4221,37TH,892855.4,1000823
2013-01,01/01/2013 00:01,Y, , ,1,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6000,N BROADWAY,79, , ,6000,BROADWAY,901020,1038061
2013-01,01/01/2013 00:01,Y, , ,1,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5443,BEACON AVE,72, , ,5443,BEACON,892655.8,1043070
2013-01,01/01/2013 00:10,Y, , ,1, 67701,1,LARCENY-FROM BUILDING UNDER $500,7637,IVORY AVE,2,IVORY COAST BISTRO, , , ,888205.6,988906.2
2013-01,01/01/2013 00:18,Y, , ,1,152200,2,WEAPONS-CITY VIOL/DISCHRGING IN CITY,6747,HOFFMAN AVE,10, , ,6747,HOFFMAN,876018,1010915
2013-01,01/01/2013 00:24,Y, , ,1,142320,9,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4466,WEST PINE BLVD,38, ,CONDO,4466,WEST PINE,889566.1,1022107
2013-01,01/01/2013 00:27,Y, , ,1,265321,1,LEAVING SCENE OF ACCIDENT,0,GERMANIA ST / GRAVOI,4, , , , ,879097.3,994408.1
2013-01,01/01/2013 00:30,Y, , ,1,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,HILL ST / S BROADWAY,17, , ,950,LOUGHBOROUGH,894926.2,995158.1
2013-01,01/01/2013 00:30,Y, , ,1, 41011,9,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,0,UNKNOWN,0, , , , ,0,0
2013-01,01/01/2013 00:34,Y, , ,1,211000,9,DUI-DRVING WHILE INTOXICATED,3537,CHOUTEAU AVE,37, , , , ,895771.1,1016910
2013-01,01/01/2013 00:36,Y, , ,1,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4533,ARLINGTON AVE,71, , , , ,890790.9,1040186
