MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2011-07,01/01/1900 00:00,Y, , ,1, 71040,4,AUTO THEFT-PERM RETNT/ATTEMPT,1469,LASALLE LN,33,CLINTON-PEABODY COMPLEX, ,1469,LASALLE,904103.4,1014225
2011-07,01/01/1900 00:00,Y, , ,1, 71040,4,AUTO THEFT-PERM RETNT/ATTEMPT,1469,LASALLE LN,33,CLINTON-PEABODY COMPLEX, ,1469,LASALLE,904103.4,1014225
2011-07,01/01/2000 00:01,Y, , ,1,172100,3,SEX OFFNS-SODOMY/FORCIBLE,3700,S BROADWAY,18, , ,3700,S. BROADWAY,898832.9,1002804
2011-07,01/01/2001 09:46,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,6100,VIRGINIA AVE,1, , ,6100,VIRGINIA,891876.5,993227.4
2011-07,01/01/2004 10:54,Y, , ,1,115100,1,FRAUD-STEALING BY DECEIT/OVER $150,4685,ALLEMANIA ST,4, , ,4685,ALLEMANIA,880483.9,993642.4
2011-07,01/01/2009 00:01,Y, , ,1,171200,6,SEX OFFNS-STATUATORY RAPE/FIRST,6000,SHULTE AVE,76, , ,6000,SCHULTE,890818.1,1046459
2011-07,01/01/2010 07:38,Y, , ,1, 21000,6,RAPE -- FORCIBLE,900,NASSAU DR,74, , ,900,NASSAU,896614.4,1052173
2011-07,01/01/2010 09:11,Y, , ,1,112010,9,FRAUD-CREDIT DEVICE/OVER $150,3303,OLIVE ST,37, , ,3303,OLIVE,898228,1020543
2011-07,01/01/2011 00:01,Y, , ,1,115400,7,STLG BY DECEIT/IDENTITY THEFT REPORT,2415,NORTH KINGSHIGHWAY,52,NORTHVIEW VILLAGE APARTMENTS, ,2415,NORTH KINGSHIGHWAY,0,0
2011-07,01/01/2011 00:01,Y, , ,1,204100,5,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,4814,N 20TH ST,66, , ,4814,20TH,903022.3,1033837
2011-07,01/01/2011 08:00,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2708,MISSOURI AVE,22, , ,2708,MISSOURI,900117.3,1008548
2011-07,01/01/2011 13:18,Y, , ,1,179200,8,SEX OFFNS-CHILD MOLESTATION,1200,WALTON AVE,53, , , , ,889645,1028488
2011-07,01/08/2011 11:00,Y, , ,1, 69702,9,LARCENY-ALL OTHER UNDER $500,2704,STODDARD ST,59, , ,2704,STODDARD,901786.1,1022067
2011-07,01/17/2005 00:01,Y, , ,1,172300,1,SEX OFFNS-STATUATORY SODOMY/FIRST,4600,S GRAND BLVD,16, , ,4600,GRAND,892288.3,998571.1
2011-07,01/20/2011 10:19,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4274,ELLENWOOD AVE,5, , ,4249,ELLENWOOD,887238.8,1002125
2011-07,02/01/2010 08:00,Y, , ,1,179220,1,SEX OFFNS-CHILD MOLESTATION-SECOND DEGREE,7800,TENNESSEE PL,1, , ,7800,TENNESSEE,886334.5,989548.4
2011-07,02/11/2011 07:00,Y, , ,1, 67601,9,"LARCENY-FROM BUILDING $500 - $24,999",4426,WESTMINSTER PL,38, , ,4426,WESTMINSTER,890518.8,1024211
2011-07,02/15/2011 00:01,Y, , ,1, 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5409,VIRGINIA AVE,1, ,RESEDENTIAL-VACANT PROPERTY,5409,VIRGINIA,892821.6,995046.4
2011-07,02/16/2011 23:11,Y, , ,1,262100,2,PORNAGRAPHY-PROMOTING,7049,PLATEAU AVE,43, , ,7049,PLATEAU,874639.9,1016235
2011-07,02/26/2011 11:36,Y, , ,1,115100,5,FRAUD-STEALING BY DECEIT/OVER $150,4318,N. GRAND,67,CURRENCY EXCHANGE, ,4318,N. GRAND,0,0
2011-07,02/28/2011 11:06,Y, , ,1,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1200,CLARK AVE,36, ,@HEADQUARTERS,1200,CLARK,905878.5,1016618
2011-07,03/03/2011 15:21,Y, , ,1, 91114,2,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5046,PERNOD AVE,14, , ,5046,PERNOD,883740.1,1005522
2011-07,03/07/2011 08:00,Y, , ,1, 51322,6,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,6011,NORTH POINTE BLVD,73, , ,6011,NORTH POINTE,891584.3,1048142
2011-07,03/10/2011 21:00,Y, , ,1,171300,6,SEX OFFNS-STATUATORY RAPE/SECOND,3900,CLARENCE AVE,68,MOST HOLY ROSARY CATHOLIC CHURCH, ,4800,MAFFITT,896028.3,1033322
2011-07,03/12/2011 09:45,Y, , ,1,264100,7,HEALTH-SANITATION VIOL,5536,ASHLAND AVE,50, , ,5536,ASHLAND,886767,1036416
2011-07,03/14/2011 00:01,Y, , ,1, 44025,3,ASLT-AGGRV-HND/FST/FT-2ND-CHILD-DOMESTIC,3704,KOSCIUSKO ST,18, , ,3704,KOSCIUSKO,900610.6,1002321
2011-07,03/29/2011 19:31,Y, , ,1, 67701,2,LARCENY-FROM BUILDING UNDER $500,5244,WINONA AVE,7, , ,5244,WINONA,882757.1,1004031
2011-07,04/01/2011 09:00,Y, , ,1, 67701,4,LARCENY-FROM BUILDING UNDER $500,1824,N 22ND ST,60, , ,1824,22,904027.5,1024740
2011-07,04/01/2011 11:54,Y, , ,1,179220,7,SEX OFFNS-CHILD MOLESTATION-SECOND DEGREE,6000,HORTON PL,48, ,SINGLE FAMILY RESIDENCE,6000,HORTON,879599.8,1030152
2011-07,04/02/2011 07:20,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2350,PARK AVE,32,DOORWAYS, ,2350,PARK,900224.3,1013897
2011-07,04/02/2011 11:08,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1931,PHIPPS ST,61,MURPHY PARK APTS, ,1931,PHIPPS,904745.6,1022621
2011-07,04/05/2011 09:30,Y, , ,1,142320,8,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4130,E LEXINGTON AVE,56,STATE OF THE ART SCHOOL, ,4130,LEXINGTON,898032.1,1030880
