Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
14-030620,2014-07,01/01/2005 00:01,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,4300,LINDELL BLVD,38,OUR LITTLE HAVEN, ,4300,COTE BRILLIANTE,0,0
14-031420,2014-07,01/01/2013 12:00,Y, , ,1, , 69602,2,"LARCENY-ALL OTHER $500 - $24,999",3630,HOLT AVE,15, , ,3630,HOLT,889438.3,1004318
14-029455,2014-07,01/01/2014 00:01,Y, , ,1, ,179210,6,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,6000,MCARTHUR AVE,70, , ,6000,MCARTHUR,0,0
14-033895,2014-07,01/01/2014 09:45,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,814,N 19TH ST,36, ,@CENTER FOR MANAGEMENT,814,19TH,904290.5,1020354
14-030968,2014-07,01/14/2014 17:00,Y, , ,1, , 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",5750,FINKMAN ST,6, , ,5750,FINKMAN,879142.7,998939.9
14-029638,2014-07,01/18/2014 12:00,Y, , ,1, ,204100,5,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,2612,UNION BLVD,52, , ,2612,UNION,887717,1033290
14-034430,2014-07,01/31/2014 12:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,9999,UNKNOWN,0, , ,4029,TAYLOR,0,0
14-034082,2014-07,01/31/2014 12:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,9999,UNKNOWN,0, , ,5035,GENEVIEVE,0,0
13-005573,2014-07,02/01/2013 00:01, , , ,-1, , 67601,5,"LARCENY-FROM BUILDING $500 - $24,999",5863,SELBER,50, ,:APT 1D,5863,SELBER,0,0
14-029139,2014-07,02/01/2014 00:01,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3012,LEMP AVE,22, , ,3012,LEMP,901057.1,1006555
14-032508,2014-07,02/01/2014 07:00,Y, , ,1, , 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",2307,MINNESOTA AVE,25, ,CONDO,2307,MINNESOTA,896804.1,1010529
14-034691,2014-07,02/01/2014 08:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",5045,LINDENWOOD AVE,14, , ,5045,LINDENWOOD,884147.2,1004647
14-030370,2014-07,02/05/2014 00:01,Y, , ,1, ,262100,2,PORNAGRAPHY-PROMOTING,6124,COLUMBIA AVE,11, , ,6124,COLUMBIA,879747.9,1011877
14-033935,2014-07,02/10/2014 13:10,Y, , ,1, ,111110,2,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,6487,MANCHESTER AVE,43,COLOMBOS CHECK CASHING, ,6487,MANCHESTER,878180.7,1014948
14-031395,2014-07,02/15/2014 09:43,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,5242,LOUGHBOROUGH AVE,6, , ,5242,LOUGHBOROUGH,880334.2,997317.1
14-034503,2014-07,03/01/2014 08:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,2613,PALM ST,59, , ,919,JEFFERSON,902146.8,1028781
14-032707,2014-07,03/08/2014 21:24,Y, , ,1, , 69602,6,"LARCENY-ALL OTHER $500 - $24,999",169,E GRAND BLVD,64, , ,169,GRAND,905629.8,1035403
14-033437,2014-07,03/15/2014 12:55,Y, , ,1, , 65601,6,"LARCENY-MTR VEH PARTS $500 - $24,999",7410,HALL ST,79, ,@CITY TOW,7410,HALL,899571.8,1044964
14-034671,2014-07,03/15/2014 15:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,6226,ARENDES DR,3, , ,6226,ARENDES,888607,994223.4
14-029939,2014-07,03/28/2014 11:29,Y, , ,1, , 67701,2,LARCENY-FROM BUILDING UNDER $500,3282,WATSON RD,9, , ,3282,WATSON,877933.6,1008590
