MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2010-06,01/01/1999 00:01,Y, , ,1,179210,1,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,5200,DEWEY AVE,3, , ,5200,DEWEY,890277.9,997565.7
2010-06,01/01/1999 00:01,Y, , ,1,179210,1,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,5200,DEWEY AVE,3, , ,5200,DEWEY,890277.9,997565.7
2010-06,01/01/2002 12:11,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2917,S COMPTON AVE,25, , ,2917,COMPTON,895804.6,1008581
2010-06,01/01/2004 10:40,Y, , ,1, 67701,1,LARCENY-FROM BUILDING UNDER $500,4635,RIDGEWOOD AVE,5, , ,4635,RIDGEWOOD,885236.3,1001889
2010-06,01/01/2006 00:01,Y, , ,1,172100,9,SEX OFFNS-SODOMY/FORCIBLE,1700,LONGFELLOW PL,31, , ,1700,LONGFELLOW,897181.9,1012986
2010-06,01/01/2009 09:40,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,3657,KEOKUK ST,16, , ,3657,KEOKUK,892547.5,1002611
2010-06,01/01/2010 00:01,Y, , ,1,175400,3,SEX OFFNS-SX MISCONDUCT/SECOND,2600,MISSOURI AVE,22, , ,2600,MISSOURI,900204.8,1008794
2010-06,01/01/2010 08:00,Y, , ,1,172100,8,SEX OFFNS-SODOMY/FORCIBLE,4600,ELMBANK AVE,56, , ,4600,ELMBANK,893125.2,1032863
2010-06,01/06/2010 17:53,Y, , ,1,262100,1,PORNAGRAPHY-PROMOTING,4639,WILCOX AVE,5, , ,4639,WILCOX,884717.5,1001041
2010-06,01/13/2010 21:00, , ,Y,1, 44015,8,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,3330,KINGSHIGHWAY,55, , ,3330,KINGSHIGHWAY,0,0
