MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2011-06,1/1/1991 22:00,Y, , ,1, 21000,0,RAPE -- FORCIBLE,0,NATURAL BRIDGE AVE,0, ,FATHERS RESIDENCE,6200,LUCILLE,0,0
2011-06,1/1/1996 9:22,Y, , ,1,121000,2,EMBEZZLEMENT-VALUE OVER $150,3710,HAMPTON AVE,14, , ,3710,HAMPTON,879391.1,1005729
2011-06,1/1/2000 8:00,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2107,S GRAND BLVD,27, , ,2107,GRAND,894367.7,1012217
2011-06,1/1/2010 8:00,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,4022,DE TONTY ST,27, , ,4022,DE TONTY,892151.2,1013573
2011-06,1/1/2011 0:01, , ,Y,1, 91123,8,SIMPLE ASSAULT-CHILD/NO INJURY,4205,SAINT LOUIS AVE,56, ,BOARDING HOUSE,2657,ARMAND,896265.8,1029716
2011-06,1/1/2011 0:01, , ,Y,-1,179200,8,SEX OFFNS-CHILD MOLESTATION,4200,SAINT LOUIS AVE,56, ,BOARDING HOUSE,2700,ARMAND,896265.8,1029716
2011-06,1/1/2011 8:00,Y, , ,1, 92000,3,SIMPLE ASSAULT-HARRASSMENT,3734,HARTFORD ST,15, , ,1900,PARK,892778.1,1008112
2011-06,1/17/2011 9:50,Y, , ,1,265321,8,LEAVING SCENE OF ACCIDENT,4973,FOUNTAIN AVE,53, , ,4973,FOUNTAIN,888074.1,1027763
2011-06,1/20/2011 11:21,Y, , ,1,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6416,NASHVILLE AVE,42, , ,6416,NASHVILLE,878994.1,1016827
2011-06,1/20/2011 11:53,Y, , ,1,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3825,S KINGSHIGHWAY BLVD,14, , ,3825,KINGSHIGHWAY,0,0
2011-06,1/21/2011 12:00,Y, , ,1, 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4410,MINNESOTA AVE,17, ,SINGLE FAMILY RESIDENCE- VACANT,4410,MINNESOTA,895099.3,998718.8
2011-06,1/21/2011 12:00, ,Y, ,-1, 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4410,MINNESOTA AVE,17, ,SINGLE FAMILY RESIDENCE- VACANT,4410,MINNESOTA,895099.3,998718.8
2011-06,1/31/2011 14:00,Y, , ,1, 51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,6432,PENNSYLVANIA AVE,1, , ,6432,PENNSYLVANIA,891884.3,991405.3
2011-06,10/1/2010 12:00,Y, , ,1, 67701,2,LARCENY-FROM BUILDING UNDER $500,5617,CHIPPEWA ST,14, ,2 FAMILY,5617,CHIPPEWA,880732.2,1004859
2011-06,10/25/2009 1:00, ,Y, ,-1, 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1209,TAMM,42, , , , ,0,0
