Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
13-024997,2013-06,1/1/2005 8:00,Y, , ,1, ,115100,3,FRAUD-STEALING BY DECEIT/OVER $150,3438,RUSSELL BLVD,26, , ,3438,RUSSELL,895608.4,1012194
13-026782,2013-06,1/1/2009 18:06,Y, , ,1, ,115400,8,STLG BY DECEIT/IDENTITY THEFT REPORT,3145,WHITTIER ST,56, ,APT 2S,3145,WHITTIER,896959.7,1030921
13-029672,2013-06,1/1/2011 1:00,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3600,OREGON AVE,19, , ,3600,OREGON,896683.8,1003590
13-028717,2013-06,1/1/2013 0:01,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,4032,CASTLEMAN AVE,27, , ,4032,CASTLEMAN,891786.8,1012844
13-029830,2013-06,1/1/2013 18:30,Y, , ,1, ,178100,6,SEX OFFNS-EXPOSURE/LEWD&LACIV ACT,4300,SHREVE AVE,69, ,5908 DUPREE AVE,4300,SHREVE,894273.9,1037069
13-030512,2013-06,1/16/2012 0:01,Y, , ,1, , 91124,8,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",3932,LABADIE AVE,56, , ,3932,LABADIE,898068.6,1029033
12-003009,2013-06,1/19/2012 21:00, , , ,-1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5033,DEVONSHIRE,7, , ,3610,BROADWAY,0,0
13-031069,2013-06,1/24/2013 12:00,Y, , ,1, ,115500,9,FRAUD/STEALING BY DECEIT-O/$150,2836,LOCUST ST,37,ABILITY BUILDING AND RESTORATIONS, ,2836,LOCUST,900347.2,1020190
13-029064,2013-06,1/29/2013 0:01,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4023,N NEWSTEAD AVE,69, , ,4023,NEWSTEAD,895976.3,1033894
12-001376,2013-06,1/5/2012 9:00, , , ,-1, ,117000,7,FAILURE TO RETURN BORROWED/RENTED VEHICL,5453,DELMAR,49, ,:APT 212,5453,DELMAR,0,0
13-030345,2013-06,10/1/2009 16:13,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3200,MIAMI ST,19, , ,3200,MIAMI,894905.9,1004144
13-027007,2013-06,10/10/2012 8:00,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2111,CRITTENDEN ST,22, , ,2111,CRITTENDEN,900075.2,1007197
12-053891,2013-06,10/17/2012 18:12, , , ,1, ,263120,2,OBSTRUCT GOVRN OP-FALSE REPORT,3805,KINGSHIGHWAY,14,M AND A MARKET,: #1114624,3805,KINGSHIGHWAY,0,0
12-053891,2013-06,10/17/2012 18:12, , , ,-1, , 34111,2,ROBBERY-CONVEN STOR/FIREARM USED/SUCCESS,3805,KINGSHIGHWAY,14,M AND A MARKET,: #1114624,3805,KINGSHIGHWAY,0,0
13-030355,2013-06,10/22/2012 16:15,Y, , ,1, , 67601,7,"LARCENY-FROM BUILDING $500 - $24,999",5015,MAPLE AVE,51, , ,5015,MAPLE,887936.4,1028962
13-027403,2013-06,10/31/2012 19:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3620,NEBRASKA AVE,19, , ,3620,NEBRASKA,896561.9,1003712
13-031508,2013-06,11/1/2011 0:01,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,4900,THEKLA AVE,71, , ,4900,THEKLA,894224.9,1039236
13-027146,2013-06,11/1/2011 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,831,HARLAN AVE,74, , ,831,HARLAN,897256.5,1051956
13-031356,2013-06,11/1/2011 8:00,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,4900,THEKLA AVE,71, , ,4900,THEKLA,894224.9,1039236
13-026888,2013-06,11/1/2012 12:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,2239,UNIVERSITY ST,60, , ,2239,UNIVERSITY,904097.9,1026857
13-029026,2013-06,11/1/2012 5:00,Y, , ,1, , 67701,2,LARCENY-FROM BUILDING UNDER $500,3914,WATSON RD,9, ,IN THE REAR,3914,WATSON,877065.6,1005343
12-056790,2013-06,11/2/2012 13:34, , , ,-1, , 31312,4,ROBBERY-HIGHWAY   /OTHR WEPN USED/ATTEMPT,1520,MARKET,36, , ,1520,MARKET,0,0
13-031299,2013-06,11/23/2012 14:30,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,N 14TH ST / DELMAR,36, , , , ,906380.6,1019734
13-026948,2013-06,11/24/2010 0:01,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,5300,LOUGHBOROUGH AVE,6, , ,5300,LOUGHBOROUGH,879943.4,997576.1
13-027216,2013-06,11/3/2012 9:28,Y, , ,1, ,264100,1,HEALTH-SANITATION VIOL,300,E ESPENSCHIED ST,2, , ,300,ESPENSCHIED,888976.1,984567.3
13-028259,2013-06,11/6/2012 16:45,Y, , ,1, ,115200,1,FRAUD-STEALING BY DECEIT/UNDER $150,2850,CHIPPEWA ST,16,A C PAWN, ,2850,CHIPPEWA,896399.3,1002572
13-028449,2013-06,12/1/2001 10:49,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4521,PENNSYLVANIA AVE,17, , ,4521,PENNSYLVANIA,895118.8,997944.5
13-030688,2013-06,12/1/2011 0:01,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,5800,LILLIAN AVE,72, , ,5800,LILLIAN,889161.9,1043452
13-027221,2013-06,12/18/2012 12:54,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,4431,CHIPPEWA ST,15, , ,4431,CHIPPEWA,886755.6,1004050
13-031251,2013-06,12/27/2012 9:45,Y, , ,1, ,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1200,CLARK AVE,36, ,@HEADQUARTERS,1200,CLARK,905878.5,1016618
