MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2008-03,01/01/2005 00:01,Y, , ,1,121000,6,EMBEZZLEMENT-VALUE OVER $150,647,E HOLLY AVE,79, , ,0,HOLLY,902183.6,1038324
2008-03,01/01/2007 00:01,Y, , ,1, 91124,3,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",3434,S COMPTON AVE,19, , ,3434,S COMPTON,895445.1,1005118
2008-03,01/01/2007 12:00,Y, , ,1, 65701,7,LARCENY-MTR VEH PARTS UNDER $500,5255,NORTHLAND AVE,52, , ,5255,NORTHLAND,887998.2,1033484
2008-03,01/01/2008 00:01,Y, , ,1, 69702,5,LARCENY-ALL OTHER UNDER $500,2036,E DE SOTO AVE,66, ,ALIAS 2036 E DESOTO,2036,DESOTO,902349.3,1034324
2008-03,01/01/2008 07:00,Y, , ,1, 43025,9,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,2924,JAMES COOL PAPA BELL,59, , ,2924,COOL PAPA BELL,900603.5,1022984
2008-03,01/01/2008 09:00,Y, , ,1, 67701,4,LARCENY-FROM BUILDING UNDER $500,2325,HICKORY ST,32, , ,2325,HICKORY,900801.5,1014800
2008-03,01/01/2008 12:38,Y, , ,1, 67701,0,LARCENY-FROM BUILDING UNDER $500,4490,WEST PINE BLVD,0, ,ALIAS 4490 W PINE BLVD CITY APT 806,4490,WEST PINE,889270.1,1022184
2008-03,01/01/2008 13:50,Y, , ,1,121000,4,EMBEZZLEMENT-VALUE OVER $150,1303,WASHINGTON AVE,36,A TASTE OF LUXURIE POUR HOMM, ,1303,WASHINGTON,906331.1,1019267
2008-03,01/01/2008 14:00,Y, , ,1, 67701,6,LARCENY-FROM BUILDING UNDER $500,3723,FAIR AVE,68, , ,3723,FAIR,897669.3,1031884
2008-03,01/03/2008 23:04, ,Y, ,-1,182130,7,DRUGS-POSSESSION/HEROIN,5960,KENNERLY AVE,50, , ,5960,KENNERLY,882585.9,1036099
2008-03,01/04/2007 10:00,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,5225,LOUISIANA AVE,1, , ,5225,LOUISIANA,891525.2,996471.3
