Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
15-010665,2015-03,01/01/2013 08:00,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3324,ILLINOIS AVE,22, , ,3324,ILLINOIS,899802.8,1005179
15-011436,2015-03,01/01/2015 00:01,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,10,WASHINGTON TER,47, , ,10,WASHINGTON,884656.4,1026104
15-011067,2015-03,01/01/2015 00:01,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,2915,DELMAR BLVD,37, , ,2915,DELMAR,900492.6,1021365
15-010870,2015-03,01/01/2015 00:01,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,1501,LOCUST ST,36, , ,1501,LOCUST,905463.8,1019072
15-011956,2015-03,01/01/2015 00:01,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,1826,COLEMAN AVE,59, , ,1826,COLEMAN,899572.4,1025471
15-012645,2015-03,01/01/2015 00:01,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,300,S GRAND BLVD,37, , ,300,GRAND,896423.8,1019015
15-009683,2015-03,01/01/2015 00:01,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,2942,UNIVERSITY ST,59, , ,2942,UNIVERSITY,900586.7,1027371
15-010137,2015-03,01/01/2015 05:30,Y, , ,1, , 69602,6,"LARCENY-ALL OTHER $500 - $24,999",4318,N EUCLID AVE,69, , ,4318,EUCLID,893422.3,1037466
15-011404,2015-03,01/01/2015 08:00,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,3843,FILLMORE ST,3, , ,3843,FILLMORE,888170.4,995787
15-011329,2015-03,01/01/2015 08:00,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,316,S 16TH ST,36, , ,316,16TH,904658.2,1016954
15-011915,2015-03,01/01/2015 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6259,WESTWAY PL,8, , ,6259,WESTWAY,877392.8,1000313
15-013440,2015-03,01/01/2015 12:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,5830,NATURAL BRIDGE AVE,50, , , , ,885192,1038846
15-014743,2015-03,01/02/2015 18:00,Y, , ,1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5500,WABADA AVE,50, , ,5500,WABADA,885674.8,1033747
15-011590,2015-03,01/03/2015 00:01,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3500,CALIFORNIA AVE,19, , ,3500,CALIFORNIA,0,0
15-012498,2015-03,01/03/2015 15:30,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,6022,S GRAND BLVD,1, , ,6022,GRAND,889757,994765.1
15-006737,2015-03,01/03/2015 16:24,Y, , ,1, ,262100,2,PORNAGRAPHY-PROMOTING,6510,NASHVILLE AVE,42, , ,6510,NASHVILLE,878393.6,1016852
15-010832,2015-03,01/04/2015 03:29,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4399,FOREST PARK AVE,38, , ,4399,FOREST PARK,890245.9,1021299
15-013728,2015-03,01/05/2015 12:55,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2930,OHIO AVE,30, , ,2930,OHIO,898520.1,1007665
15-010827,2015-03,01/10/2015 19:00,Y, , ,1, , 91123,4,SIMPLE ASSAULT-CHILD/NO INJURY,1401,CLARK AVE,36, ,@SCOTTRADE CENTER,1401,CLARK,905209.3,1017077
15-010105,2015-03,01/13/2015 22:07,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1610,N KINGSHIGHWAY BLVD,55, ,@WARWOOD APTS,1610,KINGSHIGHWAY,888692.6,1030783
15-002046,2015-03,01/14/2015 11:42, , , ,1, ,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",5720,LOUIS,50,@WELLS-GOODFELLOW NEIGHBORHOOD, ,5720,ST LOUIS,0,0
