MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2009-05,01/01/1999 12:08,Y, , ,1,115400,7,STLG BY DECEIT/IDENTITY THEFT REPORT,1245,BLACKSTONE AVE,48, , ,1245,BLACKSTONE,882494.3,1031343
2009-05,01/01/2009 08:31,Y, , ,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6547,MITCHELL AVE,43, , ,6547,MITCHELL,877888.8,1015269
2009-05,01/01/2009 12:45,Y, , ,1, 67701,3,LARCENY-FROM BUILDING UNDER $500,200,SIDNEY ST,20,GATEWAY CLEANING & RESTORATION, ,200,SIDNEY,905194.6,1007036
2009-05,01/01/2009 13:00,Y, , ,1, 72113,7,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,5973,PAGE BLVD,78, , ,5973,PAGE,880697.1,1032832
2009-05,01/02/2009 02:00,Y, , ,1, 65701,3,LARCENY-MTR VEH PARTS UNDER $500,4382,BECK AVE,15, , ,4382,BECK,887043.7,1004373
2009-05,01/04/2009 07:00,Y, , ,1,111110,4,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,1918,WASHINGTON AVE,36, , ,1918,WASHINGTON,903818.6,1019698
2009-05,01/15/2009 12:00,Y, , ,1,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,7864,RIO TINTO PL,1, ,APT G,7864,RIO TINTO,886108.5,989585.5
2009-05,01/27/2009 07:00,Y, , ,1,111110,4,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,1221,LOCUST ST,36,RSDB LLC, ,1221,LOCUST,906398.4,1018730
2009-05,01/28/2009 13:30,Y, , ,1, 65701,8,LARCENY-MTR VEH PARTS UNDER $500,4642,SAINT FERDINAND AVE,56, , ,4642,SAINT FERDINAND,891776.3,1030568
2009-05,01/31/2009 08:00,Y, , ,1, 21000,8,RAPE -- FORCIBLE,3900,LEXINGTON AVE,56, , ,3900,LEXINGTON,899004.3,1030096
2009-05,02/01/2006 08:08,Y, , ,1,115400,7,STLG BY DECEIT/IDENTITY THEFT REPORT,1334,BELT AVE,78, , ,1334,BELT,884391.4,1030669
2009-05,02/01/2009 12:00,Y, , ,1, 51312,7,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,1406,GOODFELLOW BLVD,78, , ,1406,GOODFELLOW,882788.4,1032732
2009-05,02/01/2009 12:00,Y, , ,1, 71040,2,AUTO THEFT-PERM RETNT/ATTEMPT,5306,CHIPPEWA ST,7, ,GARAGE,5306,CHIPPEWA,882641.8,1004403
2009-05,02/04/2008 14:04,Y, , ,1, 65701,6,LARCENY-MTR VEH PARTS UNDER $500,9005,NEWBY ST,74, , , , ,895756.8,1051811
2009-05,02/05/2009 16:00,Y, , ,1, 65701,7,LARCENY-MTR VEH PARTS UNDER $500,0,DR MARTIN LUTHER KIN,78, , , , ,883184.1,1033624
2009-05,02/10/2009 12:00,Y, , ,1, 92000,6,SIMPLE ASSAULT-HARRASSMENT,1265,MCLARAN AVE,74,HILLSIDE MANOR,NURSING HOME,1265,MCLARAN,895302,1049744
2009-05,02/12/2009 14:30,Y, , ,1, 65701,4,LARCENY-MTR VEH PARTS UNDER $500,2000,MADISON ST,60, , ,2000,MADISON,904374.2,1024178
2009-05,02/15/2009 10:00,Y, , ,1, 65701,9,LARCENY-MTR VEH PARTS UNDER $500,711,S THERESA AVE,37, , ,711,THERESA,896435.4,1017638
2009-05,02/15/2009 15:00,Y, , ,1, 65701,6,LARCENY-MTR VEH PARTS UNDER $500,8806,PARK LN,73, , ,8806,PARK,892622.8,1050794
