MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2009-11,01/01/2003 13:23,Y, , ,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,5451,ARSENAL ST,13, , ,5451,ARSENAL,882750.7,1009768
2009-11,02/01/2009 00:44,Y, , ,1, 92000,7,SIMPLE ASSAULT-HARRASSMENT,501,CLARA AVE,47, , ,501,CLARA,882204.2,1026158
2009-11,02/28/2009 07:00,Y, , ,1, 67601,9,"LARCENY-FROM BUILDING $500 - $24,999",1,CHILDRENS PL,38,CHILDRENS HOSPITAL, ,1,CHILDRENS,887975.4,1020896
2009-11,03/01/2009 00:01,Y, , ,1, 52212,1,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE,3145,MERAMEC ST,16, , ,3145,MERAMEC,894739.9,1000348
2009-11,03/13/2009 11:00,Y, , ,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6169,ADKINS AVE,5, , ,6169,ADKINS,885332.8,996603.4
2009-11,03/13/2009 22:10, , ,Y,1,103000,4,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,2000, ,60, , ,2000,MADISON,0,0
2009-11,03/13/2009 22:10, , ,Y,-1,262100,4,PORNAGRAPHY-PROMOTING,2000, ,60, , ,2000,MADISON,0,0
2009-11,03/19/2009 14:00,Y, , ,1, 67701,9,LARCENY-FROM BUILDING UNDER $500,3511,LACLEDE AVE,37, , ,3511,LACLEDE,896789.3,1019838
2009-11,03/25/2009 15:39,Y, , ,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4564,ADKINS AVE,5, , ,4564,ADKINS,888397.5,1001203
2009-11,03/28/2009 13:00,Y, , ,1, 65701,1,LARCENY-MTR VEH PARTS UNDER $500,4408,LOUGHBOROUGH AVE,4, , ,4408,LOUGHBOROUGH,883244.7,995219.3
2009-11,03/29/2009 08:00,Y, , ,1, 91114,2,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4964,MAGNOLIA AVE,13, , ,4964,MAGNOLIA,885676.6,1010591
2009-11,04/01/2009 09:00,Y, , ,1, 67601,9,"LARCENY-FROM BUILDING $500 - $24,999",410,N NEWSTEAD AVE,38, , ,410,NEWSTEAD,890854.2,1023915
2009-11,04/01/2009 17:30, ,Y, ,-1, 21000,0,RAPE -- FORCIBLE, ,UNKNOWN,0, , , ,UNKNOWN,0,0
2009-11,04/06/2009 10:52,Y, , ,1,115400,8,STLG BY DECEIT/IDENTITY THEFT REPORT,3501,CLARENCE AVE,56, , ,3501,CLARENCE,895459.4,1031867
2009-11,04/07/2009 00:01,Y, , ,1,263600,4,OBSTRUCT GOVRN OP-ELECTION LAW VIOLATION,300,NORTH TUCKER,35, , ,300,NORTH TUCKER,0,0
2009-11,04/13/2009 12:00,Y, , ,1, 43026,6,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,4469,CLARENCE AVE,68, , ,4469,CLARENCE,897908.6,1035991
2009-11,05/01/2000 09:11,Y, , ,1,172100,2,SEX OFFNS-SODOMY/FORCIBLE,5000,BONITA AVE,6, , ,5000,BONITA,881215.4,997837.8
2009-11,05/08/2008 15:00,Y, , ,1,185000,1,DRUGS-OBTAIN BY FRAUD/FORGERY,4630,GRAVOIS AVE,5,HOLLYWOOD SMILES,DENTIST OFFICE,4630,GRAVOIS,887571.2,1001257
2009-11,05/11/2009 15:30, ,Y, ,-1,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5101,MCREE,12,GATEWAY ACADEMY, ,6135,LUCILLE,0,0
2009-11,05/21/2009 21:00,Y, , ,1, 65701,1,LARCENY-MTR VEH PARTS UNDER $500,3925,ILLINOIS AVE,18, , ,3925,ILLINOIS,898990.5,1001282
2009-11,06/01/2007 11:09,Y, , ,1,115400,9,STLG BY DECEIT/IDENTITY THEFT REPORT,4399,FOREST PARK AVE,38, , ,919,JEFFERSON,890245.9,1021299
2009-11,06/01/2009 12:04,Y, , ,1, 67701,8,LARCENY-FROM BUILDING UNDER $500,4023,ASHLAND AVE,56, ,2 FAMILY FLAT,4023,ASHLAND,898279.9,1030255
2009-11,06/02/2008 07:00,Y, , ,1, 65701,2,LARCENY-MTR VEH PARTS UNDER $500,3915,JAMIESON AVE,9, , ,3708,MINNESOTA,874649.1,1005465
2009-11,06/03/2009 11:00,Y, , ,1, 65701,1,LARCENY-MTR VEH PARTS UNDER $500,3859,ALBERTA ST,16, , ,3859,ALBERTA,891852.9,1002320
2009-11,06/05/2009 20:00,Y, , ,1, 67601,7,"LARCENY-FROM BUILDING $500 - $24,999",6116,KINGSBURY AVE,46, ,SINGLE FAMILY RESIDENCE,6116,KINGSBURY,878128.9,1026388
2009-11,06/06/2009 00:01,Y, , ,1, 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,1310,GIMBLIN ST,74, , ,1310,GIMBLIN,894897.8,1048898
2009-11,06/15/2009 23:00,Y, , ,1, 65701,3,LARCENY-MTR VEH PARTS UNDER $500,2109,MAURY AVE,13, , ,2109,MAURY,887611.1,1012640
2009-11,06/20/2008 08:00,Y, , ,1,115400,7,STLG BY DECEIT/IDENTITY THEFT REPORT,5475,CABANNE AVE,49, , ,5475,CABANNE,883631.8,1028675
2009-11,06/20/2009 12:25, , ,Y,1, 67701,7,LARCENY-FROM BUILDING UNDER $500,6036,ETZEL,48, ,2ND FL,6036,ETZEL,0,0
2009-11,06/20/2009 12:25, , ,Y,-1, 91113,7,SIMPLE ASSAULT-ADULT/NO INJURY,6036,ETZEL,48, ,2ND FL,6036,ETZEL,0,0
2009-11,06/23/2008 00:01,Y, , ,1,172100,6,SEX OFFNS-SODOMY/FORCIBLE,4500,LEE AVE,69, , ,5000,EMERSON,895817,1034772
2009-11,06/27/2005 09:11,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4728,MICHIGAN AVE,17, , ,4728,MICHIGAN,894428,996651
2009-11,07/01/2009 12:00,Y, , ,1, 67601,6,"LARCENY-FROM BUILDING $500 - $24,999",1007,WALL ST,74, , ,1007,WALL,896414.3,1051083
2009-11,07/01/2009 19:00,Y, , ,1, 69702,2,LARCENY-ALL OTHER UNDER $500,4929,ODELL ST,13, , ,4929,ODELL,885932.9,1009838
2009-11,07/07/2009 17:58,Y, , ,1, 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",3881,GRAVOIS AVE,15,US BANK, ,3157,SUBLETTE,891456.4,1004460
2009-11,07/09/2009 00:01,Y, , ,1, 69702,1,LARCENY-ALL OTHER UNDER $500,7908,MICHIGAN AVE,2, , ,7908,MICHIGAN,887925.3,988016.1
2009-11,07/13/2009 08:00,Y, , ,1,112010,3,FRAUD-CREDIT DEVICE/OVER $150,3857,SHENANDOAH AVE,27, , ,3857,SHENANDOAH,892929,1011162
2009-11,07/15/2009 18:00, , ,Y,1, 51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3125,MIAMI,19, ,RESIDENCE,3125,MIAMI,0,0
2009-11,07/15/2009 18:00, , ,Y,-1,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3125,MIAMI,19, ,RESIDENCE,3125,MIAMI,0,0
2009-11,07/16/2009 19:55,Y, , ,1,263120,9,OBSTRUCT GOVRN OP-FALSE REPORT,919,N JEFFERSON AVE,59, ,@CENTRAL PATROL DIVISION,919,JEFFERSON,902219.7,1021301
2009-11,07/23/2009 07:00,Y, , ,1,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2331,HAMPTON AVE,11, , ,2331,HAMPTON,880816.4,1012254
