MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2012-11,1/1/1996 8:49,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,5405,MICHIGAN AVE,1, , ,5405,MICHIGAN,893351.3,994732.6
2012-11,1/1/2009 12:00,Y, , ,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,3731,N TAYLOR AVE,69, , ,3731,NORTH TAYLOR,894713.6,1033639
2012-11,1/23/2004 15:15,Y, , ,1,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,2401,N GRAND BLVD,59, , ,919,JEFFERSON,899070.3,1026102
2012-11,1/7/2010 21:30, ,Y, ,-1, 71013,7,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1447,ROWAN,78, , ,4748,NORTHLAND,0,0
2012-11,1/9/2011 0:01, , ,Y,-1, 44023,6,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN CHLD 3RD DEGRE",895,GUSTAV,74, , ,895,GUSTAV,0,0
2012-11,10/1/2012 1:14,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1006,DILLON CT,33,PEABODY APTS, ,1006,DILLON,904146.8,1014715
2012-11,10/1/2012 10:00,Y, , ,1, 51322,9,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4106,BLAINE AVE,28, ,APT 1,4106,BLAINE,891541.5,1014647
2012-11,10/1/2012 12:02,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1451,PEABODY CT,33,PEABODY APTS, ,1451,PEABODY,904123.8,1013787
2012-11,10/1/2012 16:20,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1200,DILLON DR,33,PEABODY APTS, ,1200,DILLON,903944.8,1013994
2012-11,10/1/2012 21:30,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1463,HICKORY LN,33,PEABODY APTS, ,1463,HICKORY,904113.9,1013944
2012-11,10/1/2012 8:00,Y, , ,1, 65701,3,LARCENY-MTR VEH PARTS UNDER $500,0,GRAVOIS RD / MCNAIR,22, , , , ,900904.3,1010018
2012-11,10/1/2012 8:00,Y, , ,1, 51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,2732,UTAH ST,30, , ,2732,UTAH,897743.1,1005704
2012-11,10/1/2012 9:00,Y, , ,1, 69702,2,LARCENY-ALL OTHER UNDER $500,4964,MAGNOLIA AVE,13, , ,4964,MAGNOLIA,885676.6,1010591
2012-11,10/10/2012 10:00,Y, , ,1, 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,8838,JORDAN AVE,74, , ,8838,JORDAN,897106,1052593
2012-11,10/10/2012 14:00, , ,Y,1, 67701,4,LARCENY-FROM BUILDING UNDER $500, ,UNKNOWN,0, , ,1600,PINE,0,0
2012-11,10/10/2012 20:23,Y, , ,1,182250,8,DRUGS-POSSESSION/COCAINE,1600,NORTH KINGSHIGHWAY,55, , ,1600,NORTH KINGSHIGHWAY,0,0
2012-11,10/10/2012 9:00,Y, , ,1, 67701,9,LARCENY-FROM BUILDING UNDER $500,1403,MONTROSE AVE,31, , ,1403,MONTROSE,897951.3,1014872
2012-11,10/11/2012 0:01,Y, , ,1, 67701,6,LARCENY-FROM BUILDING UNDER $500,5807,THEODORE AVE,72, , ,5807,THEODORE,890262.4,1044359
2012-11,10/11/2012 0:12,Y, , ,1, 67701,4,LARCENY-FROM BUILDING UNDER $500,700,CLARK AVE,35, ,@BUSCH STADIUM,700,CLARK,907901.1,1016212
2012-11,10/11/2012 10:08,Y, , ,1, 69702,2,LARCENY-ALL OTHER UNDER $500,3225,HAMPTON AVE,9,U GAS #231, ,3225,HAMPTON,879649.6,1008791
