MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2012-10,1/1/1994 11:13,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,3451,MONTANA ST,16, , ,3451,MONTANA,893565.1,1001538
2012-10,1/1/1998 8:00,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3525,ILLINOIS AVE,18, , ,3525,ILLINOIS,899407,1003902
2012-10,1/1/2007 0:01,Y, , ,1, 23000,7,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,3300,BELT AVE,50, , ,3300,BELT,887374.2,1036415
2012-10,1/1/2007 0:01,Y, , ,1,115400,9,STLG BY DECEIT/IDENTITY THEFT REPORT,4115,MCPHERSON AVE,38, , ,4115,MCPHERSON,892841.2,1022730
2012-10,1/1/2010 7:00,Y, , ,1,171300,1,SEX OFFNS-STATUATORY RAPE/SECOND,4700,ROSA AVE,6, , ,4700,ROSA,883738.4,999312.7
2012-10,1/1/2011 0:01,Y, , ,1,171200,3,SEX OFFNS-STATUATORY RAPE/FIRST,2800,CHIPPEWA ST,19, , ,2800,CHIPPEWA,896513.5,1002790
2012-10,1/1/2012 12:00,Y, , ,1, 51312,8,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4534,COTTAGE AVE,56, , ,4534,COTTAGE,892734.3,1030293
2012-10,1/1/2012 14:10,Y, , ,1,121000,2,EMBEZZLEMENT-VALUE OVER $150,2141,59TH ST,12,CATERING ST LOUIS, ,2141,59TH,0,0
2012-10,1/1/2012 8:00,Y, , ,1,112020,9,FRAUD-CREDIT DEVICE/UNDER $150,3117,DELMAR BLVD,59, , ,3117,DELMAR,899307.5,1021736
2012-10,1/1/2012 8:00,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,4002,CASTLEMAN AVE,27, , ,4002,CASTLEMAN,892125.4,1012805
2012-10,1/10/2012 19:00,Y, , ,1, 69602,6,"LARCENY-ALL OTHER $500 - $24,999",4227,W SAN FRANCISCO AVE,68, , ,4227,SAN FRANCISCO,896414.8,1033106
2012-10,1/11/2012 8:00,Y, , ,1,121000,9,EMBEZZLEMENT-VALUE OVER $150,3037,OLIVE ST,37,HAMBURGER MARY S, ,3037,OLIVE,899238.6,1020329
2012-10,1/15/2012 0:01,Y, , ,1,172100,3,SEX OFFNS-SODOMY/FORCIBLE,2700,SHENANDOAH AVE,24, , ,2700,SHENANDOAH,898520.6,1010446
2012-10,1/18/2008 14:20,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4107,OREGON AVE,16, , ,4107,OREGON,896212.4,1000589
2012-10,1/18/2011 11:59,Y, , ,1, 21000,4,RAPE -- FORCIBLE,700,N BROADWAY,35,DRURY INN, ,700,BROADWAY,909211,1018825
2012-10,1/2/2012 13:00,Y, , ,1, 67701,7,LARCENY-FROM BUILDING UNDER $500,5621,DELMAR BLVD,48, , ,5621, ,882244.1,1027110
2012-10,10/1/2010 22:38,Y, , ,1,172100,1,SEX OFFNS-SODOMY/FORCIBLE,4800,ALMA AVE,6, , ,4800,ALMA,882070.6,997893
2012-10,10/1/2012 0:00,Y, , ,1, 69702,9,LARCENY-ALL OTHER UNDER $500,0,UNKNOWN,0, , ,3326,BELL,0,0
2012-10,10/1/2012 0:01,Y, , ,1,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1000,WASHINGTON AVE,35, , ,1000,WASHINGTON,907483,1018737
2012-10,10/1/2012 0:01,Y, , ,1,142320,7,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5081,MINERVA AVE,51, ,AUTO PARKED ON STREET,5081,MINERVA,887328.8,1029794
2012-10,10/1/2012 0:02,Y, , ,1,265321,2,LEAVING SCENE OF ACCIDENT,6836,WALDEMAR AVE,43, , , , ,875625.7,1014153
2012-10,10/1/2012 0:02,Y, , ,1, 64701,2,LARCENY-FROM MTR VEH UNDER $500,6822,WALDEMAR AVE,43, ,BENTON CT/WALDEMAR, , ,875768.6,1014181
2012-10,10/1/2012 0:20,Y, , ,1,265321,1,LEAVING SCENE OF ACCIDENT,0,IVORY AVE / PRIMM ST,2, , , , ,887435.6,988524.5
2012-10,10/1/2012 0:30,Y, , ,1, 51322,2,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3285,JAMIESON AVE,9, , ,3285,JAMIESON,875121.4,1008809
2012-10,10/1/2012 0:30,Y, , ,1, 64701,2,LARCENY-FROM MTR VEH UNDER $500,1426,CUTTER AVE,43, , ,1426,CUTTER,875840.6,1016778
2012-10,10/1/2012 0:30,Y, , ,1, 72113,1,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,5405,S 37TH ST,3, , ,5407,37TH,890341.8,997088.8
2012-10,10/1/2012 0:34,Y, , ,1,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3160,MORGANFORD RD,15,11-Jul, ,3160,MORGANFORD,888462.6,1008239
2012-10,10/1/2012 1:00,Y, , ,1, 82000,6,ARSON-2ND DEGREE/SUCCESS,4817,BESSIE AVE,69, , ,4817,BESSIE,893935.6,1036674
2012-10,10/1/2012 1:00,Y, , ,1, 71040,5,AUTO THEFT-PERM RETNT/ATTEMPT,2603,HADLEY ST,63, , ,2603,HADLEY,907322.8,1025850
2012-10,10/1/2012 1:00,Y, , ,1, 67701,2,LARCENY-FROM BUILDING UNDER $500,2615,SUBLETTE AVE,13, , ,2615,SUBLETTE,882858.8,1011417
2012-10,10/1/2012 1:14,Y, , ,1,266510,4,PUBLIC ORDER-TRESPASSING,1006,DILLON CT,33,PEABODY COMPLEX, ,1006,DILLON,904146.8,1014715
2012-10,10/1/2012 1:20,Y, , ,1, 41011,7,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,870,N SKINKER BLVD,48, , ,609,EASTGATE,878088.1,1029433
2012-10,10/1/2012 1:30,Y, , ,1, 52312,9,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,331,N EUCLID AVE,38,CENTRAL CAFE, ,331,EUCLID,888270.5,1024028
2012-10,10/1/2012 10:00,Y, , ,1, 71013,8,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,HARRIS AVE / W NATUR,56, , , , ,897187.8,1031875
