Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
15-048730,2015-10,1/1/1997 0:01, , , ,-1, ,21000,5,RAPE -- FORCIBLE,1300,HAMILTON,78, , ,1300,HAMILTON,0,0
15-055992,2015-10,1/1/2002 0:01,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2712,LOUISIANA AVE,25, , ,2120,WYOMING,895500.3,1009677
15-052442,2015-10,1/1/2012 0:01,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,717,COLE ST,62, , ,717,COLE,908923.4,1019923
15-054669,2015-10,1/1/2012 19:03,Y, , ,1, ,121000,1,EMBEZZLEMENT-VALUE OVER $150,4320,S KINGSHIGHWAY BLVD,5,DC AUTO SALES,SMALL BUSINESS,4320,KINGSHIGHWAY,884717.8,1003513
15-050764,2015-10,1/1/2014 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4434,GREER AVE,56, , ,4434,GREER,894295.9,1031546
15-050803,2015-10,1/2/2015 13:00,Y, , ,1, ,121000,4,EMBEZZLEMENT-VALUE OVER $150,1515,CLARK AVE,36,SCOTTRADE CENTER,KIEL CENTER GARAGE,1200,MARKET,904913.8,1017023
15-052522,2015-10,1/6/2014 20:30,Y, , ,1, ,21000,6,RAPE -- FORCIBLE,5700,MIMIKA AVE,76, , ,5700,MIMIKA,0,0
15-003312,2015-10,1/21/2015 12:55,Y, , ,1, ,182130,4,DRUGS-POSSESSION/HEROIN,2234,BENTON,36, ,SINGLE FAMILY RESIDENCE,2234,BENTON,906177.4,1016672
15-003405,2015-10,1/21/2015 21:45,Y, , ,1, ,41203,5,AGG.ASSAULT-FIREARM/POLC.OFFICER  3RD DEGREE,4660,COTTAGE,56, , , , ,0,0
15-003405,2015-10,1/21/2015 21:45,Y, , ,1, ,41203,5,AGG.ASSAULT-FIREARM/POLC.OFFICER  3RD DEGREE,4660,COTTAGE,56, , , , ,0,0
15-003405,2015-10,1/21/2015 21:45, , , ,-1, ,10000,5,HOMICIDE,4660,COTTAGE,56, , , , ,0,0
15-003405,2015-10,1/21/2015 21:45, , , ,1, ,10000,5,HOMICIDE,4660,COTTAGE,56, , , , ,0,0
15-054168,2015-10,1/27/2009 12:00,Y, , ,1, ,179210,3,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,1000,ALLEN AVE,21, , ,4800,TERRACE,0,0
