MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2008-09,01/01/1999 19:49,Y, , ,1, 21000,9,RAPE -- FORCIBLE,1200,S BOYLE AVE,39,ST CRONAN CATHOLIC CHURCH, ,1200,S BOYLE,890471.4,1017030
2008-09,01/01/2004 00:01,Y, , ,1,171300,7,SEX OFFNS-STATUATORY RAPE/SECOND,5600,SAINT LOUIS AVE,50, , ,5600,ST LOUIS,886253.9,1035693
2008-09,01/01/2006 12:09,Y, , ,1,179200,1,SEX OFFNS-CHILD MOLESTATION,2100,CHIPPEWA ST,18, , ,2100,CHIPPEWA,898939.9,1002175
2008-09,01/01/2007 10:00,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,4171,SHENANDOAH AVE,27, , ,4171,SHENANDOAH,890511.9,1011443
2008-09,01/01/2008 08:34,Y, , ,1,171300,3,SEX OFFNS-STATUATORY RAPE/SECOND,2200,INDIANA AVE,23, , ,2200,INDIANA,900059.3,1010872
2008-09,01/01/2008 14:26, , ,Y,1, 44026,3,ASLT-AGGRV-HND/FST/FT-3RD-CHILD-DOMESTIC,3915,RUSSELL BLVD,27, , ,3915,RUSSELL,892989.3,1012529
2008-09,01/01/2008 14:26, , ,Y,-1,205000,3,FAMILY & CHILD CRIME-CHILD ABUSE,3915,RUSSELL BLVD,27, , ,3915,RUSSELL,892989.3,1012529
2008-09,01/01/2008 14:26,Y, , ,1,205000,3,FAMILY & CHILD CRIME-CHILD ABUSE,3915,RUSSELL BLVD,27, , ,3915,RUSSELL,892989.3,1012529
2008-09,01/01/2008 14:48,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,1720,S 9TH ST,0, , ,1720,S 9TH,905128.1,1011103
2008-09,01/13/2008 07:00,Y, , ,1,111120,9,FRAUD-BAD CHECK/INSUF FUNDS/UNDER $150,625,N EUCLID AVE,38, , ,0,N EUCLID,888580.9,1025734
2008-09,01/13/2008 08:32,Y, , ,1,171300,5,SEX OFFNS-STATUATORY RAPE/SECOND,2500,N GRAND BLVD,59, , ,2500,N GRAND,899572.2,1026783
2008-09,02/01/2008 08:00,Y, , ,1,242000,2,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,3162,WATSON RD,9, , ,3162,WATSON,879085.8,1009483
