MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2012-04,01/01/2009 08:47,Y, , ,1,121000,9,EMBEZZLEMENT-VALUE OVER $150,221,N GRAND BLVD,37, , ,221,GRAND,896011.4,1020706
2012-04,01/01/2011 08:00,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,4133,CLEVELAND AVE,27, , ,4133,CLEVELAND,890929.7,1011717
2012-04,01/01/2011 12:00,Y, , ,1, 65701,1,LARCENY-MTR VEH PARTS UNDER $500,0,DAHLIA AVE / GRAVOIS,5, , , , ,884240.8,998821.6
2012-04,01/01/2012 00:01,Y, , ,1, 91123,6,SIMPLE ASSAULT-CHILD/NO INJURY,8525,CONDUIT DR,74, , ,8525,CONDUIT,897741.4,1049605
2012-04,01/01/2012 00:01,Y, , ,1, 91123,6,SIMPLE ASSAULT-CHILD/NO INJURY,8525,CONDUIT DR,74, , ,8525,CONDUIT,897741.4,1049605
2012-04,01/01/2012 00:01,Y, , ,1, 21000,4,RAPE -- FORCIBLE,900,WASHINGTON AVE,35,OVER/ UNDER BAR, ,900,WASHINGTON,907862.8,1018911
2012-04,01/01/2012 08:00,Y, , ,1, 67701,1,LARCENY-FROM BUILDING UNDER $500,3221,MERAMEC ST,16, ,FORECLOSED PROPRTY/ SOUTHERN COMMERC,3221,MERAMEC,894355.8,1000407
2012-04,01/01/2012 08:28,Y, , ,1,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4201,S KINGSHIGHWAY BLVD,7,JACK IN THE BOX,JACK IN THE BOX,4201,KINGSHIGHWAY,884846.4,1004223
2012-04,01/01/2012 12:00,Y, , ,1, 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5075,KINGSHIGHWAY,71, , ,5075,KINGSHIGHWAY,0,0
2012-04,01/01/2012 12:00,Y, , ,1, 65701,9,LARCENY-MTR VEH PARTS UNDER $500,310,S GRAND BLVD,37, , ,4382,LACLEDE,896967.2,1018973
