MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2011-08,01/01/2006 00:01,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,6801,PENNSYLVANIA AVE,1, , ,1200,CLARK,890932.2,990640
2011-08,01/01/2010 00:01,Y, , ,1, 67601,9,"LARCENY-FROM BUILDING $500 - $24,999",918,TALMAGE AVE,39, , ,4343,ARCO,891247,1018067
2011-08,01/01/2010 21:00,Y, , ,1, 21000,1,RAPE -- FORCIBLE,3600,ITASKA ST,16, , ,3600,ITASKA,892135.6,998066
2011-08,01/01/2011 13:18, ,Y, ,-1,179200,8,SEX OFFNS-CHILD MOLESTATION,1200,WALTON,53, , , , ,0,0
2011-08,01/07/2011 08:00,Y, , ,1,101000,2,FORGERY,4927,S KINGSHIGHWAY BLVD,7,ENTERPRISE LEASING, ,4927,KINGSHIGHWAY,884071.6,1001923
2011-08,01/11/2011 12:08,Y, , ,1,117000,3,FAILURE TO RETURN BORROWED/RENTED VEHICL,2840,PENNSYLVANIA AVE,25, , ,2840,PENNSYLVANIA,897023.7,1008706
2011-08,01/25/2011 13:26,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3717,BAMBERGER AVE,15, , ,3717,BAMBERGER,891853.3,1003797
2011-08,02/01/2009 08:00,Y, , ,1,115400,7,STLG BY DECEIT/IDENTITY THEFT REPORT,5657,ROOSEVELT PL,50, , ,5657,ROOSEVELT,885264.1,1035909
2011-08,02/01/2009 12:00,Y, , ,1, 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",3936,MICHIGAN AVE,16, , ,3936,MICHIGAN,895253.3,1001770
2011-08,02/01/2010 06:00,Y, , ,1, 91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,3625,MAGNOLIA AVE,25,BEAUVAIS MANOR, ,3625,MAGNOLIA,894180.8,1010089
2011-08,02/04/2011 12:00,Y, , ,1, 67701,1,LARCENY-FROM BUILDING UNDER $500,117,LOUGHBOROUGH AVE,1, , ,117,LOUGHBOROUGH,890950.8,990294.4
2011-08,02/23/2011 06:00,Y, , ,1, 69602,6,"LARCENY-ALL OTHER $500 - $24,999",8000,HALL ST,79,PARKING LOT, ,8000,HALL,898772.4,1047846
2011-08,02/23/2011 08:00,Y, , ,1, 66601,1,"LARCENY-BICYCLES $500 - $24,999",4340,GANNETT ST,5, , ,4340,GANNETT,886585.9,1001652
2011-08,03/01/2005 12:00,Y, , ,1,179100,9,RISKING INFECTION OF ANOTHER BY HIV,2700,LOCUST ST,37, , ,1200,CLARK,901206.8,1020167
2011-08,03/01/2011 00:01,Y, , ,1,172300,1,SEX OFFNS-STATUATORY SODOMY/FIRST,100,BATES ST,1, , ,100,BATES,893825.3,993766.4
2011-08,03/01/2011 09:00,Y, , ,1,175100,8,SEX OFFNS-SX MISCONDUCT/SUS<17&VIC 14-15/NO FO,2400,BELLE GLADE AVE,57,PLEASANT GROVE BAPTIST CHURCH,CHURCH,2400,BELLE GLADE,895906.1,1028196
2011-08,03/04/2011 15:48,Y, , ,1,265321,2,LEAVING SCENE OF ACCIDENT,0,I 64 WESTBOUND / HAM,41, ,INTERSTATE I 64, , ,881198,1018837
2011-08,03/07/2011 16:00,Y, , ,1,121000,9,EMBEZZLEMENT-VALUE OVER $150,4245,FOREST PARK AVE,38, ,INDEPENDENCE CENTER,4245,FOREST PARK,891386.9,1020907
2011-08,03/16/2011 12:05,Y, , ,1,179210,1,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,3900,OREGON AVE,16, , ,3900,OREGON,896382.4,1001648
2011-08,03/27/2011 13:45,Y, , ,1, 91113,9,SIMPLE ASSAULT-ADULT/NO INJURY,4469,BARAT HALL DR,38,N/A,MULTI-FAMILY,4469,BARRETT,889848.9,1023397
2011-08,04/01/2007 08:00,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3715,MICHIGAN AVE,19, , ,3715,MICHIGAN,895304.9,1003307
2011-08,04/02/2011 22:45,Y, , ,1, 91114,2,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",6001,MANCHESTER AVE,41,NICK S PUB, ,6001,MANCHESTER,881183.1,1015721
2011-08,04/07/2011 10:05,Y, , ,1,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4448,ANDERSON AVE,69, , ,4448,ANDERSON,896365.1,1035489
2011-08,04/13/2011 23:00,Y, , ,1,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3131,SOUTH GRAND,15, , ,3131,SOUTH GRAND,0,0
2011-08,04/15/2010 13:00, ,Y, ,-1, 69602,4,"LARCENY-ALL OTHER $500 - $24,999",701,CONVENTION PZ,35,EDWARD JONES DOME, ,701,CONVENTION,908773.3,1019107
2011-08,04/15/2011 12:00,Y, , ,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,3754,SHREVE AVE,69, , ,3754,SHREVE,893167.9,1034744
2011-08,04/25/2011 08:00,Y, , ,1,101000,9,FORGERY,3651,FOREST PARK AVE,37, ,ST LOUIS COMMUNITY CREDIT UNION,919,JEFFERSON,895608.9,1019791
2011-08,05/01/2011 12:00,Y, , ,1,142310,4,DESTRUCTION OF PROPERTY-MALICIOUS/PUBLIC PROP,1200,CLARK AVE,36,UNKNOWN,@HEADQUARTERS,1200,CLARK,905878.5,1016618
2011-08,05/02/2011 13:23,Y, , ,1, 92000,4,SIMPLE ASSAULT-HARRASSMENT,211,N BROADWAY,35, , ,211,N. BROADWAY,908989.9,1017353
2011-08,05/02/2011 16:10,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1440,N 10TH ST,62,COCHRAN APTS., ,1440,10TH,908507,1021936
2011-08,05/03/2011 08:45,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1814,CASS AVE,61,OFALLON PLACE APTS, ,1814,CASS,905432.3,1023014
2011-08,05/04/2011 08:00,Y, , ,1,101000,3,FORGERY,3162,OHIO AVE,30, , ,3162,OHIO,0,0
