MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2013-08,01/01/2003 00:01,Y, , ,1, 21000,1,RAPE -- FORCIBLE,3800,GUSTINE AVE,16, , ,3800,GUSTINE,891073.2,1003354
2013-08,01/01/2007 00:01,Y, , ,1, 91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",911,HICKORY ST,34, , ,1200,CLARK,906170.1,1013370
2013-08,01/01/2008 00:01,Y, , ,1, 21000,7,RAPE -- FORCIBLE,5800,ROMAINE PL,78, , , , ,882170.4,1032603
2013-08,01/01/2009 08:00,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3457,CHIPPEWA ST,19, , ,3457,CHIPPEWA,893981.4,1003144
2013-08,01/01/2013 00:01,Y, , ,1, 21000,7,RAPE -- FORCIBLE,5300,CABANNE AVE,49, , ,5300,CABANNE,884651.4,1028546
2013-08,01/01/2013 00:01,Y, , ,1, 21000,7,RAPE -- FORCIBLE,5300,CABANNE AVE,49, , ,5300,CABANNE,884651.4,1028546
2013-08,01/01/2013 18:06,Y, , ,1,242000,2,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,6369,SUTHERLAND AVE,8, , ,6369,SUTHERLAND,877455.1,1004273
2013-08,01/02/2013 00:01,Y, , ,1, 21000,9,RAPE -- FORCIBLE,3200,BELL AVE,77, , ,3200,BELL,898962.3,1022444
2013-08,01/15/2013 12:00,Y, , ,1, 67601,8,"LARCENY-FROM BUILDING $500 - $24,999",4304,COOK AVE,58, , ,4304,COOK,892999,1026345
2013-08,01/26/2011 17:42, ,Y, ,-1, 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",5029,ALEXANDER,5, , ,5031,ALEXANDER,0,0
2013-08,02/01/2006 10:56,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4233,ELLENWOOD AVE,5, , ,4233,ELLENWOOD,887640.3,1002025
2013-08,02/01/2013 10:38,Y, , ,1,264100,6,HEALTH-SANITATION VIOL,862,CANAAN AVE,74, , ,862,CANAAN,896856.8,1051177
2013-08,02/02/2013 08:00,Y, , ,1, 69702,5,LARCENY-ALL OTHER UNDER $500,3225,GREER AVE,59, , ,1200,CLARK,900718.3,1028288
2013-08,02/08/2013 15:00,Y, , ,1, 73413,3,AUTO THEFT-OTHR VEH/PERM RETNT/UNRECOV OVER 48,2200,DOLMAN ST,21, , ,2200,DOLMAN,902430.2,1010031
2013-08,02/13/2013 16:19,Y, , ,1,264100,6,HEALTH-SANITATION VIOL,1023,GARTH AVE,74, , ,1023,GARTH,896229.9,1048462
2013-08,02/15/2012 12:00,Y, , ,1,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,9999,UNKNOWN,0, , ,4442,CARTER,0,0
2013-08,02/28/2013 16:14,Y, , ,1,264100,3,HEALTH-SANITATION VIOL,3701,WISCONSIN AVE,18, , ,3701,WISCONSIN,899756.5,1002901
2013-08,03/01/2013 05:00,Y, , ,1, 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",1717,SUBLETTE AVE,12,FAZIO BAKERY, ,1717,SUBLETTE,882606.4,1014543
2013-08,03/01/2013 08:47,Y, , ,1,111110,2,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,6487,MANCHESTER AVE,43,COLOMBO S CHECK CASHING, ,6487,MANCHESTER,878180.7,1014948
2013-08,03/04/2013 09:14,Y, , ,1,264100,6,HEALTH-SANITATION VIOL,7735,FORDEY ST,74, , ,7735,FORDEY,897635.2,1045913
2013-08,03/06/2013 16:21,Y, , ,1,264100,6,HEALTH-SANITATION VIOL,7735,FORDEY ST,74, , ,7735,FORDEY,897635.2,1045913
2013-08,03/08/2013 00:01,Y, , ,1, 91123,9,SIMPLE ASSAULT-CHILD/NO INJURY,0,BLAINE AND THURMAN,28, , , ,BLAINE AND THURMAN,0,0
2013-08,03/15/2013 15:00,Y, , ,1, 51322,7,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5813,LOTUS AVE,50, , ,5813,LOTUS,883574.5,1034644
2013-08,03/21/2012 13:47,Y, , ,1, 71030,1,AUTO THEFT-PERM RETNT/JOY RIDE,3930,DUNNICA AVE,16, , , , ,890749.8,1003020
2013-08,03/22/2013 09:21,Y, , ,1,264100,9,HEALTH-SANITATION VIOL,4342,WASHINGTON AVE,38, , ,4342,WASHINGTON,0,0
2013-08,03/27/2013 15:28,Y, , ,1,264100,6,HEALTH-SANITATION VIOL,7735,FORDEY ST,74, , ,7735,FORDEY,897635.2,1045913
2013-08,03/29/2013 10:28,Y, , ,1,264100,9,HEALTH-SANITATION VIOL,4342,WASHINGTON AVE,38, , ,4342,WASHINGTON,0,0
2013-08,03/29/2013 10:30, ,Y, ,-1, 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3841,SHENANDOAH,27, , ,3841,SHENANDOAH,0,0
2013-08,03/30/2013 17:55,Y, , ,1,264100,1,HEALTH-SANITATION VIOL,317,E. ESPENSCHIED,2, , ,317,E. ESPENSCHIED,0,0
2013-08,03/30/2013 18:04,Y, , ,1,264100,6,HEALTH-SANITATION VIOL,7735,FORDEY ST,74, , ,7735,FORDEY,897635.2,1045913
2013-08,03/31/2013 12:30,Y, , ,1,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4937,BONITA AVE,6, , ,4937,BONITA,881420.9,997811.4
2013-08,04/01/2013 12:00,Y, , ,1, 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4407,ATHLONE AVE,68, , ,4407,ATHLONE,897992.1,1035150
2013-08,04/01/2013 13:01,Y, , ,1, 21000,6,RAPE -- FORCIBLE,5800,SALOMA AVE,72, , ,5800,SALOMA,889314.6,1043201
2013-08,04/01/2013 13:01,Y, , ,1, 21000,6,RAPE -- FORCIBLE,5800,SALOMA AVE,72, , ,5800,SALOMA,889314.6,1043201
2013-08,04/02/2013 14:55,Y, , ,1,265321,3,LEAVING SCENE OF ACCIDENT,3216,MICHIGAN AVE,30, , ,3216,MICHIGAN,896011.7,1006550
2013-08,04/05/2013 20:30, ,Y, ,-1, 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR, , ,67, , , , ,0,0
2013-08,04/12/2013 06:53,Y, , ,1,264100,3,HEALTH-SANITATION VIOL,3239,TEXAS AVE,30, , ,3239,TEXAS,898394.6,1005942
2013-08,04/12/2013 10:37,Y, , ,1, 91114,2,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",6627,WISE AVE,44, , ,6627,WISE,877428.6,1018048
2013-08,04/14/2009 00:01,Y, , ,1, 21000,1,RAPE -- FORCIBLE,5500,GRACE AVE,3, , ,5500,GRACE,890402,996407.4
2013-08,04/15/2013 12:00,Y, , ,1, 69602,6,"LARCENY-ALL OTHER $500 - $24,999",5929,LUCILLE AVE,76, , ,5929,LUCILLE,890662.3,1045417
2013-08,04/16/2013 11:52,Y, , ,1, 92000,5,SIMPLE ASSAULT-HARRASSMENT,1132,PENROSE ST,65, , ,1132,PENROSE,905346.3,1031716
2013-08,04/20/2013 17:32,Y, , ,1,264100,3,HEALTH-SANITATION VIOL,3553,NEBRASKA AVE,19, , ,3553,NEBRASKA,896436.6,1004112
2013-08,04/23/2013 08:37,Y, , ,1,264100,7,HEALTH-SANITATION VIOL,5536,ASHLAND AVE,50, , ,5536,ASHLAND,886767,1036416
2013-08,04/26/2013 02:30,Y, , ,1,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5500,CHIPPEWA ST,7, , ,5500,CHIPPEWA,881520.9,1004551
