Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
14-036336,2014-08,01/01/1900 00:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,N 14TH ST / LOCUST ST,36, , , , ,905912.1,1018863
14-036736,2014-08,01/01/1983 00:01,Y, , ,1, ,175400,3,SEX OFFNS-SX MISCONDUCT/SECOND,0,S BROADWAY / I 55 SOUTHBOUND,20, , , , ,0,0
14-021760,2014-08,01/01/2010 13:21, , , ,1, , 21000,3,RAPE -- FORCIBLE,2300,VIRGINIA,25, , ,2300,VIRGINIA,0,0
14-021760,2014-08,01/01/2010 13:21, , , ,-1, ,171200,3,SEX OFFNS-STATUATORY RAPE/FIRST,2300,VIRGINIA,25, , ,2300,VIRGINIA,0,0
14-034991,2014-08,01/01/2011 12:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,4600,ALDINE AVE,56, , ,4800,COTE BRILLIANTE,0,0
14-038469,2014-08,01/01/2013 00:01,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,3800,CARONDELET BLVD,4, , ,3800,CARONDELET,0,0
14-036798,2014-08,01/01/2014 08:00,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,4004,CALIFORNIA AVE,16, , ,4004,CALIFORNIA,896848.3,1001374
14-036619,2014-08,01/01/2014 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,3118,GARDEN HILL LN,13, , ,3118,GARDEN HILL,881593.3,1009739
14-039347,2014-08,01/01/2014 08:00,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3202,SHENANDOAH AVE,25, , ,3202,SHENANDOAH,896172.9,1010652
14-039539,2014-08,01/10/2014 10:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4145,GLASGOW AVE,67, ,VACANT BUILDING,4145,GLASGOW,903040.8,1030968
