Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
15-038919,2015-08,1/1/2005 0:01,Y, , ,1, ,91124,4,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",3122,N GRAND BLVD,59, , ,3122,GRAND,900738.2,1028845
15-038899,2015-08,1/1/2009 9:00,Y, , ,1, ,121000,6,EMBEZZLEMENT-VALUE OVER $150,5151,NATURAL BRIDGE AVE,70, , ,5151,NATURAL BRIDGE,890080.3,1035909
15-038665,2015-08,1/1/2010 0:01,Y, , ,1, ,43026,3,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,3855,MINNESOTA AVE,16, , ,3855,MINNESOTA,895509.8,1002229
15-040877,2015-08,1/1/2010 0:01,Y, , ,1, ,91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,4405,GRACE AVE,16, , ,4405,GRACE,892411.8,999817
15-038665,2015-08,1/1/2010 0:01,Y, , ,1, ,43026,3,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,3855,MINNESOTA AVE,16, , ,3855,MINNESOTA,895509.8,1002229
15-040224,2015-08,1/1/2013 15:01,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4566,LOUGHBOROUGH AVE,4, , ,4566,LOUGHBOROUGH,882297.5,995857.5
15-042837,2015-08,1/1/2014 0:01,Y, , ,1, ,179210,4,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,1400,N 19TH ST,61, , ,1400,19TH,0,0
15-041781,2015-08,1/1/2014 0:01,Y, , ,1, ,21000,6,RAPE -- FORCIBLE,5500,WREN AVE,72, , ,5500,WREN,0,0
15-042212,2015-08,1/1/2014 12:00,Y, , ,1, ,21000,6,RAPE -- FORCIBLE,800,THRUSH AVE,74, , ,800,THRUSH,0,0
15-040709,2015-08,1/1/2014 12:00,Y, , ,1, ,179210,6,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,3300,AUBERT AVE,55, , ,1500,GRAND,0,0
15-041108,2015-08,1/1/2015 18:00,Y, , ,1, ,21000,3,RAPE -- FORCIBLE,3100,KEOKUK ST,16, , , , ,0,0
15-041227,2015-08,1/23/2015 0:01,Y, , ,1, ,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",4125,N 22ND ST,65, , ,4125,22ND,903253.4,1030870
15-008023,2015-08,2/19/2015 21:29, , , ,1, ,10000,4,HOMICIDE,3916,FLORISSANT,65, , ,3916,FLORISSANT,0,0
15-039534,2015-08,2/26/2015 18:00,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3514,CALIFORNIA AVE,19, , ,3514,CALIFORNIA,897319.1,1004329
15-018089,2015-08,3/10/2015 0:01,Y, , ,1, ,262100,2,PORNAGRAPHY-PROMOTING,7120,MANCHESTER AVE,10, , ,7120,MANCHESTER,874348.1,1013008
15-018089,2015-08,3/10/2015 0:01, , , ,-1, ,262100,2,PORNAGRAPHY-PROMOTING,7120,MANCHESTER AVE,10, , ,7120,MANCHESTER,874348.1,1013008
15-012637,2015-08,3/17/2015 13:00,Y, , ,1, ,64701,1,LARCENY-FROM MTR VEH UNDER $500,4541,PENNSYLVANIA AVE,17, , ,4541,PENNSYLVANIA,895089.9,997763.2
15-012469,2015-08,3/17/2015 18:00, , , ,-1, ,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR, , ,38, , , , ,0,0
15-013528,2015-08,3/23/2015 17:00, , , ,-1, ,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4828,BROADWAY,64,FIRST WESTERN INN, , , ,0,0
15-039006,2015-08,3/27/2015 0:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,0,UNKNOWN,0, , ,1915,OLIVE,0,0
15-043440,2015-08,3/28/2012 0:01,Y, , ,1, ,175500,3,SEX OFFNS-SX MISCONDUCT/FIRST,3500,ILLINOIS AVE,18, , ,3500,ILLINOIS,0,0
15-014646,2015-08,3/30/2015 13:45,Y, , ,1, ,91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,220,S JEFFERSON AVE,36, , ,1621,1ST,901349.4,1018193
15-043887,2015-08,3/31/2014 9:00,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,1445,S 18TH ST,32, , ,1445,18TH,902760.6,1013344
15-043238,2015-08,4/1/2014 12:00,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,1405,PINE ST,36, , ,1405,PINE,905730.9,1018275
15-043024,2015-08,4/1/2015 0:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,0,UNKNOWN,0, , ,1600,PINE,0,0
15-042819,2015-08,4/1/2015 0:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,0,UNKNOWN,0, , ,1915,OLIVE,0,0
15-015960,2015-08,4/6/2015 9:12, , , ,1, ,43016,2,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,7037,THOLOZAN,9, , ,660,EUCLID,0,0
15-016155,2015-08,4/7/2015 9:00,Y, , ,1, ,151110,5,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,1317,MARCUS AVE,54, , ,1317,MARCUS,890134.4,1028802
15-039103,2015-08,4/15/2015 12:00,Y, , ,1, ,69602,3,"LARCENY-ALL OTHER $500 - $24,999",2624,PARK AVE,31, , ,2624,PARK,899846.6,1014047
15-039355,2015-08,4/15/2015 15:00,Y, , ,1, ,67601,5,"LARCENY-FROM BUILDING $500 - $24,999",4721,MCPHERSON AVE,38, , ,4721,MCPHERSON,888854.1,1024956
15-041209,2015-08,4/17/2015 19:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5824,SELBER CT,50,HILLVALE APARTMENTS COMPLEX,NUISANCE ABATEMENT PROPERTY,5824,SELBER,884807.3,1037849
15-038721,2015-08,4/18/2014 8:00,Y, , ,1, ,101000,5,FORGERY,3903,C D BANKS AVE,58,NORTH SARAH APARTMENTS, ,3903,C D BANKS,895723.1,1024371
15-021609,2015-08,4/20/2015 17:31,Y, , ,1, ,65701,5,LARCENY-MTR VEH PARTS UNDER $500,3352,CLARA AVE,50, , ,3352,CLARA,886597.1,1036889
15-020005,2015-08,4/25/2015 18:20,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,COTE BRILLIANTE AVE / N KINGSH,55, , , , ,888824.3,1031245
15-041211,2015-08,4/27/2015 0:01,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1321,MONTCLAIR AVE,78, ,NUISANCE ABATEMENT PROPERTY,1321,MONTCLAIR,883431.8,1031160
15-039536,2015-08,4/30/2015 0:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,0,UNKNOWN,0, , , ,unknown 0000,0,0
15-021055,2015-08,5/1/2015 13:53,Y, , ,1, ,51112,5,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,5734,ROOSEVELT PL,50, , ,5734,ROOSEVELT,884819.6,1035955
15-023155,2015-08,5/2/2015 11:30,Y, , ,1, ,67601,5,"LARCENY-FROM BUILDING $500 - $24,999",4146,MAFFITT AVE,57, ,1ST FLOOR,4146,MAFFITT,896240.9,1029177
15-021400,2015-08,5/3/2015 13:06,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,N GRAND BLVD / PALM PL,59, , , , ,900894.4,1029349
15-021852,2015-08,5/5/2015 20:15,Y, , ,1, ,241100,2,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,0,DEBALIVIERE CIR / LINDELL BLVD,82, ,MISSOURI HISTORY MUSEUM, , ,881513.5,1024174
15-022092,2015-08,5/6/2015 21:50, , , ,-1, ,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,7157,VIRGINIA,1, , ,7157,VIRGINIA,0,0
15-039836,2015-08,5/8/2015 0:01,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5805,SELBER CT,50,HILLVALE APARTMENTS COMPLEX,NUISANCE ABATEMENT PROPERTY,5805,SELBER,884807.3,1037849
15-022637,2015-08,5/9/2015 14:22,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,5315,DELMAR BLVD,49, , ,5315,DELMAR,884781,1026551
15-024087,2015-08,5/17/2015 12:18,Y, , ,1, ,241100,5,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,5312,MAPLE AVE,49, , ,5312,MAPLE,885036.9,1029017
15-043156,2015-08,5/19/2015 12:00,Y, , ,1, ,112020,6,FRAUD-CREDIT DEVICE/UNDER $150,4651,POPE AVE,69, , ,4651,POPE,898321.5,1036718
15-024784,2015-08,5/21/2015 1:00, , , ,-1, ,31111,3,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,2207,KEOKUK,18, , ,2207,KEOKUK,0,0
15-030778,2015-08,5/25/2015 12:38,Y, , ,1, ,117000,5,FAILURE TO RETURN BORROWED/RENTED VEHICL,5623,CLEMENS AVE,48, , ,5623,CLEMENS,882432.2,1027838
15-030778,2015-08,5/25/2015 12:38, , , ,-1, ,117000,5,FAILURE TO RETURN BORROWED/RENTED VEHICL,5623,CLEMENS AVE,48, , ,5623,CLEMENS,882432.2,1027838
15-025574,2015-08,5/25/2015 22:00, , , ,1, ,91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,3854,MISSOURI,18, , , , ,0,0
15-025574,2015-08,5/25/2015 22:00, , , ,-1, ,43012,3,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,3854,MISSOURI,18, , , , ,0,0
