MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2012-12,1/1/1996 8:00,Y, , ,1,179200,1,SEX OFFNS-CHILD MOLESTATION,3900,SCHILLER PL,5, , ,3900,SCHILLER,888496.3,997991.9
2012-12,1/1/2006 10:25,Y, , ,1,172100,3,SEX OFFNS-SODOMY/FORCIBLE,3000,CALIFORNIA AVE,30, , ,3000,CALIFORNIA,897707.1,1007884
2012-12,1/1/2012 0:01,Y, , ,1, 21000,7,RAPE -- FORCIBLE,1100,HODIAMONT AVE,48, , ,1100,HODIAMONT,879442.1,1031078
2012-12,1/1/2012 8:00,Y, , ,1, 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4320,CHIPPEWA ST,5, ,APARTMENTS B & C,4320,CHIPPEWA,887453.9,1003850
2012-12,1/16/2012 0:01,Y, , ,1, 91124,5,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",2913,SULLIVAN AVE,59, , ,2913,SULLIVAN,901457.1,1028285
2012-12,1/30/2012 12:00,Y, , ,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5962,ERA AVE,73, , ,5962,ERA,891149.5,1049045
2012-12,1/9/2012 10:30,Y, , ,1, 67701,6,LARCENY-FROM BUILDING UNDER $500,0,N BROADWAY / RIVERVI,74,SPEEDIE S GAS STATION, , , ,897816.4,1053556
2012-12,10/1/2012 17:28,Y, , ,1, 67701,7,LARCENY-FROM BUILDING UNDER $500,57,KINGSBURY PL,47, , ,57,KINGSBURY,882585.7,1026109
2012-12,10/1/2012 8:30,Y, , ,1, 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4410,ATHLONE AVE,68, , ,4410,ATHLONE,898192.4,1035039
2012-12,10/1/2012 8:55,Y, , ,1,264100,3,HEALTH-SANITATION VIOL,3409,CHEROKEE ST,30, , ,3409,CHEROKEE,894631.7,1005710
2012-12,10/10/2012 8:00,Y, , ,1, 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",4547,FLAD AVE,13, ,APT 2E,4547,FLAD,887902.6,1012625
2012-12,10/12/2012 10:45,Y, , ,1,265321,5,LEAVING SCENE OF ACCIDENT,3501,PARNELL ST,60, , ,3501,PARNELL,903063.3,1028019
