Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
13-063261,2013-12,1/1/2006 0:01,Y, , ,1, ,171200,3,SEX OFFNS-STATUATORY RAPE/FIRST,3900,SHENANDOAH AVE,27, , ,3900,SHENANDOAH,892929,1011162
13-063760,2013-12,1/1/2011 0:01,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3300,MAGNOLIA AVE,25, , ,4000,HYDRAULIC,895564.6,1009570
13-064106,2013-12,1/1/2011 0:01,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,5900,PENNSYLVANIA AVE,1, , ,5900,PENNSYLVANIA,892883.4,992766.8
13-060476,2013-12,1/1/2011 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,9999,UNKNOWN,71, , ,5424,CLAXTON,0,0
13-063598,2013-12,1/1/2012 0:01,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,3900,N 21ST ST,65, , ,3900,21ST,904277.8,1030139
13-064254,2013-12,1/1/2013 12:55,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,1531,S 8TH ST,21, , ,1531,8TH,905645.2,1011703
13-060987,2013-12,1/1/2013 14:00,Y, , ,1, ,171200,7,SEX OFFNS-STATUATORY RAPE/FIRST,5200,ST LOUIS AVE,52, , ,5300,UNION,888553.6,1034388
13-062759,2013-12,1/22/2011 23:59,Y, , ,1, ,179210,1,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,3600,GASCONADE ST,16, , ,3800,IOWA,892789,1001167
13-062633,2013-12,1/24/2013 10:30,Y, , ,1, , 71013,9,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,MARYLAND AVE / N T,38, , , , ,889470.1,1023382
13-062292,2013-12,1/3/2013 0:01,Y, , ,1, , 51322,2,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5801,WILSON AVE,12, , ,5801,WILSON,881898.8,1013889
13-061510,2013-12,1/5/2013 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,9999,UNKNOWN,73, , ,5936,MIMIKA,0,0
13-062435,2013-12,10/1/2013 11:00,Y, , ,1, , 67601,9,"LARCENY-FROM BUILDING $500 - $24,999",3700,WEST PINE BLVD,37, ,FOOD COURT,3700,WEST PINE,895126.6,1020672
13-063382,2013-12,10/1/2013 8:00,Y, , ,1, , 67701,3,LARCENY-FROM BUILDING UNDER $500,2849,WYOMING ST,30, , ,2849,WYOMING,897339.4,1006635
13-061385,2013-12,10/10/2013 16:40,Y, , ,1, ,266999,8,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4348,KENNERLY AVE,57, , ,4348,KENNERLY,894098.7,1029686
13-058498,2013-12,10/11/2013 15:00,Y, , ,1, ,263210,8,OBSTRUCT GOVRN OP-JUDIC/TMPR WTH WITNESS,4282,ST LOUIS AVE,57, , ,1200,CLARK,895420.9,1030060
13-058956,2013-12,10/13/2013 11:45,Y, , ,1, ,112010,9,FRAUD-CREDIT DEVICE/OVER $150,340,N SARAH ST,38,WUTU FASHIONS, ,340,SARAH,892900,1022245
13-051787,2013-12,10/13/2013 12:27,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,300,WASHINGTON AVE,35, , ,300,WASHINGTON,909883.8,1018271
13-052156,2013-12,10/13/2013 14:11,Y, , ,1, ,115200,4,FRAUD-STEALING BY DECEIT/UNDER $150,1100,WASHINGTON AVE,35, , ,919,JEFFERSON,907252.9,1018795
13-051974,2013-12,10/13/2013 2:30,Y, , ,1, , 31411,4,ROBBERY-HIGHWAY  /STRNGARM/INJURY/SUCCESS,1117,WASHINGTON AVE,35, , ,1115,WASHINGTON,907173.4,1019045
13-059492,2013-12,10/13/2013 22:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,8612,HALLS FERRY RD,74, , ,8612,HALLS FERRY,895810.5,1049854
13-051925,2013-12,10/14/2013 10:10, , , ,1, , 69702,7,LARCENY-ALL OTHER UNDER $500,5803,HIGHLAND,50, ,: APT 2E,5803,HIGHLAND,0,0
