MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2012-02,01/01/1999 15:37,Y, , ,1,179210,8,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,4000,LABADIE AVE,56, , ,4000,LABADIE,897683.4,1029284
2012-02,01/01/2010 19:56,Y, , ,1, 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",3222,MAGNOLIA AVE,25, , ,3222,MAGNOLIA,895763.8,1009349
2012-02,01/01/2011 00:01,Y, , ,1,179200,6,SEX OFFNS-CHILD MOLESTATION,5700,ERA AVE,76, , ,5700,ERA,890236.8,1047771
2012-02,01/01/2012 00:01,Y, , ,1,115400,7,STLG BY DECEIT/IDENTITY THEFT REPORT,1939,SEMPLE AVE,50, , ,1939,SEMPLE,885872.8,1033367
2012-02,01/01/2012 00:01,Y, , ,1, 67601,6,"LARCENY-FROM BUILDING $500 - $24,999",4645,FARLIN AVE,69, , ,4645,FARLIN,894253.5,1035042
2012-02,01/01/2012 00:01,Y, , ,1,179210,3,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,3500,MICHIGAN AVE,19, , ,3500,MICHIGAN,895493.5,1004458
2012-02,01/01/2012 00:01,Y, , ,1,115400,7,STLG BY DECEIT/IDENTITY THEFT REPORT,5240,ASHLAND AVE,52, , ,5240,ASHLAND,888925.3,1035193
2012-02,01/01/2012 00:15, ,Y, ,-1, 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1434,PEABODY,33, , ,1434,PEABODY,0,0
2012-02,01/01/2012 00:45,Y, , ,1,241100,2,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,5239,BONITA AVE,6, ,RESIDENCE,5239,BONITA,880597.7,997918
2012-02,01/01/2012 01:30,Y, , ,1,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3013,CALIFORNIA AVE,30, , ,3013,CALIFORNIA,897687.2,1007758
2012-02,01/01/2012 10:03,Y, , ,1,101000,2,FORGERY,6239,HOFFMAN AVE,11, , ,6239,HOFFMAN,878924.6,1010535
2012-02,01/01/2012 10:30,Y, , ,1, 63701,9,LARCENY-SHOPLIFT UNDER $500,400,S KINGSHIGHWAY BLVD,38,WASHINGTON UNIVERSITY, ,4526,CHILDRENS,887074.8,1020998
2012-02,01/01/2012 12:00,Y, , ,1, 69602,0,"LARCENY-ALL OTHER $500 - $24,999",6102,RIVERVIEW BLVD,0, , ,1430,UNION,0,0
2012-02,01/01/2012 14:19,Y, , ,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,1443,MCCAUSLAND AVE,43, , ,1443,MCCAUSLAND,875086.4,1016670
