MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2012-01,01/01/1900 00:00,Y, , ,1, 51112,3,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,3950,FAIRVIEW AVE,15,VACANT MULTI-FAMILY BUILDING, ,3950,FAIRVIEW,890875.6,1005653
2012-01,01/01/1976 08:15,Y, , ,1,172100,9,SEX OFFNS-SODOMY/FORCIBLE,1500,S GRAND BLVD,29, ,@CARDINAL GLENNON HOSPITAL,1500,GRAND,894852.6,1015265
2012-01,01/01/2008 11:54,Y, , ,1, 21000,7,RAPE -- FORCIBLE,5100,WABADA AVE,52, , ,5100,WABADA,888115.3,1032346
2012-01,01/01/2010 00:01,Y, , ,1,262200,7,PORNAGRAPHY-FURNISHING TO MINOR,1433,TEMPLE PL,78, , ,1433,TEMPLE,883505.7,1032522
2012-01,01/01/2012 00:01,Y, , ,1,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3611,OSCEOLA ST,16, ,APT 2W,3611,OSCEOLA,892851.5,999714.8
2012-01,01/01/2012 00:01,Y, , ,1,142320,9,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4120,WESTMINSTER PL,38, , ,4120,WESTMINSTER,892922.9,1022865
2012-01,01/01/2012 00:01,Y, , ,1,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2318,S 9TH ST,21, , ,2318,9TH,904156.8,1008911
2012-01,01/01/2012 00:01,Y, , ,1,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3226,IOWA AVE,30, , ,3226,IOWA,897959.3,1006154
2012-01,01/01/2012 00:02,Y, , ,1, 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1117,WASHINGTON AVE,35, , ,1117,WASHINGTON,907173.4,1019045
2012-01,01/01/2012 00:07,Y, , ,1,142320,8,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4900,EUCLID TER,53,APARTMENT COMPLEX,APARTMENT COMPLEX,4900,EUCLID,888733.6,1027045
2012-01,01/01/2012 00:13,Y, , ,1, 41011,8,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4803,LEXINGTON AVE,55, , ,4803,LEXINGTON,892219.1,1033981
2012-01,01/01/2012 00:13,Y, , ,1, 41021,8,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,4803,LEXINGTON AVE,55, , ,4803,LEXINGTON,892219.1,1033981
2012-01,01/01/2012 00:15,Y, , ,1, 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1434,PEABODY CT,33, , ,1434,PEABODY,904203.9,1013767
2012-01,01/01/2012 00:19,Y, , ,1,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1611,LOCUST ST,36, , ,1611,LOCUST,904969,1019199
2012-01,01/01/2012 00:20,Y, , ,1,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5945,SUMMIT AVE,73, , ,5945,SUMMIT,892098.1,1048334
2012-01,01/01/2012 00:30,Y, , ,1, 64701,3,LARCENY-FROM MTR VEH UNDER $500,3451,ILLINOIS AVE,18, , ,3451,ILLINOIS,899473.2,1004309
2012-01,01/01/2012 00:30,Y, , ,1,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3644,FLAD AVE,27, ,PERSONAL RESIDENCE,3644,FLAD,893884.4,1011511
2012-01,01/01/2012 00:32,Y, , ,1,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1415,SULLIVAN AVE,63, , ,1415,SULLIVAN,906336.8,1026885
2012-01,01/01/2012 00:33,Y, , ,1, 41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3422,MCKEAN AVE,25, , ,3422,MCKEAN,894373.3,1005899
2012-01,01/01/2012 00:50,Y, , ,1, 10000,6,HOMICIDE,4931,PLOVER AVE,72, , ,4931,PLOVER,889874.4,1042351
