Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
14-003128,2014-01,01/01/2008 08:00,Y, , ,1, ,179210,1,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,04465,DELOR ST,5, , ,4465,DELOR,885368.7,1001191
14-000962,2014-01,01/01/2012 00:01,Y, , ,1, ,21000,1,RAPE -- FORCIBLE,04249,MICHIGAN AVE,17,CHARITON APARTMENTS, ,4249,MICHIGAN,894746.1,999716.7
14-001677,2014-01,01/01/2012 16:33,Y, , ,1, ,21000,1,RAPE -- FORCIBLE,00537,EILER ST,1, , , , ,892616.1,995398.3
14-001027,2014-01,01/01/2013 10:00,Y, , ,1, ,51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,04105,VIRGINIA AVE,16, , ,4105,VIRGINIA,894258.6,1000917
14-000052,2014-01,01/01/2014 00:01,Y, , ,1, ,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,04648,ALDINE AVE,56, ,APT B,4648,ALDINE,890767.4,1029512
14-000050,2014-01,01/01/2014 00:01,Y, , ,1, ,41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,02641,CALIFORNIA AVE,24, ,SINGLE FAMILY DWELLING,2641,CALIFORNIA,897941,1009342
14-000050,2014-01,01/01/2014 00:01,Y, , ,1, ,41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,02641,CALIFORNIA AVE,24, ,SINGLE FAMILY DWELLING,2641,CALIFORNIA,897941,1009342
14-000067,2014-01,01/01/2014 00:01,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,02008,E JOHN AVE,66, , ,2008,JOHN,903042.8,1033644
14-000010,2014-01,01/01/2014 00:01,Y, , ,1, ,41021,2,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,03825,MCREE AVE,29, , ,3825,MCREE,893591,1014227
14-000007,2014-01,01/01/2014 00:01,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,03333,HEREFORD ST,14, , ,3333,HEREFORD,884391.1,1007055
14-000008,2014-01,01/01/2014 00:10,Y, , ,1, ,41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,01215,SOULARD ST,34, ,RESIDENCE,1215,SOULARD,904041,1011813
14-000009,2014-01,01/01/2014 00:15,Y, , ,1, ,142310,3,DESTRUCTION OF PROPERTY-MALICIOUS/PUBLIC PROP,03200,MICHIGAN AVE,30, , , , ,896017.7,1006822
14-000021,2014-01,01/01/2014 00:17,Y, , ,1, ,71030,4,AUTO THEFT-PERM RETNT/JOY RIDE,00999,N 2ND ST,35,LUMIERE CASINO,@HOTEL- FOUR SEASONS,999,2ND,910439.8,1019433
14-000045,2014-01,01/01/2014 00:30,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,06321,ARSENAL ST,11,ALLEY, ,6321,ARSENAL,878622.1,1010256
14-000011,2014-01,01/01/2014 00:40,Y, , ,1, ,266510,4,PUBLIC ORDER-TRESPASSING,03720,LACLEDE AVE,37, , ,3720,LACLEDE,894906.8,1020188
14-000014,2014-01,01/01/2014 00:47,Y, , ,1, ,211000,4,DUI-DRVING WHILE INTOXICATED,01100,COLE ST,35, , , , ,907710.4,1020229
14-000084,2014-01,01/01/2014 01:00,Y, , ,1, ,64701,2,LARCENY-FROM MTR VEH UNDER $500,04267,MIAMI ST,15, , ,4267,MIAMI,888265.9,1005242
14-000202,2014-01,01/01/2014 01:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,03188,PENNSYLVANIA AVE,30, , ,3188,PENNSYLVANIA,896726.6,1006815
14-000015,2014-01,01/01/2014 01:09,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,00612,N 2ND ST,35, ,@KENNEDYS - 2ND ST,612,2ND,910391.4,1018273
14-000018,2014-01,01/01/2014 01:15,Y, , ,1, ,211000,2,DUI-DRVING WHILE INTOXICATED,03232,WATSON RD,9, , ,3236,WATSON,878247,1008995
14-000020,2014-01,01/01/2014 01:15,Y, , ,1, ,41016,3,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,01611,MENARD ST,34, , ,1611,MENARD,904771.8,1011975
14-000024,2014-01,01/01/2014 01:34,Y, , ,1, ,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,02017,MULLANPHY ST,60, , , , ,904381.8,1023654
14-000023,2014-01,01/01/2014 01:39,Y, , ,1, ,43012,4,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,00001,S BROADWAY,35,HILTON, , ,hilton,908726.1,1016735
14-000026,2014-01,01/01/2014 02:00,Y, , ,1, ,211000,2,DUI-DRVING WHILE INTOXICATED,04100,MANCHESTER AVE,39, , , , ,891534.1,1017455
14-000022,2014-01,01/01/2014 02:10,Y, , ,1, ,241100,4,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,03112,OLIVE ST,37,LOFT NIGHTCLUB, ,3112,OLIVE,899009.4,1020191
14-000033,2014-01,01/01/2014 02:20,Y, , ,1, ,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,01461,PRESERVATION PL,61, , ,1461,PRESERVATION,906689.7,1022067
14-000033,2014-01,01/01/2014 02:20,Y, , ,1, ,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,01461,PRESERVATION PL,61, , ,1461,PRESERVATION,906689.7,1022067
14-000027,2014-01,01/01/2014 02:30,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,03427,S KINGSHIGHWAY BLVD,14,UNCLE BILLS PANCAKE HOUSE, ,3427,KINGSHIGHWAY,885597.1,1006290
14-000035,2014-01,01/01/2014 02:30,Y, , ,1, ,67601,3,"LARCENY-FROM BUILDING $500 - $24,999",00000,CHIPPEWA ST / GRAVOIS RD,16,TIME OUT, , , ,890165.4,1003642
14-000030,2014-01,01/01/2014 02:30,Y, , ,1, ,42016,6,ASSLT-AGGRV-KNIFE/CUT-3RD-ADULT-DOMESTIC,01920,E OBEAR AVE,66,WATER TOWER APARTMENTS,DOWN STAIRS,1920,OBEAR,903209.7,1033402
14-000032,2014-01,01/01/2014 02:35,Y, , ,1, ,41011,2,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,04344,MCREE AVE,28, , ,4344,MCREE,889451.3,1014521
