MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2010-07,01/01/1982 00:01,Y, , ,1,172100,2,SEX OFFNS-SODOMY/FORCIBLE,6600,NOTTINGHAM AVE,8, , ,6600,NOTTINGHAM,875372.4,1002992
2010-07,01/01/2004 07:00,Y, , ,1,179210,5,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,2200,UNIVERSITY ST,60, ,BLOCK,3200,NEBRASKA,904528.1,1026706
2010-07,01/01/2005 10:44,Y, , ,1,171200,1,SEX OFFNS-STATUATORY RAPE/FIRST,5200,LOUISIANA AVE,1, , ,5200,LOUISIANA,891664.5,996314.1
2010-07,01/01/2006 10:21,Y, , ,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,4960,KEMPER AVE,13, , ,4960,KEMPER,885406.8,1008727
2010-07,01/01/2008 08:00,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2632,LOUISIANA AVE,25, , ,2632,LOUISIANA,895518.8,1009790
2010-07,01/01/2008 09:56,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3455,HALLIDAY AVE,25, , ,3455,HALLIDAY,894782.6,1009349
2010-07,01/01/2010 00:01,Y, , ,1, 69602,3,"LARCENY-ALL OTHER $500 - $24,999",3162,S COMPTON AVE,25,FOUR-FAMILY UNOCCUPIED, ,3162,COMPTON,895796.2,1007305
2010-07,01/01/2010 00:01,Y, , ,1, 21000,7,RAPE -- FORCIBLE,5100,ENRIGHT AVE,51, , ,5100,ENRIGHT,887202.8,1026799
2010-07,01/01/2010 08:00,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3726,NEBRASKA AVE,19, , ,3726,NEBRASKA,896452.6,1003015
2010-07,01/01/2010 09:41,Y, , ,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6928,MARQUETTE AVE,9, , ,6928,MARQUETTE,874770.6,1007444
2010-07,01/01/2010 15:00,Y, , ,1, 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5106,ROBIN AVE,72, , ,5106,ROBIN,890415.7,1043348
2010-07,02/01/2010 15:00,Y, , ,1, 43026,5,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,1220,WARREN ST,63, , ,1220,WARREN,907350.3,1025616
2010-07,02/03/2010 12:00,Y, , ,1,242000,1,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,4230,ELLENWOOD AVE,5, , ,4230,ELLENWOOD,887569.2,1001866
