MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2013-07,01/01/1900 00:00,Y, , ,1,175500,3,SEX OFFNS-SX MISCONDUCT/FIRST,2300,MENARD ST,21, , ,4200,CHOUTEAU,903535.2,1009099
2013-07,01/01/2012 12:14,Y, , ,1,171200,1,SEX OFFNS-STATUATORY RAPE/FIRST,8200,MINNESOTA AVE,2, , ,8200,MINNESOTA,887531.1,987043
2013-07,01/01/2013 12:00,Y, , ,1,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,9999,UNKNOWN,0, , ,5468,ARLINGTON,0,0
2013-07,01/01/2013 18:30, ,Y, ,-1,178100,6,SEX OFFNS-EXPOSURE/LEWD&LACIV ACT,4300,SHREVE,69, ,5908 DUPREE AVE,4300,SHREVE,0,0
2013-07,01/06/2010 12:00,Y, , ,1,115400,7,STLG BY DECEIT/IDENTITY THEFT REPORT,5205,ASHLAND AVE,52, , ,6115,NORTH POINTE,889314.8,1035170
2013-07,01/09/2011 13:57,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4214,S 38TH ST,16, , ,4214,38TH,892296.5,1001095
2013-07,01/14/2013 08:00,Y, , ,1, 67601,6,"LARCENY-FROM BUILDING $500 - $24,999",6201,EMMA AVE,76, , ,6201,EMMA,889336.6,1046692
2013-07,01/14/2013 12:00,Y, , ,1, 51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5212,S COMPTON AVE,17, , ,5212,COMPTON,893523.6,995353.3
2013-07,01/16/2013 10:00,Y, , ,1, 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3134,ILLINOIS AVE,22, , ,3134,ILLINOIS,900093.2,1006256
2013-07,01/22/2009 08:00,Y, , ,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4638,POPE AVE,68, , ,4638,POPE,898306.7,1036462
2013-07,01/22/2013 10:38,Y, , ,1,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1200,CLARK AVE,36, ,@HEADQUARTERS,1200,CLARK,905878.5,1016618
2013-07,02/01/2013 21:55,Y, , ,1,111110,4,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,1200,MARKET ST,36, ,@CITY HALL,1200,MARKET,906055.1,1017127
