MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2009-06,01/01/2004 00:01,Y, , ,1, 21000,1,RAPE -- FORCIBLE,5000,S 37TH ST,16, , ,5000,37TH,890961.8,997996.5
2009-06,01/01/2005 00:01,Y, , ,1, 21000,1,RAPE -- FORCIBLE,3800,EICHELBERGER ST,5, , ,3800,EICHELBERGER,889238.8,997681.4
2009-06,01/01/2006 00:01,Y, , ,1,115100,1,FRAUD-STEALING BY DECEIT/OVER $150,4401,BINGHAM AVE,5, , ,4401,BINGHAM,886745.3,1003783
2009-06,01/01/2006 00:01,Y, , ,1, 67701,7,LARCENY-FROM BUILDING UNDER $500,5815,DR MARTIN LUTHER KIN,50, ,ALIAS 5815 MARTIN LUTHER KING DR CIT,5815,DR MARTIN LUTHER KIN,883098.3,1033825
2009-06,01/01/2009 19:48,Y, , ,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,4978,ITASKA ST,7, , ,4978,ITASKA,882947.3,1001376
2009-06,01/02/2009 10:18,Y, , ,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6416,VILLA AVE,42, , ,6416,VILLA,878992.5,1016272
2009-06,01/22/2009 01:00,Y, , ,1, 69702,8,LARCENY-ALL OTHER UNDER $500,4749,NEWBERRY TER,54, , ,4749,NEWBERRY,889975.5,1027818
2009-06,01/22/2009 09:39,Y, , ,1,101000,4,FORGERY,301,N TUCKER BLVD,36,US BANK, ,301,TUCKER,906554.1,1018453
2009-06,01/26/2009 08:00,Y, , ,1, 65701,6,LARCENY-MTR VEH PARTS UNDER $500,7410,HALL ST,79, ,@CITY TOW,7410,HALL,899571.8,1044964
2009-06,01/30/2009 00:01,Y, , ,1,103000,7,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,5585,PERSHING AVE,47, , ,5585,PERSHING,882489.8,1025123
2009-06,02/01/2009 00:01,Y, , ,1,121000,4,EMBEZZLEMENT-VALUE OVER $150,920,OLIVE ST,35,CITY GROCERS,GROCERY STORE,920,OLIVE,0,0
2009-06,02/01/2009 00:01,Y, , ,1, 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",902,HICKORY ST,34, , ,902,HICKORY,906220.8,1013170
2009-06,02/01/2009 01:00,Y, , ,1,121000,2,EMBEZZLEMENT-VALUE OVER $150,6801,HOFFMAN AVE,10,METRO ELECTRIC SUPPLY, ,6801,HOFFMAN,875721.5,1010932
2009-06,02/09/2009 08:00,Y, , ,1,112010,7,FRAUD-CREDIT DEVICE/OVER $150,21,KINGSBURY PL,47, , ,21,KINGSBURY,883746.1,1025974
2009-06,02/16/2009 13:00,Y, , ,1, 67701,2,LARCENY-FROM BUILDING UNDER $500,2118,59TH ST,12,FLESH COMPANY,BUSINESS,2118,59TH,881770,1013587
2009-06,02/20/2009 00:01,Y, , ,1,262300,4,PORNAGRAPHY-PBLIC DSPLAY SEX MATERIALS,2,SOUTH 4TH ST,35,DRURY PLAZA HOTEL,ROOM 568,2,SOUTH 4TH,0,0
2009-06,02/25/2003 18:10,Y, , ,1,115500,1,FRAUD/STEALING BY DECEIT-O/$150,4161,GRAVOIS AVE,16,MCMAHON FORD, ,4161,GRAVOIS,889461,1003366
2009-06,03/01/2008 15:00,Y, , ,1,179200,5,SEX OFFNS-CHILD MOLESTATION,1900,BENTON ST,60, , ,1900,BENTON,904937.6,1024966
2009-06,03/01/2009 00:01,Y, , ,1,171300,6,SEX OFFNS-STATUATORY RAPE/SECOND,1000,ELIAS AVE,74, ,SINGLE FAMILY HOME,1000,ELIAS,895994.9,1051616
