Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
14-027435,2014-06,1/1/2004 0:01,Y, , ,1, ,179210,1,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,5400,COLOGNE AVE,5, , ,5400,COLOGNE,0,0
14-025526,2014-06,1/1/2007 9:09,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,3604,DELOR ST,16, , ,3604,DELOR,891506.3,997636.3
14-018836,2014-06,1/1/2012 0:01,Y, , ,1, ,91123,6,SIMPLE ASSAULT-CHILD/NO INJURY,4025,LOUIS,56, , ,4025,ST LOUIS,0,0
14-018836,2014-06,1/1/2012 0:01,Y, , ,1, ,43023,6,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 3RD DEGREE,4025,LOUIS,56, , ,4025,ST LOUIS,0,0
14-018836,2014-06,1/1/2012 0:01,Y, , ,1, ,43013,6,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,4025,LOUIS,56, , ,4025,ST LOUIS,0,0
14-018836,2014-06,1/1/2012 0:01,Y, , ,1, ,43023,6,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 3RD DEGREE,4025,LOUIS,56, , ,4025,ST LOUIS,0,0
14-023331,2014-06,1/1/2012 0:01,Y, , ,1, ,179210,4,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,1500,SALISBURY ST,65, ,APT  1ST FL,1500,SALISBURY,0,0
14-018836,2014-06,1/1/2012 0:01, , , ,1, ,41023,6,AGG.ASSAULT-FIREARM/CITIZEN CHILD 3RD DEGREE,4025,LOUIS,56, , ,4025,ST LOUIS,0,0
14-025949,2014-06,1/1/2014 0:01,Y, , ,1, ,21000,2,RAPE -- FORCIBLE,5600,NEOSHO ST,7, , ,5600,NEOSHO,0,0
14-023674,2014-06,1/1/2014 1:57,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4039,KENNERLY AVE,56, , ,4039,KENNERLY,896945.9,1028694
14-025276,2014-06,1/1/2014 9:00,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3140,IOWA AVE,30, , ,3140,IOWA,898077.6,1006907
14-026642,2014-06,1/1/2014 9:00,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3006,LAFAYETTE AVE,31, , ,3006,LAFAYETTE,897546.3,1013072
14-026725,2014-06,1/1/2014 9:00,Y, , ,1, ,179210,3,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,2800,CHEROKEE ST,19,EL-TORITO RESTAURANT, ,4400,BINGHAM,0,0
14-024276,2014-06,1/1/2014 15:12,Y, , ,1, ,121000,3,EMBEZZLEMENT-VALUE OVER $150,3407,S JEFFERSON AVE,18,NEBULA SOUTH SIDE SPACES, ,3407,JEFFERSON,898769.5,1005097
14-026777,2014-06,1/1/2014 15:12,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3407,S JEFFERSON AVE,18, , ,3407,JEFFERSON,898769.5,1005097
14-027013,2014-06,1/14/2013 12:00,Y, , ,1, ,112010,4,FRAUD-CREDIT DEVICE/OVER $150,3108,EVANS AVE,59, , ,2323,LOCUST,899403.8,1024179
14-028099,2014-06,1/15/2014 10:00,Y, , ,1, ,69702,1,LARCENY-ALL OTHER UNDER $500,4258,LOUISIANA AVE,16, , ,4258,LOUISIANA,893852.1,999779.3
14-003237,2014-06,1/23/2014 22:00,Y, , ,1, ,151130,3,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,0,KEOKUK ST / S BROADWAY,18, , , , ,898243.1,1001816
13-005030,2014-06,1/29/2013 2:30, , , ,-1, ,71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3600,HICKORY,29, , ,3600,HICKORY,0,0
14-024425,2014-06,1/31/2013 12:05,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,6014,WESTMINSTER PL,46, , ,6014,WESTMINSTER,878868,1026632
14-024455,2014-06,1/31/2014 12:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,9999,UNKNOWN,0, , ,1966,WARNE,0,0
14-025898,2014-06,1/31/2014 12:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,9999,UNKNOWN,0, , ,4655,ELMBANK,0,0
14-029000,2014-06,2/1/2014 10:00,Y, , ,1, ,65701,6,LARCENY-MTR VEH PARTS UNDER $500,719,BITTNER ST,74, , ,719,BITTNER,897469.6,1047831
14-023686,2014-06,2/1/2014 11:39,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4975,FOUNTAIN AVE,53, , ,5095,ENRIGHT,888254,1027663
14-024318,2014-06,2/1/2014 12:00,Y, , ,1, ,51322,4,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,2741,BACON ST,59, , ,2741,BACON,899816.3,1026937
14-009927,2014-06,2/1/2014 13:58, , , ,-1, ,69602,6,"LARCENY-ALL OTHER $500 - $24,999",8000,HALL,79, , , , ,0,0
14-027725,2014-06,2/4/2014 12:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5412,PARTRIDGE AVE,72, , ,5412,PARTRIDGE,890940.3,1045017
14-023685,2014-06,2/4/2014 23:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,737,BAYARD AVE,53, , ,737,BAYARD,888960.6,1026482
14-005253,2014-06,2/6/2014 5:00, , , ,-1, ,43022,5,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 2ND DEGREE,5045,RAYMOND,52, , ,5030,LEXINGTON,0,0
14-005253,2014-06,2/6/2014 5:00, , , ,-1, ,43022,5,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 2ND DEGREE,5045,RAYMOND,52, , ,5030,LEXINGTON,0,0
14-025721,2014-06,2/15/2014 12:53,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,3837,WINDSOR PL,77, , ,3837,WINDSOR,896279.1,1023892
14-025611,2014-06,2/19/2014 7:44,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,2827,TEXAS AVE,30, , ,2827,TEXAS,898782.8,1008417
14-007868,2014-06,2/20/2014 9:00,Y, , ,1, ,67601,5,"LARCENY-FROM BUILDING $500 - $24,999",1625,UNION BLVD,50, , ,1625,UNION,886763.3,1032014
14-008253,2014-06,2/26/2014 13:00, , , ,-1, ,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,6131,LEONA,5, ,: @WOERNER SCHOOL,6131,LEONA,0,0
