MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2009-03,01/01/2005 07:00,Y, , ,1,179100,7,RISKING INFECTION OF ANOTHER BY HIV,5500,PERSHING AVE,47, , ,5500,PERSHING,883159.8,1024767
2009-03,01/01/2006 07:00,Y, , ,1,172300,4,SEX OFFNS-STATUATORY SODOMY/FIRST,1000,LASALLE PARK CT,34, , ,1000,LASALLE PARK,905636.1,1013686
2009-03,01/01/2008 07:00,Y, , ,1, 21000,6,RAPE -- FORCIBLE,4900,W FLORISSANT AVE,71, , ,4900,WEST FLORISSANT,895898.8,1040127
2009-03,01/01/2008 10:00,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4243,DEWEY AVE,16, , ,4243,DEWEY,892183.6,1000634
2009-03,01/01/2009 00:01,Y, , ,1,172100,6,SEX OFFNS-SODOMY/FORCIBLE,1300,MCLARAN AVE,74,HILLSIDE MANOR NURSING HOME, ,1300,MCLARAN,895302,1049744
2009-03,01/01/2009 06:00,Y, , ,1, 65701,6,LARCENY-MTR VEH PARTS UNDER $500,8732,RIVERVIEW BLVD,74, , ,8732,RIVERVIEW,894180.5,1050046
2009-03,01/01/2009 07:00,Y, , ,1, 51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4727,ROSA AVE,6, ,RESIDENCE-UNOCCUPIED,4727,ROSA,883593.1,999718.8
2009-03,01/01/2009 08:00,Y, , ,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,5821,THOLOZAN AVE,14, , ,5821,THOLOZAN,879633.3,1005933
2009-03,01/01/2009 12:00,Y, , ,1,112010,7,FRAUD-CREDIT DEVICE/OVER $150,5861,KENNERLY AVE,50, , ,5861,KENNERLY,883576.1,1035729
2009-03,01/03/2009 00:20,Y, , ,1,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3427,JUNIATA ST,25, , ,3427,JUNIATA,894804.6,1007691
2009-03,01/04/2009 14:00,Y, , ,1, 65701,7,LARCENY-MTR VEH PARTS UNDER $500,2841,BELT AVE,50, , ,2841,BELT,886400.9,1035189
2009-03,01/04/2009 15:00,Y, , ,1, 67701,8,LARCENY-FROM BUILDING UNDER $500,4529,LEXINGTON AVE,56, , ,4529,LEXINGTON,894188.9,1033134
2009-03,01/05/2009 08:00,Y, , ,1, 67701,1,LARCENY-FROM BUILDING UNDER $500,4605,DELOR ST,5, , ,4605,DELOR,885140.8,1001259
2009-03,01/05/2009 13:19,Y, , ,1,111110,4,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,710,OLIVE ST,35,FIRST BANK, ,710,OLIVE,908293.4,1017743
2009-03,01/07/2009 09:00,Y, , ,1, 65701,3,LARCENY-MTR VEH PARTS UNDER $500,4068,ARSENAL ST,15, , ,4068,ARSENAL,890224.8,1008765
2009-03,01/08/2009 15:47,Y, , ,1, 67701,8,LARCENY-FROM BUILDING UNDER $500,4506,SAINT LOUIS AVE,56, ,ALIAS 4506 ST LOUIS,4506,SAINT LOUIS,893573.9,1031205
2009-03,01/10/2009 08:00,Y, , ,1,115100,2,FRAUD-STEALING BY DECEIT/OVER $150,3170,HAMPTON AVE,13, , ,3170,HAMPTON,880117,1009114
2009-03,01/14/2009 10:00,Y, , ,1, 67701,1,LARCENY-FROM BUILDING UNDER $500,5924,ARENDES DR,3, , ,5924,ARENDES,888631.4,995515.2
2009-03,01/15/2009 17:00,Y, , ,1, 67701,9,LARCENY-FROM BUILDING UNDER $500,3655,VISTA AVE,29,@ SLU HOSPITAL, ,6828,WISE,894661.8,1015656
2009-03,01/18/2009 15:08,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,326,S 21ST ST,36, ,@CLUB SOCIETY,326,21ST,902681.9,1017047
2009-03,01/19/2009 12:00, ,Y, ,-1, 67601,7,"LARCENY-FROM BUILDING $500 - $24,999",5622,ENRIGHT,48, , ,5622,ENRIGHT,0,0
2009-03,01/20/2009 20:20,Y, , ,1,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3151,HALLIDAY AVE,25, , ,3151,HALLIDAY,896057.1,1009153
2009-03,01/21/2008 00:01,Y, , ,1, 21000,2,RAPE -- FORCIBLE,7000,NOTTINGHAM PL,9, , ,7000,NOTTINGHAM,872665.4,1003371
2009-03,01/21/2009 00:45,Y, , ,1,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3727,S JEFFERSON AVE,19, , ,3727,JEFFERSON,898196.3,1002741
2009-03,01/21/2009 07:00,Y, , ,1, 65701,4,LARCENY-MTR VEH PARTS UNDER $500,2134,KISLING LN,63, , ,1200,CLARK,907942.8,1024267
2009-03,01/21/2009 21:12,Y, , ,1,115200,3,FRAUD-STEALING BY DECEIT/UNDER $150,3415,S GRAND BLVD,15,TINY BUBBLES LAUNDROMAT, ,3415,GRAND,893431.8,1005761
2009-03,01/23/2009 19:00,Y, , ,1, 65701,6,LARCENY-MTR VEH PARTS UNDER $500,907,HARLAN AVE,74, , ,3438,ALBERTA,896638.3,1052032
2009-03,01/24/2009 08:00,Y, , ,1, 67701,3,LARCENY-FROM BUILDING UNDER $500,3641,BAMBERGER AVE,15, , ,3641,BAMBERGER,891747.3,1003925
2009-03,01/24/2009 10:00,Y, , ,1, 83000,6,ARSON-KNOWINGLY BURNING/SUCCESS,400,E CARRIE AVE,79, , ,400,CARRIE,901767.5,1039392
2009-03,01/24/2009 20:00,Y, , ,1, 65701,1,LARCENY-MTR VEH PARTS UNDER $500,6427,VERMONT AVE,1, , ,6427,VERMONT,890595.1,992293.5
2009-03,01/26/2009 08:00,Y, , ,1, 91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3203,UTAH ST,30, , ,3203,UTAH,895480.2,1006238
2009-03,01/26/2009 08:00,Y, , ,1,115100,1,FRAUD-STEALING BY DECEIT/OVER $150,4020,BURGEN AVE,3, , ,4020,BURGEN,887525.8,997301.6
2009-03,01/26/2009 10:00, , ,Y,1,263120,5,OBSTRUCT GOVRN OP-FALSE REPORT,2300,ANGELICA,65, , , ,& ANGELICA,0,0
2009-03,01/26/2009 10:00, , ,Y,-1, 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,2300,ANGELICA,65, , , ,& ANGELICA,0,0
2009-03,01/26/2009 12:00,Y, , ,1, 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,703,BADEN AVE,74, ,APTS. 1E/1W, , ,897441.3,1048195
2009-03,01/30/2009 06:27,Y, , ,1,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,205,N 9TH ST,35,MARK TWAIN HOTEL,@MARK TWAIN HOTEL,205,9TH,907619.9,1017799
2009-03,01/30/2009 08:00,Y, , ,1, 69702,5,LARCENY-ALL OTHER UNDER $500,3848,PENROSE ST,67, , ,3848,PENROSE,900511.3,1032539
2009-03,01/30/2009 17:00,Y, , ,1, 65701,1,LARCENY-MTR VEH PARTS UNDER $500,4604,VIRGINIA AVE,16, ,REAR,4604,VIRGINIA,893679.5,997668.8
2009-03,02/01/2008 07:00,Y, , ,1, 53312,7,BURGLARY-OTHR NONRES/UNK TIM/FORC ENT/UNOCCUPI,5887,CABANNE AVE,48, , ,5887,CABANNE,880442.8,1029068
2009-03,02/01/2009 00:00,Y, , ,1, 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",926,MORRISON AVE,34, ,APT A,926,MORRISON,905940.2,1012927
2009-03,02/01/2009 07:00,Y, , ,1, 64701,2,LARCENY-FROM MTR VEH UNDER $500,6649,BERTHOLD AVE,44, , ,6649,BERTHOLD,877432.3,1018702
2009-03,02/01/2009 08:00,Y, , ,1, 67701,2,LARCENY-FROM BUILDING UNDER $500,3125,S KINGSHIGHWAY BLVD,13,CENTRAL HIGH SCHOOL, ,5453,ARLINGTON,885608.9,1009040
2009-03,02/01/2009 08:10,Y, , ,1, 51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3133,NEBRASKA AVE,30, ,VACANT PROPERTY,3133,NEBRASKA,896959.3,1007366
2009-03,02/01/2009 10:00,Y, , ,1, 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4424,RED BUD AVE,68, , ,4424,RED BUD,898611.4,1034879
2009-03,02/01/2009 15:00,Y, , ,1, 64601,9,"LARCENY-FROM MTR VEH $500 - $24,999",1024,S VANDEVENTER AVE,28,A-1 STORAGE FACILITY, ,1024,VANDEVENTER,892333.2,1017292
2009-03,02/01/2009 20:31,Y, , ,1,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2905,UNIVERSITY ST,59, , ,2905,UNIVERSITY,901020.9,1027346
2009-03,02/02/2004 10:00,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4720,NEBRASKA AVE,17, , ,4720,NEBRASKA,895415.1,996580
2009-03,02/02/2009 08:00,Y, , ,1, 65701,8,LARCENY-MTR VEH PARTS UNDER $500,4603,LABADIE AVE,56, , ,4603,LABADIE,893098.3,1032021
