MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2013-03,01/01/2003 08:00,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3954,SHAW AVE,27, , ,3954,SHAW,892451.4,1013068
2013-03,01/01/2005 12:00,Y, , ,1,112010,6,FRAUD-CREDIT DEVICE/OVER $150,5029,DURANT AVE,71, , ,5029,DURANT,892941.7,1039736
2013-03,01/01/2005 12:53,Y, , ,1, 21000,1,RAPE -- FORCIBLE,6700,VERMONT AVE,1, , ,6700,VERMONT,890020.9,991651.1
2013-03,01/01/2006 12:34,Y, , ,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,5385,REBER PL,13, , ,5385,REBER,883494.1,1010626
2013-03,01/01/2007 00:01, ,Y, ,-1,115400,9,STLG BY DECEIT/IDENTITY THEFT REPORT,4115,MCPHERSON,38, , ,4115,MCPHERSON,0,0
2013-03,01/01/2011 00:01,Y, , ,1, 21000,1,RAPE -- FORCIBLE,2700,KEOKUK ST,16, , ,2700,KEOKUK,897428.1,1001929
2013-03,01/01/2013 00:01,Y, , ,1, 67601,7,"LARCENY-FROM BUILDING $500 - $24,999",51,WESTMORELAND PL,38, , ,51,WESTMORELAND,884842.3,1024435
2013-03,01/01/2013 00:01,Y, , ,1, 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",4716,LOUISIANA AVE,16, , ,4716,LOUISIANA,892453.9,997520.3
2013-03,01/01/2013 00:01,Y, , ,1, 91124,8,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",2601,WHITTIER ST,57,HOMER G PHILLIPS SENIOR LIVING, ,2601,WHITTIER,895657.7,1028977
2013-03,01/01/2013 00:04,Y, , ,1, 21000,9,RAPE -- FORCIBLE,600,N EUCLID AVE,38, , ,600,EUCLID,888580.9,1025734
2013-03,01/01/2013 08:00,Y, , ,1, 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4229,S GRAND BLVD,16, , ,4229,GRAND,893088.6,1000204
2013-03,01/01/2013 10:00,Y, , ,1, 51322,5,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,2601,BROADWAY,64, , ,2601,BROADWAY,0,0
2013-03,01/01/2013 12:00,Y, , ,1, 67701,1,LARCENY-FROM BUILDING UNDER $500,529,EILER ST,1, , ,529,EILER,892697.1,995344.4
2013-03,01/01/2013 21:00, ,Y, ,-1, 65701,8,LARCENY-MTR VEH PARTS UNDER $500, , ,56, , , , ,0,0
2013-03,01/02/2013 07:21,Y, , ,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7405,MICHIGAN AVE,2, ,NUISANCE PROPERTY,7405,MICHIGAN,889108.1,989447.9
2013-03,01/03/2013 02:00, , ,Y,1, 10000,6,HOMICIDE,1034,TILLIE,74, ,BASEMENT,1034,TILLIE,0,0
2013-03,01/03/2013 02:35,Y, , ,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6109,GRAVOIS AVE,6,NELLIE GLENNS,NUSIANCE PROPERTY,6109,GRAVOIS,883769.1,998612.4
2013-03,01/04/2013 15:30,Y, , ,1, 67701,6,LARCENY-FROM BUILDING UNDER $500,4333,GOODFELLOW BLVD,70,JOB CORPS OF ST LOUIS MO,CLASSROOM,4333,GOODFELLOW,886191.1,1040939
2013-03,01/05/2013 07:00,Y, , ,1, 69702,4,LARCENY-ALL OTHER UNDER $500,927,PARK AVE,34, , ,927,PARK,905789.8,1012531
2013-03,01/05/2013 08:00,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3971,BOTANICAL AVE,27, , ,3971,BOTANICAL,892013.3,1010945
2013-03,01/05/2013 13:08,Y, , ,1,115100,1,FRAUD-STEALING BY DECEIT/OVER $150,4210,S KINGSHIGHWAY BLVD,5,BMO HARRIS BANK,BMO HARRIS BANK,4210,KINGSHIGHWAY,885077.1,1004004
2013-03,01/05/2013 18:20,Y, , ,1,182260,4,DRUGS-POSSESSION/METHAMPHETAMINE,300,S JEFFERSON AVE,36,MOBILE MART, ,300,JEFFERSON,901180.5,1017627
2013-03,01/07/2013 12:00, ,Y, ,-1, 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3544,GILES,15, , ,3544,GILES,0,0
2013-03,01/09/2013 00:01,Y, , ,1, 21000,5,RAPE -- FORCIBLE,1900,E GRAND BLVD,66, , ,1900,GRAND,903609.4,1033103
2013-03,01/09/2013 08:00,Y, , ,1,241100,3,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,3550,MAGNOLIA AVE,25, , ,3550,MAGNOLIA,894195.8,1009592
2013-03,01/09/2013 19:00,Y, , ,1, 95100,6,"STALKING (HARASSMENT ONLY, NO THREAT)",4118,FARLIN AVE,68, , ,4118,FARLIN,897996.7,1032725
2013-03,01/10/2013 08:00,Y, , ,1, 67701,8,LARCENY-FROM BUILDING UNDER $500,4010,PAGE BLVD,58, ,APT A,4010,PAGE,895340.3,1025516
2013-03,01/10/2013 15:00,Y, , ,1, 65701,7,LARCENY-MTR VEH PARTS UNDER $500,5112,HIGHLAND AVE,52, , ,5112,HIGHLAND,888505.8,1032547
2013-03,01/11/2013 12:17,Y, , ,1,242000,9,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,4510,MANCHESTER AVE,39,MEYERS GROVE,ONLINE,4510,MANCHESTER,888185.9,1016865
2013-03,01/11/2013 18:00,Y, , ,1, 21000,1,RAPE -- FORCIBLE,4200,DELOR ST,5, , ,2900,MERAMEC,887366,1000442
2013-03,01/11/2013 19:00,Y, , ,1,151130,3,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,2900,PESTALOZZI ST,25, , ,2900,PESTALOZZI,897129.8,1008449
2013-03,01/15/2013 07:00,Y, , ,1,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,1919,OFALLON ST,61, , ,1919,OFALLON,904538.2,1022258
2013-03,01/15/2013 09:00,Y, , ,1, 65701,9,LARCENY-MTR VEH PARTS UNDER $500,4515,MARYLAND AVE,38, , ,1200,CLARK,889356.2,1023554
2013-03,01/16/2013 07:45,Y, , ,1,182400,1,DRUGS-POSSESSION/MARIJUANA,4226,GRACE AVE,16, , ,4226,GRACE,892975.6,1000289
2013-03,01/16/2013 11:59,Y, , ,1,182130,7,DRUGS-POSSESSION/HEROIN,6125,ETZEL AVE,48, , , , ,879168.1,1031292
2013-03,01/17/2013 09:00,Y, , ,1, 69602,3,"LARCENY-ALL OTHER $500 - $24,999",4240,FLAD AVE,27, , ,4240,FLAD,890489.1,1011999
2013-03,01/17/2013 09:43,Y, , ,1,115100,1,FRAUD-STEALING BY DECEIT/OVER $150,932,LOUGHBOROUGH AVE,1,LOWES,LOWES,932,LOUGHBOROUGH,888524.2,991611.8
2013-03,01/17/2013 14:50,Y, , ,1, 95100,1,"STALKING (HARASSMENT ONLY, NO THREAT)",3759,DELOR ST,16, , ,3759,DELOR,890662.8,998194.1
2013-03,01/18/2013 13:00,Y, , ,1, 65701,1,LARCENY-MTR VEH PARTS UNDER $500,3152,GASCONADE ST,16, , ,3152,GASCONADE,894773,1000843
2013-03,01/18/2013 15:00,Y, , ,1, 71013,7,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5704,NATURAL BRIDGE AVE,50, , ,5704,NATURAL BRIDGE,886070.3,1038255
2013-03,01/18/2013 17:00,Y, , ,1, 51112,3,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,3138,NEBRASKA AVE,30, , ,3138,NEBRASKA,897135.5,1007278
