Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
14-012097,2014-03,1/1/2003 12:54,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,2600,ARMAND PL,24, , ,2600,ARMAND,899356.9,1010644
14-013097,2014-03,1/1/2007 12:00,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3400,HARTFORD ST,25, , ,3400,HARTFORD,895076.4,1007977
14-013244,2014-03,1/1/2007 12:00,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3400,HARTFORD ST,25, , ,3400,HARTFORD,895076.4,1007977
14-013385,2014-03,1/1/2009 0:01,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,4600,DURANT AVE,71, , ,4600,DURANT,892576.9,1039477
14-009044,2014-03,1/1/2011 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,8508,MORA LN,73, , ,8508,MORA,891726.3,1049086
14-009026,2014-03,1/1/2012 8:59,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,3509,CLAY AVE,56, , ,919,JEFFERSON,897817.5,1030640
14-009334,2014-03,1/1/2013 0:01,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,5100,MINNESOTA AVE,17, , ,5100,MINNESOTA,894096.1,995399.6
14-010393,2014-03,1/1/2014 0:01,Y, , ,1, , 67601,6,"LARCENY-FROM BUILDING $500 - $24,999",5356,HILLER PL,76, , ,4540,HARRIS,0,0
14-013326,2014-03,1/1/2014 0:01,Y, , ,1, , 91124,2,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",4963,ARSENAL ST,13, , ,4963,ARSENAL,885502.4,1009424
14-011853,2014-03,1/1/2014 0:01,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,3600,HEBERT ST,59, , ,3800,SAINT LOUIS,900367.3,1029325
14-010720,2014-03,1/1/2014 11:13,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,5958,HORTON PL,48, , ,5958,HORTON,879745.3,1030036
14-000842,2014-03,1/1/2014 20:30, , , ,1, , 63701,1,LARCENY-SHOPLIFT UNDER $500,1020,LOUGHBOROUGH,1, ,: @SCHNUCKS - LOUGHBOROUGH,1020,LOUGHBOROUGH,0,0
14-000842,2014-03,1/1/2014 20:30, , , ,-1, , 63711,1,LARCENY-SHOPLIFT UNDER $500  /ATTEMPT,1020,LOUGHBOROUGH,1, ,: @SCHNUCKS - LOUGHBOROUGH,1020,LOUGHBOROUGH,0,0
14-000203,2014-03,1/1/2014 23:15, , , ,-1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,7324,HAMPSHIRE,6, , ,7321,HAMPSHIRE,0,0
14-010723,2014-03,1/1/2014 8:00,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,3524,CALIFORNIA AVE,19, , ,3524,CALIFORNIA,897305.9,1004250
14-011020,2014-03,1/1/2014 8:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,3857,UTAH PL,15, , ,3857,UTAH,892022.7,1006686
14-008983,2014-03,1/10/2014 0:01,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,1000,N 2ND ST,35, ,LUMIERE HOTEL RM 411,1200,CLARK,910439.8,1019433
14-012016,2014-03,1/10/2014 19:23,Y, , ,1, , 91123,5,SIMPLE ASSAULT-CHILD/NO INJURY,4603,MCMILLAN AVE,54, , ,4603,MCMILLAN,890479.4,1027077
