MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2010-05,01/01/2010 00:01,Y, , ,1, 51312,7,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,1420,ACADEMY AVE,51, ,MULTI-FAMILY UNIT,1420,ACADEMY,887263.2,1030324
2010-05,01/01/2010 00:01,Y, , ,1, 71040,3,AUTO THEFT-PERM RETNT/ATTEMPT,2840,WISCONSIN AVE,22,ST. AGNES APARTMENTS, ,2840,WISCONSIN,900534.4,1007647
2010-05,01/01/2010 00:01,Y, , ,1,179210,1,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,4100,CALIFORNIA AVE,16, , ,4100,CALIFORNIA,896726.9,1000548
2010-05,01/01/2010 01:04, ,Y, ,-1, 41011,7,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5000,CABANNE,51, , , , ,0,0
2010-05,01/01/2010 12:00,Y, , ,1, 92000,3,SIMPLE ASSAULT-HARRASSMENT,3616,HOLT AVE,15, , ,3616,HOLT,889455.5,1004457
2010-05,01/01/2010 17:08,Y, , ,1, 67601,9,"LARCENY-FROM BUILDING $500 - $24,999",4466,WEST PINE BLVD,38, ,ALIAS 4466 W PINE,4466,WEST PINE,889566.1,1022107
2010-05,01/07/2010 00:01,Y, , ,1, 43026,7,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,1419,BELT AVE,78, , ,1419,BELT,884696.8,1031575
2010-05,01/12/2010 12:22,Y, , ,1,112010,2,FRAUD-CREDIT DEVICE/OVER $150,5505,FYLER AVE,14, , ,5505,FYLER,882514,1007822
2010-05,01/13/2010 10:43,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,7859,RIO SILVA PL,1, , ,7859,RIO SILVA,886076.9,989891.7
2010-05,01/15/2010 14:27,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,915,WILMINGTON AVE,1, , ,915,WILMINGTON,890800.4,994469.5
2010-05,01/15/2010 14:46,Y, , ,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,5510,LISETTE AVE,6, , ,5510,LISETTE,880331.8,998426.8
2010-05,01/23/2010 08:00,Y, , ,1, 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5017,GERALDINE AVE,71, , ,5017,GERALDINE,892503.3,1040195
2010-05,02/01/2001 00:01,Y, , ,1, 91124,3,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",2320,S 10TH ST,21, , ,935,MARYVILLE,903849.3,1009012
2010-05,02/01/2009 00:01,Y, , ,1, 21000,5,RAPE -- FORCIBLE,3900,N FLORISSANT AVE,65, , ,3900,FLORISSANT,904067.5,1030282
2010-05,02/01/2010 08:00,Y, , ,1, 91123,6,SIMPLE ASSAULT-CHILD/NO INJURY,5937,PAMPLIN AVE,73, , ,5937,PAMPLIN,891587.3,1048531
2010-05,02/11/2010 12:23, , ,Y,1, 10000,6,HOMICIDE,6027,FLORISSANT,73, , ,6000,FLORISSANT,0,0
2010-05,02/11/2010 12:23, , ,Y,-1, 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,6027,FLORISSANT,73, , ,6000,FLORISSANT,0,0
2010-05,02/13/2010 20:00,Y, , ,1,179100,3,RISKING INFECTION OF ANOTHER BY HIV,900,ALLEN AVE,21, , ,900,ALLEN,904302.4,1010326
2010-05,02/15/2010 12:00,Y, , ,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5221,GILMORE AVE,72, , ,5221,GILMORE,890606,1044159
2010-05,02/15/2010 16:30,Y, , ,1, 43026,5,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,3802,ASHLAND AVE,59, , ,3802,ASHLAND,899534.8,1029443
2010-05,02/18/2010 00:01,Y, , ,1, 44024,6,ASLT-AGGRV-HND/FST/FT-1ST-CHILD-DOMESTIC,5482,QUEENS AVE,71, , ,5482,QUEENS,895226.8,1040988
2010-05,02/18/2010 11:15, , ,Y,1, 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,721,TUCKER,36,SHELL`S GAS STATION, ,721,TUCKER,0,0
2010-05,02/18/2010 11:15, , ,Y,-1, 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,721,TUCKER,36,SHELL`S GAS STATION, ,721,TUCKER,0,0
2010-05,02/20/2002 12:00,Y, , ,1,115400,9,STLG BY DECEIT/IDENTITY THEFT REPORT,4320,CHOUTEAU AVE,39, , ,4320,CHOUTEAU,890198.3,1017965
2010-05,02/24/2010 07:30,Y, , ,1, 43023,3,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 3RD DEGREE,3458,OREGON AVE,19, , ,3458,OREGON,897038.3,1004614
2010-05,02/25/2010 15:30, , ,Y,1,183250,4,DRUGS-SALE/COCAINE,1200,CLARK,36, ,: @HEADQUARTERS,1200,CLARK,0,0
2010-05,02/25/2010 15:30, , ,Y,-1,182250,4,DRUGS-POSSESSION/COCAINE,1200,CLARK,36, ,: @HEADQUARTERS,1200,CLARK,0,0
2010-05,03/01/2010 08:00,Y, , ,1,175500,6,SEX OFFNS-SX MISCONDUCT/FIRST,5700,HILLER PL,76, , ,5700,HILLER,890781.8,1046997
2010-05,03/02/2010 11:25, , ,Y,1,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,8430,HALL,79,PHILLIPS 66 SERVICE STATION, ,8430,HALL,0,0
2010-05,03/02/2010 11:25, , ,Y,-1,241100,6,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,8430,HALL,79,PHILLIPS 66 SERVICE STATION, ,8430,HALL,0,0
2010-05,03/03/2010 16:15,Y, , ,1,264100,4,HEALTH-SANITATION VIOL,1711,CASS AVE,60,O FALLON PLACE APARTMENTS, ,1711,CASS,905982.1,1022860
2010-05,03/04/2010 07:00,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1827,OFALLON ST,61,OFALLON PLACE APARTMENTS, ,1827,OFALLON,905170.9,1022126
2010-05,03/04/2010 16:01,Y, , ,1,265321,6,LEAVING SCENE OF ACCIDENT,0,W FLORISSANT AVE / S,71, , , , ,896608.6,1039074
2010-05,03/05/2010 20:02,Y, , ,1,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5801,SOUTHWEST AVE,13, , ,5801,SOUTHWEST,881460.2,1010163
2010-05,03/07/2010 23:30,Y, , ,1, 44015,1,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,3926,MINNESOTA AVE,16, , ,1200,CLARK,895599.4,1001826
2010-05,03/08/2010 12:00,Y, , ,1, 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4415,HARRIS AVE,68, , ,4415,HARRIS,898675.8,1034722
2010-05,03/09/2010 12:00,Y, , ,1, 69602,7,"LARCENY-ALL OTHER $500 - $24,999",5764,MCPHERSON AVE,46, , ,5764,MCPHERSON,880949.1,1025894
2010-05,03/10/2010 08:00,Y, , ,1, 65701,9,LARCENY-MTR VEH PARTS UNDER $500,1800,N VANDEVENTER AVE,59,ST LOUIS METAL RECYCLING, ,6780,SOUTHWEST,897066.7,1026430
