MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2013-05,01/01/1998 00:01,Y, , ,1,171300,4,SEX OFFNS-STATUATORY RAPE/SECOND,0,N TUCKER BLVD / CARR,62, , , ,TUCKER,907290.6,1020689
2013-05,01/01/2001 08:00,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,1954,PRESIDENT ST,18, , ,1954,PRESIDENT,900249.5,1003978
2013-05,01/01/2008 00:01,Y, , ,1, 21000,3,RAPE -- FORCIBLE,3200,OREGON AVE,30, , ,3200,OREGON,897399.5,1006858
2013-05,01/01/2009 00:01,Y, , ,1,179210,5,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,3800,MAFFITT AVE,59, , ,3800,MAFFITT,898381.4,1028032
2013-05,01/01/2013 01:10,Y, , ,1,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5823,WILSON AVE,12, , ,5823,WILSON,881554.4,1013910
2013-05,01/01/2013 08:00,Y, , ,1, 67701,6,LARCENY-FROM BUILDING UNDER $500,848,GUSTAV AVE,74, , ,848,GUSTAV,897050.1,1052508
2013-05,01/01/2013 09:54,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2731,ACCOMAC ST,24, , ,2731,ACCOMAC,898638.8,1011083
2013-05,01/02/2013 11:37,Y, , ,1,262100,2,PORNAGRAPHY-PROMOTING,5004,COLUMBIA AVE,13, , ,5004,COLUMBIA,0,0
2013-05,01/04/2013 09:18,Y, , ,1,111200,1,FRAUD-BAD CHECK/NO ACCOUNT,3824,PENNSYLVANIA AVE,16, , ,3824,PENNSYLVANIA,896023.5,1002428
2013-05,01/26/2013 08:00,Y, , ,1, 69602,2,"LARCENY-ALL OTHER $500 - $24,999",6035,ARTHUR AVE,9, , ,6035,ARTHUR,879265.9,1007912
2013-05,01/26/2013 12:00,Y, , ,1, 51330,6,BURGLARY-RESDNCE/UNK TIM/ATT FORCE ENTRY,5706,PAMPLIN AVE,76, , ,5706,PAMPLIN,890651.4,1047009
2013-05,01/27/2013 00:14,Y, , ,1,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,8370,N BROADWAY,74, ,BOSS NITE CLUB,8370,BROADWAY,897449.1,1049251
2013-05,01/28/2013 12:23,Y, , ,1,264100,1,HEALTH-SANITATION VIOL,300,E PRIMM ST,2, , ,300,PRIMM,889306.3,986782.6
2013-05,01/31/2013 12:00,Y, , ,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,1273,SELLS AVE,74, , ,1273,SELLS,895083.8,1049370
2013-05,02/01/2011 11:00,Y, , ,1, 65701,6,LARCENY-MTR VEH PARTS UNDER $500,5257,DAVISON AVE,72, , ,1200,CLARK,892229,1042387
2013-05,02/01/2013 12:00,Y, , ,1, 67701,8,LARCENY-FROM BUILDING UNDER $500,4468,LEXINGTON AVE,56, ,1ST FLOOR,4468,LEXINGTON,894543.1,1032670
2013-05,02/02/2013 08:00,Y, , ,1, 67701,6,LARCENY-FROM BUILDING UNDER $500,6306,GARESCHE AVE,76, , ,6306,GARESCHE,888349.3,1045700
2013-05,02/02/2013 08:00,Y, , ,1,115400,9,STLG BY DECEIT/IDENTITY THEFT REPORT,3520,LACLEDE AVE,37,ST LOUIS UNIVERSITY, ,3520,LACLEDE,896756.6,1019603
2013-05,02/03/2013 00:01,Y, , ,1, 21000,5,RAPE -- FORCIBLE,3800,GREER AVE,59, , ,3800,GREER,899264.4,1029027
2013-05,02/06/2005 08:00,Y, , ,1,115400,7,STLG BY DECEIT/IDENTITY THEFT REPORT,5811,CABANNE APT 2E,48, , ,5811,CABANNE APT 2E,0,0
2013-05,02/07/2013 14:20,Y, , ,1, 51322,8,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,1820,BELLE GLADE AVE,57, , ,1812,BELLE GLADE,895619,1027515
2013-05,02/08/2013 12:34,Y, , ,1,111200,1,FRAUD-BAD CHECK/NO ACCOUNT,4733,S BROADWAY,17, , ,4733,BROADWAY,895496.3,996462.9
2013-05,02/10/2013 10:00,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,3657,GASCONADE ST,16, , ,3657,GASCONADE,892626.8,1001196
2013-05,02/13/2013 17:00,Y, , ,1, 69702,4,LARCENY-ALL OTHER UNDER $500,1213,HADLEY ST,62, , ,1213,HADLEY,907606.6,1021183
2013-05,02/14/2013 00:01,Y, , ,1,266999,8,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4438,LABADIE AVE,56, , ,4438,LABADIE,894079.9,1031231
2013-05,02/15/2013 16:00,Y, , ,1, 51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3449,MIAMI ST,19, ,VACANT RESIDENCE,3449,MIAMI,894044.4,1004465
2013-05,02/16/2013 06:05, , ,Y,1,263150,5,ABANDONMENT OF A CORPSE,2106,COLLEGE,66, ,VACANT LOT, , ,0,0
2013-05,02/17/2010 05:00,Y, , ,1, 69602,7,"LARCENY-ALL OTHER $500 - $24,999",5863,ROMAINE PL,78, , ,5863,ROMAINE,882023.1,1032893
2013-05,02/19/2013 09:00, , ,Y,1, 43015,7,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,5886,MAFFITT,50, , ,5886,MAFFITT,0,0
2013-05,02/19/2013 09:00, , ,Y,-1, 91114,7,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5886,MAFFITT,50, , ,5886,MAFFITT,0,0
2013-05,02/19/2013 22:00,Y, , ,1,142320,9,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3811,LAFAYETTE AVE,29, , ,3811,LAFAYETTE,893699.3,1013870
2013-05,02/21/2013 06:00,Y, , ,1, 69702,8,LARCENY-ALL OTHER UNDER $500,4854,WABADA AVE,55, , ,4854,WABADA,890246.8,1031455
2013-05,02/28/2012 21:58,Y, , ,1, 21000,6,RAPE -- FORCIBLE,9000,NEWBY ST,74, , ,9000,NEWBY,895862.8,1051488
2013-05,02/28/2013 09:55,Y, , ,1,111110,1,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,5732,GOENER AVE,5, , ,5732,GOENER,884959.9,998769.6
2013-05,03/01/2010 00:01,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,5507,LOUISIANA AVE,1, , ,5507,LOUISIANA,891212.8,995990.5
2013-05,03/01/2010 07:00,Y, , ,1,179100,6,RISKING INFECTION OF ANOTHER BY HIV,5100,QUEENS AVE,71, , ,5100,QUEENS,893460.3,1039568
2013-05,03/01/2013 09:57,Y, , ,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4832,TERRACE AVE,6, , , ,4832,883324.6,999187.8
2013-05,03/01/2013 15:01,Y, , ,1,103000,7,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,1315,N KINGSHIGHWAY BLVD,51,CURRENCY EXCHANGE, ,1315,KINGSHIGHWAY,888174.5,1029422
2013-05,03/01/2013 19:00,Y, , ,1,115400,7,STLG BY DECEIT/IDENTITY THEFT REPORT,5336,TERRY AVE,50, , ,4014,UNION,887666.9,1034284
2013-05,03/01/2013 20:30, ,Y, ,-1, 71013,8,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4231,LEXINGTON,56, , ,1015,PARK,0,0
2013-05,03/02/2013 11:51,Y, , ,1,264100,6,HEALTH-SANITATION VIOL,853,MCLARAN AVE,74, , ,853,MCLARAN,896688.6,1049433
2013-05,03/02/2013 17:06,Y, , ,1,266999,8,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2918,N NEWSTEAD AVE,56, , ,5517,WREN,894501.5,1030934
2013-05,03/03/2013 15:28,Y, , ,1,264100,1,HEALTH-SANITATION VIOL,300,E ESPENSCHIED ST,2, , ,300,ESPENSCHIED,888976.1,984567.3
2013-05,03/03/2013 23:00,Y, , ,1, 91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4678,FARLIN AVE,69, , ,4678,FARLIN,893906.9,1035025
2013-05,03/04/2013 09:27,Y, , ,1,264100,6,HEALTH-SANITATION VIOL,4261,REDBUD,68, , ,4261,REDBUD,0,0
2013-05,03/05/2013 16:00,Y, , ,1, 67701,6,LARCENY-FROM BUILDING UNDER $500,4554,ATHLONE AVE,68, , ,4554,ATHLONE,898947.8,1035684
2013-05,03/06/2013 12:00,Y, , ,1, 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3829,GREER AVE,59, , ,3829,GREER,899052.8,1029144
2013-05,03/08/2013 10:00,Y, , ,1,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,800,WASHINGTON AVE,35, ,@HERTZ RENTAL,800,WASHINGTON,908187.4,1018534
