Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
15-022757,2015-05,01/01/2012 10:02,Y, , ,1, ,121000,3,EMBEZZLEMENT-VALUE OVER $150,1200,LYNCH ST,21,ANHEUSER BUSCH,NA,1200,LYNCH,902145.8,1007651
15-023329,2015-05,01/01/2014 12:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,9999,UNKNOWN,0, , ,4625,FARLIN,0,0
15-021677,2015-05,01/01/2015 00:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,0,UNKNOWN,0, , ,1915,OLIVE,0,0
15-023212,2015-05,01/01/2015 00:01,Y, , ,1, ,179210,5,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,5200,CABANNE AVE,51, , ,5200,CABANNE,0,0
15-023104,2015-05,01/01/2015 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,1135,VERONICA AVE,74, , ,1135,VERONICA,895225.8,1050586
15-024596,2015-05,01/01/2015 12:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",1300,HAMPTON AVE,41, , ,1300,HAMPTON,881049.3,1016894
15-025148,2015-05,01/05/2015 00:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",5329,COLUMBIA AVE,12,SHAW VPA ELEMENTARY SCHOOL, ,5329,COLUMBIA,883925.8,1011685
15-022162,2015-05,01/05/2015 10:26,Y, , ,1, ,262100,4,PORNAGRAPHY-PROMOTING,210,N 17TH ST,36, ,MULTI FAMILY BUILDING,210,17TH,904607.6,1018571
15-024220,2015-05,01/05/2015 16:00,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,5821,KENNERLY AVE,50,LACLEDE SCHOOL, ,5821,KENNERLY,883967.8,1035593
15-023042,2015-05,01/08/2015 00:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,0,UNKNOWN,0, , ,1915,OLIVE,0,0
15-001277,2015-05,01/09/2015 13:40, , , ,-1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3100,EVANS,59, , ,3100,EVANS,0,0
15-025197,2015-05,01/15/2015 12:00,Y, , ,1, , 67701,2,LARCENY-FROM BUILDING UNDER $500,7077,NOTTINGHAM AVE,9, , ,7077,NOTTINGHAM,872158,1003437
15-021959,2015-05,01/18/2015 11:06,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,4275,E MAFFITT AVE,57, , ,919,JEFFERSON,895340.8,1029795
15-027167,2015-05,01/28/2005 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4248,ATHLONE AVE,68, , ,4248,ATHLONE,897914.2,1034663
15-023145,2015-05,02/02/2005 12:00,Y, , ,1, ,101000,6,FORGERY,1010,TILLIE AVE,74, , ,1010,TILLIE,896101.2,1048027
15-022287,2015-05,02/03/2015 00:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,0,UNKNOWN,0, , ,1915,OLIVE,0,0
15-022103,2015-05,02/04/2015 00:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,0,UNKNOWN,0, , ,1915,OLIVE,0,0
15-022043,2015-05,02/05/2015 10:30,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,0,CHIPPEWA ST / GRAVOIS AVE,16, , ,4713,CUPPLES,890165.4,1003642
15-022347,2015-05,02/08/2015 19:55,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3215,NEBRASKA AVE,30, , ,3215,NEBRASKA,896807.6,1006405
15-026453,2015-05,02/09/2015 10:55,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,5833,DR MARTIN LUTHER KING DR,50, , ,5833,DR MARTIN LUTHER KING,882897.6,1033830
15-026918,2015-05,02/10/2015 00:00,Y, , ,1, ,115400,0,STLG BY DECEIT/IDENTITY THEFT REPORT,0,UNKNOWN,0, , ,1915,OLIVE,0,0
15-023692,2015-05,02/13/2015 20:00,Y, , ,1, , 91123,5,SIMPLE ASSAULT-CHILD/NO INJURY,5050,HIGHLAND AVE,52, , ,5050,HIGHLAND,888888.9,1032332
15-023692,2015-05,02/13/2015 20:00,Y, , ,1, , 91123,5,SIMPLE ASSAULT-CHILD/NO INJURY,5050,HIGHLAND AVE,52, , ,5050,HIGHLAND,888888.9,1032332
15-024823,2015-05,02/14/2011 00:01,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,2222,FARRAR ST,65, , ,2222,FARRAR,903773.6,1029155
15-023500,2015-05,02/14/2015 11:02,Y, , ,1, , 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",3656,BATES ST,3, , ,3656,BATES,889832.7,996230.1
15-023501,2015-05,02/14/2015 11:31,Y, , ,1, , 69602,1,"LARCENY-ALL OTHER $500 - $24,999",5541,GRACE AVE,3, , ,5541,GRACE,890484.2,996647
15-025938,2015-05,02/15/2015 10:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,700,S EUCLID AVE,38, , ,1915,OLIVE,887877.7,1019661
15-021536,2015-05,02/18/2015 14:20,Y, , ,1, ,101000,4,FORGERY,10,N TUCKER BLVD,35,22ND JUDICIAL CIRCUIT COURT,CIVIL COURTS,10,TUCKER,906717.8,1017504
15-025650,2015-05,02/19/2015 10:00,Y, , ,1, , 51122,5,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,4631,EVANS AVE,54,@VACANT RESIDENCE, ,4631,EVANS,890805.8,1028787
15-023548,2015-05,02/22/2014 00:01,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,205,N 18TH ST,36, ,@RAILTON HOTEL,205,18TH,904158.9,1018716
15-019361,2015-05,02/22/2015 10:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3930,N KINGSHIGHWAY BLVD,69, ,@HOTEL- CAROUSEL,3930,KINGSHIGHWAY,891566.9,1035732
15-022913,2015-05,02/28/2010 07:00,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,S GRAND BLVD / SCOTT AVE,37, , , , ,895809.9,1018289
15-020911,2015-05,03/01/2013 12:00,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,6100,VERMONT AVE,1, , ,6100,VERMONT,0,0
15-020911,2015-05,03/01/2013 12:00, , , ,-1, , 21000,1,RAPE -- FORCIBLE,6100,VERMONT AVE,1, , ,6100,VERMONT,0,0
15-023180,2015-05,03/02/2015 08:00,Y, , ,1, , 69602,6,"LARCENY-ALL OTHER $500 - $24,999",4427,CLARENCE AVE,68, ,BACK YARD,4427,CLARENCE,897538.3,1035737
