MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2008-11,01/01/2006 17:23,Y, , ,1, 21000,7,RAPE -- FORCIBLE,5600,LOTUS AVE,50, , ,5600,LOTUS,884825.9,1033989
2008-11,01/01/2008 10:00,Y, , ,1,115400,9,STLG BY DECEIT/IDENTITY THEFT REPORT,4533,WICHITA AVE,39, , ,4533,WICHITA,888026.1,1017367
2008-11,01/02/2008 15:19,Y, , ,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,6022,SHULTE,76, , ,6022,SHULTE,890517.8,1046405
2008-11,01/10/2008 00:01,Y, , ,1, 21000,2,RAPE -- FORCIBLE,5000,ROSA AVE,6, , ,5000,ROSA,882730.5,1000318
2008-11,01/20/2008 10:00, ,Y, ,-1, 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",4823,RHODES AVE,6, , ,4823,RHODES,882557.8,998933.8
2008-11,02/04/2004 10:00,Y, , ,1,121000,8,EMBEZZLEMENT-VALUE OVER $150,4800,NATURAL BRIDGE AVE,55,WADE FUNERAL HOME AND FLORIST SHOP, ,4800,NATURAL BRIDGE,892622.1,1034146
2008-11,02/04/2008 16:00,Y, , ,1, 65701,6,LARCENY-MTR VEH PARTS UNDER $500,7700,N BROADWAY,74,RENT TO OWN AUTO SALES, ,7700,N BROADWAY,897362.1,1045314
2008-11,02/06/2008 08:00,Y, , ,1,204200,1,FAMILY & CHILD CRIME-CNTRIB DELINQ MINOR,4061,GILES AVE,16, , ,4061,GILES,892116.9,1001534
2008-11,02/06/2008 21:00, ,Y, ,-1, 72130,7,AUTO THEFT-TRUCK/PERM RETNT/JOY RIDE,5258,DELMAR BLVD,38, , ,5258,DELMAR,885088,1026396
2008-11,02/16/2008 17:30,Y, , ,1, 51322,2,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5334,DAGGETT AVE,12, , ,5334,DAGGETT,884175.6,1013518
2008-11,02/20/2007 01:00,Y, , ,1, 64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",3234,MORGANFORD RD,15,TOWER PUB, ,3234,MORGANFORD,888286.7,1007367
2008-11,03/01/2007 10:00,Y, , ,1, 67701,1,LARCENY-FROM BUILDING UNDER $500,5242,S GRAND BLVD,1, , ,5242,S GRAND,891009.6,996626.4
2008-11,03/12/2006 00:01,Y, , ,1,205000,9,FAMILY & CHILD CRIME-CHILD ABUSE,1465,S GRAND BLVD,29,CARDINAL GLENNON HOSPITAL,@CARDINAL GLENNON HOSPITAL,1465,S GRAND,894852.6,1015265
2008-11,03/13/2002 14:09,Y, , ,1,115400,7,STLG BY DECEIT/IDENTITY THEFT REPORT,5321,TERRY AVE,50, , ,5321,TERRY,887889.6,1034377
2008-11,03/18/2005 08:00,Y, , ,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4625,POPE AVE,69, ,UNIT A,4625,POPE,898045.3,1036530
2008-11,03/22/2007 23:00,Y, , ,1, 23000,4,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,1200,WASHINGTON AVE,36, , ,1200,WASHINGTON,906667.9,1018950
2008-11,04/01/2008 12:00,Y, , ,1, 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2918,PENNSYLVANIA AVE,25, , ,2918,PENNSYLVANIA,896968.1,1008340
2008-11,04/02/2008 10:00, , ,Y,1,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3712,S BROADWAY,18, , ,3712,S BROADWAY,898832.9,1002804
2008-11,04/02/2008 10:00, , ,Y,-1,241100,3,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,3712,S BROADWAY,18, , ,3712,S BROADWAY,898832.9,1002804
2008-11,04/04/2008 12:00,Y, , ,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,726,THRUSH AVE,74, , ,0,THRUSH,897608.5,1047387
2008-11,04/11/2008 07:00,Y, , ,1,111110,9,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,3424,DELMAR BLVD,77,AMERICAN AUTOMOTIVE SERVICES, ,3424,DELMAR,898127.3,1021940
2008-11,04/12/2008 10:00,Y, , ,1,111110,3,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,3201,S GRAND BLVD,15, ,CDS GROUP,3201,S GRAND,893775.4,1007145
2008-11,04/21/2001 08:00,Y, , ,1, 69702,6,LARCENY-ALL OTHER UNDER $500,1076,MELVIN AVE,74, , ,1076,MELVIN,895539.5,1052424
2008-11,04/27/2007 10:00,Y, , ,1,101000,3,FORGERY,3443,WISCONSIN AVE,18, , ,3443,WISCONSIN,899810.1,1004338
2008-11,05/01/2008 00:01,Y, , ,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,1656,MCLARAN AVE,73, , ,1656,MCLARAN,892746,1050011
2008-11,05/01/2008 08:54,Y, , ,1,115400,7,STLG BY DECEIT/IDENTITY THEFT REPORT,5864,ENRIGHT AVE,48, , ,5864,ENRIGHT,880459.9,1027508
2008-11,05/01/2008 12:00,Y, , ,1, 51312,7,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,1486,SHAWMUT PL,78, , ,1486,SHAWMUT PL,883458.2,1033232
2008-11,05/07/2008 15:40, ,Y, ,-1,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,N BROADWAY / RIVERVI,74, , ,0,N BROADWAY,897816.4,1053556
2008-11,05/10/2008 11:20, ,Y, ,-1, 64701,9,LARCENY-FROM MTR VEH UNDER $500,3962,WEST PINE BLVD,38, , ,3962,WEST PINE,893376.9,1021109
2008-11,05/11/2008 12:00,Y, , ,1, 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,519,FASSEN ST,1, ,APT A VACANT FOUR FAMILY FLAT,0,FASSEN,892708.5,995026.4
2008-11,05/15/2008 09:00,Y, , ,1, 65701,5,LARCENY-MTR VEH PARTS UNDER $500,0,N SPRING AVE / SULLI,59, , ,0,N SPRING,900015.6,1028968
2008-11,05/16/2007 14:20, ,Y, ,-1, 71013,8,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4942,SAINT LOUIS AVE,55, ,ALIAS 4942 ST LOUIS,4942,ST LOUIS,890496.3,1033202
2008-11,06/01/2000 16:25,Y, , ,1,115400,8,STLG BY DECEIT/IDENTITY THEFT REPORT,2914,CORA AVE,56, , ,2914,CORA,892712.9,1031847
2008-11,06/01/2006 00:01,Y, , ,1,172310,6,SEX OFFNS-STATUATORY SODOMY/SECOND,4900,HOOKE AVE,71, , ,4900,HOOKE,893875.6,1038747
2008-11,06/01/2008 12:00,Y, , ,1, 91123,2,SIMPLE ASSAULT-CHILD/NO INJURY,4983,MIAMI ST,14, , ,4983,MIAMI,884521.9,1005891
2008-11,06/05/2008 08:00,Y, , ,1, 71013,7,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5100,NATURAL BRIDGE AVE,52, , ,5100,NATURAL BRIDGE,890266.4,1035530
2008-11,06/08/2008 12:00,Y, , ,1, 51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,2909,MCNAIR AVE,22, ,VACANT REHAB,2909,MCNAIR,899970.9,1007378
2008-11,06/10/2008 12:00,Y, , ,1,111110,3,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,4029,GRAVOIS AVE,15,BEAVER TOOLS, ,4029,GRAVOIS,890475.4,1003956
2008-11,06/15/2006 07:00,Y, , ,1, 65701,7,LARCENY-MTR VEH PARTS UNDER $500,5560,CLEMENS AVE,48, , ,5560,CLEMENS,882718.1,1027664
2008-11,06/17/1999 00:01,Y, , ,1, 21000,1,RAPE -- FORCIBLE,4400,S SPRING AVE,16, , ,4400,S SPRING,891214.3,1000623
2008-11,06/21/2007 01:00, ,Y, ,-1, 71013,9,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4363,GIBSON AVE,39, , ,4363,GIBSON,889790.8,1017921
2008-11,06/29/2007 09:00,Y, , ,1,101000,3,FORGERY,3430,S GRAND BLVD,25, ,U.S. BANK,3430,S GRAND,893788.8,1005469
2008-11,06/29/2008 19:30,Y, , ,1, 65701,3,LARCENY-MTR VEH PARTS UNDER $500,0,GEYER AVE / MENARD S,21, , ,0,GEYER,904119.3,1010819
2008-11,07/01/2008 13:00,Y, , ,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5032,ALCOTT AVE,72, , ,5032,ALCOTT,891642.3,1041354
2008-11,07/02/2008 00:01,Y, , ,1,112010,3,FRAUD-CREDIT DEVICE/OVER $150,3260,S KINGSHIGHWAY BLVD,15, , ,3260,S KINGSHIGHWAY,886068.4,1007486
2008-11,07/10/2008 13:39,Y, , ,1, 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",6607,CHIPPEWA ST,9,PANERA BREAD COMPANY, ,6607,CHIPPEWA,875887.1,1004189
2008-11,07/12/2008 15:00,Y, , ,1, 65701,9,LARCENY-MTR VEH PARTS UNDER $500,3224,DELMAR BLVD,77, , ,3224,DELMAR,898624.7,1021705
2008-11,07/16/2001 00:01,Y, , ,1,172100,9,SEX OFFNS-SODOMY/FORCIBLE,2900,JAMES COOL PAPA BELL,59, , ,2900,COOL PAPA BELL,900547.4,1023157
2008-11,07/16/2008 08:00, ,Y, ,-1,101000,3,FORGERY,3430,S GRAND BLVD,25,SCHNUCKS STORE, ,3430,S GRAND,893788.8,1005469
2008-11,07/16/2008 14:30,Y, , ,1,112010,8,FRAUD-CREDIT DEVICE/OVER $150,4135,DR MARTIN LUTHER KIN,57,EASTON LOAN COMPANY, ,4135,DR MARTIN L KING,895112.1,1026942
2008-11,07/17/2007 00:01,Y, , ,1, 21000,1,RAPE -- FORCIBLE,4300,WALLACE AVE,5, , ,4300,WALLACE,886360.9,1001060
2008-11,07/20/2008 18:00,Y, , ,1, 65701,1,LARCENY-MTR VEH PARTS UNDER $500,0,CHIPPEWA ST / HOLT A,16,DIGGZ TOWING, ,0,CHIPPEWA,889341.1,1003741
2008-11,07/28/2008 10:00,Y, , ,1,111120,3,FRAUD-BAD CHECK/INSUF FUNDS/UNDER $150,3865,GRAVOIS AVE,15, ,SHOP-N-SAVE,3865,GRAVOIS,891583.8,1004871
2008-11,07/30/2008 16:00,Y, , ,1, 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4028,PENROSE ST,68, , ,4028,PENROSE,899624.4,1033031
2008-11,07/30/2008 22:16,Y, , ,1,115400,9,STLG BY DECEIT/IDENTITY THEFT REPORT,100,S EUCLID AVE,38,SUBWAY SANDWICH SHOP, ,0,S EUCLID,888152.3,1022085
2008-11,07/31/2008 13:32,Y, , ,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3900,GUSTINE AVE,16, , ,3900,GUSTINE,891177.2,1002632
2008-11,08/01/2008 00:01,Y, , ,1, 67701,1,LARCENY-FROM BUILDING UNDER $500,4651,WILCOX AVE,5, , ,4651,WILCOX,884615.6,1001069
2008-11,08/01/2008 13:06, ,Y, ,-1, 64601,6,"LARCENY-FROM MTR VEH $500 - $24,999",5000,GOODFELLOW BLVD,76, , ,5000,GOODFELLOW,887882.4,1044387
2008-11,08/02/2007 00:01, , ,Y,1, 43015,8,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,4727,PALM ST,55, , ,4727,PALM,892848.6,1033959
2008-11,08/02/2007 00:01, , ,Y,-1, 43012,8,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,4727,PALM ST,55, , ,4727,PALM,892848.6,1033959
2008-11,08/03/2008 15:00,Y, , ,1, 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,420,BOWEN ST,1,420 BOWEN,PARKED IN FRONT OF 420 BOWEN,0,BOWEN,891699.9,992725.4
2008-11,08/05/2008 00:01, , ,Y,1,179210,3,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,3800,BOTANICAL AVE,27, , ,3800,BOTANICAL,893025,1010639
2008-11,08/05/2008 00:01, , ,Y,-1, 21000,3,RAPE -- FORCIBLE,3800,BOTANICAL AVE,27, , ,3800,BOTANICAL,893025,1010639
2008-11,08/10/2008 10:00,Y, , ,1, 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",1805,LAFAYETTE AVE,32, , ,1805,LAFAYETTE,902466.6,1012566
2008-11,08/11/1994 15:00,Y, , ,1,115400,7,STLG BY DECEIT/IDENTITY THEFT REPORT,2609,HODIAMONT AVE,50, , ,2609,HODIAMONT,882214.9,1036217
