Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
13-058283,2013-11,1/1/2011 0:01,Y, , ,1, ,179210,6,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,4500,CLARENCE AVE,68, , ,1500,GRAND,898111.4,1036008
13-056164,2013-11,1/1/2011 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5515,PLOVER AVE,72, , ,5515,PLOVER,892554.1,1044229
13-055651,2013-11,1/24/2013 15:00,Y, , ,1, , 43026,1,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,3761,MERAMEC ST,16, , ,3761,MERAMEC,892275.9,1001225
13-056162,2013-11,10/1/2012 13:07,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,7847,TENNESSEE PL,1, , ,7847,TENNESSEE,886323.4,989534.3
13-054536,2013-11,10/1/2013 0:15,Y, , ,1, ,266999,8,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4429,KENNERLY AVE,57, , ,4429,KENNERLY,893715.7,1030363
13-056117,2013-11,10/1/2013 15:50,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1414,HOGAN ST,61,OFALLON PLACE APTS, ,1414,HOGAN,905305.6,1022738
13-057990,2013-11,10/1/2013 17:54,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1015,DILLON CT,33,PEABODY APTS, ,1015,DILLON,904142.1,1014700
13-059149,2013-11,10/1/2013 21:50,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7057,CHIPPEWA ST,9, ,@SHOP N SAVE- CHIPPEWA,7057,CHIPPEWA,872714.9,1002363
13-055641,2013-11,10/1/2013 8:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,0,CONNECTICUT ST / G,15, , , , ,891708.7,1007676
13-057094,2013-11,10/10/2013 12:27,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5324,VIRGINIA AVE,1, ,FAMILY DOLLAR,5324,VIRGINIA,893098.5,995140.6
13-057989,2013-11,10/10/2013 18:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3865,GRAVOIS AVE,15, ,@NATIONAL CITY BANK- GRAVOIS,3865,GRAVOIS,891583.8,1004871
13-057427,2013-11,10/10/2013 22:30,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4300,FAIRVIEW AVE,15, , ,4300,FAIRVIEW,888024.9,1006039
13-053928,2013-11,10/10/2013 22:33,Y, , ,1, , 69703,8,LARCENY-ALL OTH/FRM PRSN/UNDER $500,3500,CLAY AVE,56, , ,3500,CLAY,897823.3,1030514
13-057173,2013-11,10/11/2013 0:01,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1319,N 7TH ST,62,CAMBRIDGE HEIGHTS APTS, ,1319,7TH,909313.9,1021121
13-057137,2013-11,10/11/2013 10:40,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2920,MIAMI ST,19, , ,2920,MIAMI,896240.2,1003936
13-057985,2013-11,10/11/2013 10:44,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1441,LASALLE LN,33,PEABODY APTS, ,1441,LASALLE,904191.9,1014200
13-056813,2013-11,10/11/2013 12:00,Y, , ,1, , 51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4162,CASTLEMAN AVE,27, , ,4162,CASTLEMAN,890768.5,1012962
13-055968,2013-11,10/11/2013 5:30,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4919,LANSDOWNE AVE,7, , ,4919,LANSDOWNE,884074.9,1003075
13-051626,2013-11,10/12/2013 12:45,Y, , ,1, , 31111,0,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,8635,GOODFELLOW,6, , , , ,0,0
13-051663,2013-11,10/12/2013 17:10, , , ,-1, , 91114,8,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",2922,TAYLOR,56, , ,2900,TAYLOR,0,0
13-052123,2013-11,10/12/2013 21:00,Y, , ,1, , 92000,1,SIMPLE ASSAULT-HARRASSMENT,6616,MINNESOTA AVE,1, , ,6616,MINNESOTA,891072.3,991142.2
13-053026,2013-11,10/13/2013 12:00, , , ,-1, , 51312,9,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3050,THOMAS,59, , ,3050,THOMAS,0,0
13-054531,2013-11,10/13/2013 22:20,Y, , ,1, ,266999,8,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4654,NATURAL BRIDGE AVE,56, , ,4654,NATURAL BRIDGE,893510.3,1033772
