MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2010-10,01/01/2006 00:01,Y, , ,1, 21000,1,RAPE -- FORCIBLE,5200,LOUISIANA AVE,1, , ,5000,LOUISIANA,891819.2,996550.9
2010-10,01/01/2008 11:03,Y, , ,1,142320,7,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5500,PERSHING AVE,47, , ,5500,PERSHING,883159.8,1024767
2010-10,01/01/2010 00:01,Y, , ,1, 43026,7,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,2808,UNION BLVD,52, , ,2808,UNION,888047.1,1033873
2010-10,01/01/2010 00:01,Y, , ,1, 43026,7,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,2808,UNION BLVD,52, , ,2808,UNION,888047.1,1033873
2010-10,01/01/2010 00:01,Y, , ,1, 43026,7,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,2808,UNION BLVD,52, , ,2808,UNION,888047.1,1033873
2010-10,01/01/2010 00:01,Y, , ,1,171300,6,SEX OFFNS-STATUATORY RAPE/SECOND,4500,MARGARETTA AVE,69, , ,4500,MARGARETTA,895245.4,1033865
2010-10,01/01/2010 00:01,Y, , ,1, 21000,5,RAPE -- FORCIBLE,1800,WARREN ST,60, , ,1800,WARREN,905506.9,1025299
2010-10,01/01/2010 08:00,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2930,IOWA AVE,30, , ,2930,IOWA,0,0
2010-10,01/01/2010 15:02,Y, , ,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6447,DALE AVE,42, , ,6447,DALE,878639.7,1015473
2010-10,01/05/2010 20:00,Y, , ,1, 65601,4,"LARCENY-MTR VEH PARTS $500 - $24,999",1010,S 13TH ST,33, ,ALIAS 1010 S THIRTEENTH ST,1010,13TH,905078.1,1014421
2010-10,01/18/2000 00:01,Y, , ,1,172100,9,SEX OFFNS-SODOMY/FORCIBLE,3900,FOLSOM AVE,28, , ,700,BIDDLE,893039,1014955
2010-10,01/20/2009 00:01,Y, , ,1, 21000,7,RAPE -- FORCIBLE,5800,WABADA AVE,50, , ,5800,WABADA,883556.8,1035011
2010-10,01/20/2010 13:30,Y, , ,1,115400,8,STLG BY DECEIT/IDENTITY THEFT REPORT,4517,ELMBANK AVE,56, , ,4517,ELMBANK,893887.4,1032374
2010-10,01/30/2010 01:35,Y, , ,1, 91113,9,SIMPLE ASSAULT-ADULT/NO INJURY,3659,FOREST PARK AVE,37, , , , ,895427.3,1019760
2010-10,02/02/2010 19:25, ,Y, ,-1,103000,4,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,999,N 2ND ST,35, , ,999,2ND,0,0
2010-10,02/05/2010 18:00,Y, , ,1, 43014,7,ASSLT-AGGRAV-OTH-WPN-1ST-ADULT-DOMESTIC,5841,JULIAN AVE,48, ,SINGLE FAMILY RESIDENCE,5841,JULIAN,881534,1031599
2010-10,02/07/2010 10:55, ,Y, ,-1,266510,4,PUBLIC ORDER-TRESPASSING,999,N 2ND ST,35, , ,999,2ND,0,0
2010-10,02/08/2010 15:35, ,Y, ,-1,266510,4,PUBLIC ORDER-TRESPASSING,999,N 2ND ST,35, , ,999,2ND,0,0
2010-10,02/10/2010 16:35,Y, , ,1,115400,8,STLG BY DECEIT/IDENTITY THEFT REPORT,4036,SULLIVAN AVE,56, , ,4014,UNION,897743.6,1030040
2010-10,02/12/2010 21:40, , ,Y,1, 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,6968,OLEATHA,9, , ,6968,OLEATHA,0,0
2010-10,02/12/2010 21:40, , ,Y,-1,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6968,OLEATHA,9, , ,6968,OLEATHA,0,0
2010-10,02/14/2010 17:40, ,Y, ,-1,103000,4,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,999,N 2ND ST,35, , ,999,2ND,0,0
2010-10,02/15/2010 14:00, , ,Y,1, 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,1111,OAKVIEW,41, , ,1111,OAKVIEW,0,0
2010-10,02/15/2010 14:00, , ,Y,-1,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1111,OAKVIEW,41, , ,1111,OAKVIEW,0,0
2010-10,02/16/2010 21:13, ,Y, ,-1,266510,4,PUBLIC ORDER-TRESPASSING,999,N 2ND ST,35, , ,999,2ND,0,0
2010-10,02/19/2010 07:00,Y, , ,1,111200,4,FRAUD-BAD CHECK/NO ACCOUNT,1200,MARKET ST,36, ,@CITY HALL,1200,MARKET,906055.1,1017127
2010-10,02/22/2010 22:00, , ,Y,1, 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,6423,NASHVILLE,42, , ,6423,NASHVILLE,0,0
2010-10,02/22/2010 22:00, , ,Y,-1,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6423,NASHVILLE,42, , ,6423,NASHVILLE,0,0
2010-10,03/04/2010 22:00, , ,Y,1, 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,5071,MARDEL,14,MULTI FAMILY OCCUPIED, ,5068,MARDEL,0,0
2010-10,03/04/2010 22:00, , ,Y,-1,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5071,MARDEL,14,MULTI FAMILY OCCUPIED, ,5068,MARDEL,0,0
2010-10,03/08/2010 00:20, ,Y, ,-1,266510,4,PUBLIC ORDER-TRESPASSING,999,N 2ND ST,35, , ,999,2ND,0,0
2010-10,03/11/2010 16:50, ,Y, ,-1,103000,4,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,999,N 2ND ST,35, , ,999,2ND,0,0
