Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
14-047305,2014-10,01/01/1995 00:01,Y, , ,1, ,171200,1,SEX OFFNS-STATUATORY RAPE/FIRST,5000,QUINCY ST,6, , ,4100,GRAVOIS,0,0
14-050460,2014-10,01/01/2010 07:00,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,110,N 17TH ST,36,PLAZA SQUARE APARTMENTS, ,110,17TH,904545.1,1018315
14-050460,2014-10,01/01/2010 07:00, , , ,-1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,110,N 17TH ST,36,PLAZA SQUARE APARTMENTS, ,110,17TH,904545.1,1018315
14-048128,2014-10,01/01/2011 00:01,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,3327,KLEIN ST,65, , ,3327,KLEIN,906726.7,1028244
14-048096,2014-10,01/01/2013 12:00,Y, , ,1, ,175500,5,SEX OFFNS-SX MISCONDUCT/FIRST,5000,CATES AVE,51, , ,5000,CATES,0,0
14-047152,2014-10,01/01/2014 00:01,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,1918,WITHNELL AVE,22, , ,1918,WITHNELL,900530.1,1005600
14-048935,2014-10,01/01/2014 00:01,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3700,OREGON AVE,19, , ,3700,OREGON,0,0
14-050493,2014-10,01/01/2014 00:01,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,919,ALLEN AVE,21, , ,919,ALLEN,904302.4,1010326
14-048000,2014-10,01/01/2014 20:49,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,4100,W KOSSUTH AVE,68, , ,4100,KOSSUTH,0,0
14-046901,2014-10,01/25/2014 09:19,Y, , ,1, ,111110,1,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,4752,S BROADWAY,17, , ,4752,BROADWAY,895587.3,996222.8
14-047832,2014-10,01/29/2014 07:32,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,5307,CHIPPEWA ST,14, , ,5307,CHIPPEWA,882666.3,1004603
14-050280,2014-10,02/01/1997 13:35,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,4749,MCMILLAN AVE,54, , ,4749,MCMILLAN,889680.6,1027164
12-007950,2014-10,02/20/2012 21:03,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,GOODFELLOW BLVD / LILLIAN AVE,76, , , , ,887715.2,1044369
14-047918,2014-10,02/20/2013 16:00,Y, , ,1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4739,NEWBERRY TER,54, , ,4739,NEWBERRY,890256.9,1027783
14-051120,2014-10,02/23/2014 12:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,5092,MILENTZ AVE,6, , ,1200,CLARK,881533,999660.1
14-050714,2014-10,03/09/2013 00:01,Y, , ,1, , 44023,3,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN CHLD 3RD DEGRE",2750,KEOKUK ST,16, , ,2750,KEOKUK,896937.6,1001852
14-047740,2014-10,03/09/2014 09:27,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5600,PERSHING AVE,47, , ,5600,PERSHING,882158.1,1024891
14-050080,2014-10,03/17/2012 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4555,ASHLAND AVE,56, , ,4555,ASHLAND,893727.1,1032897
14-048286,2014-10,03/26/2014 19:48,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5596,PERSHING AVE,47, , ,5596,PERSHING,882158.1,1024891
14-045836,2014-10,04/12/2005 00:01,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,1510,MENARD ST,34, , ,1510,MENARD,905088.4,1012166
14-047907,2014-10,04/17/2014 12:41,Y, , ,1, ,103000,1,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,1020,LOUGHBOROUGH AVE,1,US BANK,@SCHNUCKS - LOUGHBOROUGH,4642,IDAHO,888369.9,991903
14-050892,2014-10,04/20/2006 12:00,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,4400,VIRGINIA AVE,16, , ,700,DOVER,0,0
14-049112,2014-10,05/01/2013 08:00,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,4861,ANDERSON AVE,69, , ,4861,ANDERSON,893702.3,1037174
14-042958,2014-10,05/02/2013 00:01, , , ,-1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2714,SALENA,22, , ,2714,SALENA,0,0
14-048348,2014-10,05/03/2014 17:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,7916,N BROADWAY,74,A & G AUTO BODY, ,7916,BROADWAY,897294.3,1046740
14-046718,2014-10,05/05/2014 13:06,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4511,MCMILLAN AVE,54, , ,4511,MCMILLAN,891120.7,1026735
14-047952,2014-10,05/05/2014 14:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3127,MINNESOTA AVE,25,SOUTHTOWN AUTO REPAIR, ,3127,MINNESOTA,896340.4,1007686
14-047295,2014-10,05/15/2014 22:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4835,GOODFELLOW BLVD,70, , ,4835,GOODFELLOW,887306.6,1043826
14-047629,2014-10,05/22/2014 13:00,Y, , ,1, ,111200,3,FRAUD-BAD CHECK/NO ACCOUNT,3911,IOWA AVE,16, , ,3911,IOWA,897067.1,1001737
14-047074,2014-10,06/02/2014 16:40,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4171,LINDELL BLVD,38, ,@SCHNUCKS - SARAH AND LINDELL,4171,LINDELL,892104.8,1022153
14-046716,2014-10,06/02/2014 16:40,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4171,LINDELL BLVD,38, ,@SCHNUCKS - SARAH AND LINDELL,4171,LINDELL,892104.8,1022153
14-048285,2014-10,06/03/2014 21:35,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5596,PERSHING AVE,47, , ,5596,PERSHING,882158.1,1024891
14-046741,2014-10,06/05/1994 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,8758,LOWELL ST,74, , ,8758,LOWELL,898092.7,1052267
14-047138,2014-10,06/06/2014 00:05,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5349,CABANNE AVE,49, , ,5349,CABANNE,884651.4,1028546
14-050633,2014-10,06/09/2014 10:00,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,4113,PENNSYLVANIA AVE,16, ,FRONT PORCH,4113,PENNSYLVANIA,895549.7,1000617
14-050432,2014-10,06/10/1995 00:01,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,4217,N 11TH ST,65, , ,4217,11TH,905535.2,1031981
14-047703,2014-10,06/12/2013 13:00,Y, , ,1, , 67701,2,LARCENY-FROM BUILDING UNDER $500,6415,JAMIESON AVE,8, , ,6415,JAMIESON,876525.3,998299.4
14-049108,2014-10,06/16/2014 00:56,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7942,N BROADWAY,74, , ,7942,BROADWAY,897280.9,1047018
