MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2009-09,01/01/1990 14:47,Y, , ,1,115400,7,STLG BY DECEIT/IDENTITY THEFT REPORT,5139,RAYMOND AVE,51, , ,3131,CALIFORNIA,886602.5,1028445
2009-09,01/01/1999 14:52,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3845,WYOMING ST,15, , ,3845,WYOMING,892157.3,1007385
2009-09,01/01/2000 13:15,Y, , ,1,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,3853,WISCONSIN AVE,18, , ,3853,WISCONSIN,899383.5,1001651
2009-09,01/01/2003 00:01,Y, , ,1, 21000,1,RAPE -- FORCIBLE,4400,PENNSYLVANIA AVE,17, , ,4400,PENNSYLVANIA,895191.1,998396.7
2009-09,01/01/2006 01:01,Y, , ,1,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,5300,ARSENAL ST,13, , ,5300,ARSENAL,883530.5,1009029
2009-09,01/01/2006 12:00,Y, , ,1,115100,1,FRAUD-STEALING BY DECEIT/OVER $150,7602,S BROADWAY,2, , ,1200,CLARK,889491.5,988153
2009-09,01/01/2007 13:52,Y, , ,1,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,3710,N 25TH ST,65, , ,3710,25TH,903410.3,1029201
2009-09,01/01/2008 00:01,Y, , ,1,179220,1,SEX OFFNS-CHILD MOLESTATION-SECOND DEGREE,4400,LOUISIANA AVE,16, , ,4400,LOUISIANA,893244.4,999088.7
2009-09,01/01/2009 00:01,Y, , ,1, 21000,4,RAPE -- FORCIBLE,1100,S 13TH ST,33, , ,1100,13TH,904953.5,1014004
2009-09,01/01/2009 01:00,Y, , ,1, 67701,9,LARCENY-FROM BUILDING UNDER $500,4525,OLIVE ST,38, , ,4525,OLIVE,889986.2,1025205
2009-09,01/02/2009 16:00,Y, , ,1, 65701,6,LARCENY-MTR VEH PARTS UNDER $500,5443,BEACON AVE,72, , ,5443,BEACON,892655.8,1043070
2009-09,01/08/2007 07:00,Y, , ,1,111110,4,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,1322,DR MARTIN LUTHER KIN,36,US CANDY & TABACCO COMPANY, ,1322,DR. MARTIN LUTHER KI,906620.8,1019955
2009-09,01/17/2009 08:00,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,4022,WINNEBAGO ST,15, , ,4022,WINNEBAGO,889980.8,1004182
2009-09,02/04/2009 15:00,Y, , ,1, 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",2309,S 11TH ST,21, , ,2309,11TH,903106.5,1009386
2009-09,02/04/2009 15:00, ,Y, ,-1, 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",2309,S 11TH ST,21, , ,2309,11TH,903106.5,1009386
2009-09,02/10/2009 13:15, ,Y, ,-1, 67701,6,LARCENY-FROM BUILDING UNDER $500,4401,NATURAL BRIDGE,69,COMMERCE BANK, ,4958,WABADA,0,0
2009-09,02/16/2009 15:00, ,Y, ,-1, 65701,4,LARCENY-MTR VEH PARTS UNDER $500,1456,PEABODY,33, , ,1200,CLARK,0,0
2009-09,02/20/1996 00:01,Y, , ,1,172100,1,SEX OFFNS-SODOMY/FORCIBLE,4000,MERAMEC ST,16, , ,4000,MERAMEC,890236.4,1002298
2009-09,02/23/2009 17:20,Y, , ,1, 65701,5,LARCENY-MTR VEH PARTS UNDER $500,2007,E OBEAR AVE,66,STREET, ,2007,OBEAR,903180.6,1033381
2009-09,03/01/2009 04:00,Y, , ,1, 69702,6,LARCENY-ALL OTHER UNDER $500,9983,RIVERVIEW DR,75, , ,9983,RIVERVIEW,905798.7,1060334
2009-09,03/09/1994 00:01,Y, , ,1,179210,9,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,3100,SHERIDAN AVE,59, , ,3100,SHERIDAN,898995.1,1023781
2009-09,03/09/2000 00:01,Y, , ,1,179210,8,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,4200,W LEXINGTON AVE,56, , ,4200,LEXINGTON,896159.5,1031776
2009-09,04/01/2009 08:00,Y, , ,1, 91123,3,SIMPLE ASSAULT-CHILD/NO INJURY,3626,NEBRASKA AVE,19, , ,3626,NEBRASKA,896553.9,1003660
2009-09,04/01/2009 16:59,Y, , ,1,172100,4,SEX OFFNS-SODOMY/FORCIBLE,1100,RUTGER ST,34, ,APT B,1100,RUTGER,905076.6,1012832
2009-09,04/03/2009 13:51,Y, , ,1, 91123,3,SIMPLE ASSAULT-CHILD/NO INJURY,4137,MCDONALD AVE,15, , ,4137,MCDONALD,889557.5,1006637
2009-09,04/07/2009 00:01,Y, , ,1,115400,8,STLG BY DECEIT/IDENTITY THEFT REPORT,4035,SAINT LOUIS AVE,56, ,ALIAS 4035 ST LOUIS AVE CITY,4035,SAINT LOUIS,897352.2,1029115
