Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
15-045973,2015-09,01/01/1996 18:59,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,1407,ROWAN AVE,78, , ,1407,ROWAN,882131.3,1033136
15-048730,2015-09,01/01/1997 00:01,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,1300,HAMILTON AVE,78, , ,1300,HAMILTON,0,0
15-049725,2015-09,01/01/1998 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,6306,SHERRY AVE,76, , ,6306,SHERRY,887920.8,1044915
15-046654,2015-09,01/01/2008 00:01,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,5900,LOTUS AVE,50, , ,1900,OLIVE,0,0
15-048946,2015-09,01/01/2009 00:01,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,1518,COCHRAN PL,61,PRESERVATION SQUARE, ,1518,COCHRAN,906256.9,1022439
15-047310,2015-09,01/01/2012 00:01,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,5000,LEAHY AVE,71, , ,5000,LEAHY,0,0
15-047990,2015-09,01/01/2015 00:01,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",1820,MARKET ST,36, ,@HOTEL- DRURY INN UNION STATION,1820,MARKET,903731.7,1018016
15-050159,2015-09,01/01/2015 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6724,DELOR ST,8, , ,6724,DELOR,875021.9,1001806
15-044536,2015-09,01/01/2015 12:00,Y, , ,1, ,121000,5,EMBEZZLEMENT-VALUE OVER $150,1,MARYLAND PLZ,38,DRUNKEN FISH, ,1,MARYLAND,888340.1,1023682
15-044482,2015-09,02/01/2015 09:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,200,S TUCKER BLVD,35,ST. LOUIS CITY JUSTICE CENTER,@CITY JUSTICE CENTER,200,TUCKER,906343.9,1016785
15-047187,2015-09,02/04/2014 09:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6524,MANCHESTER AVE,10,CHARTER CABLE, ,6524,MANCHESTER,878105.9,1014741
15-005923,2015-09,02/05/2015 18:30, , , ,1, , 52312,3,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,1250,3RD,20,PUBLIC STORAGE, ,1250,3RD,0,0
15-005923,2015-09,02/05/2015 18:30, , , ,-1, , 52330,3,BURGLARY-BUSINESS/UNK TIME/FORC ENT/OCCUPIED,1250,3RD,20,PUBLIC STORAGE, ,1250,3RD,0,0
15-045863,2015-09,02/20/2015 09:28,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,5590,W FLORISSANT AVE,72, , ,5590,FLORISSANT,893144.3,1044000
